year,pouvant_VERB ôter_VERB
1800,9.432493897065797e-09
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,3.695740957709859e-08
1806,2.0171682990621775e-08
1807,1.4234775136401367e-08
1808,4.5321479902327155e-09
1809,4.518061036407062e-09
1810,2.3401267590372754e-09
1811,2.2563691359778204e-08
1812,5.3344164641089264e-09
1813,3.4508900625951355e-08
1814,0.0
1815,1.0788894222457657e-08
1816,3.0128852301913867e-08
1817,4.670620334934483e-09
1818,8.344824387052086e-09
1819,1.0351049795076506e-08
1820,1.4239777357261119e-08
1821,8.875339574387908e-09
1822,7.017931125119503e-09
1823,1.9765373782121287e-09
1824,0.0
1825,1.3208164340028361e-08
1826,7.0463874735082754e-09
1827,9.217273055917019e-10
1828,0.0
1829,6.001223074036943e-09
1830,1.1480519646056564e-08
1831,3.1182412207897414e-09
1832,3.3824925083081325e-08
1833,0.0
1834,1.6802156110884425e-08
1835,2.117664621437143e-08
1836,6.72075017860152e-09
1837,4.174734336004349e-09
1838,6.943378316748294e-09
1839,1.0487212875887053e-08
1840,2.5478754661634184e-09
1841,9.630822361827995e-09
1842,6.708265054555795e-09
1843,2.3627644285539873e-09
1844,4.9397050894128824e-09
1845,4.464182357111213e-09
1846,4.6836010625384006e-09
1847,4.853901280910122e-09
1848,1.6090443422100975e-09
1849,5.865590679832167e-09
1850,2.0366988096043315e-09
1851,5.159551008659946e-09
1852,0.0
1853,7.166318205520383e-09
1854,7.27393034694046e-09
1855,9.021793090369101e-09
1856,8.28350277259915e-09
1857,9.763018171682347e-10
1858,9.787352039936081e-10
1859,1.018434669930457e-09
1860,1.373155145145688e-09
1861,2.357981809808507e-09
1862,8.132375661773494e-09
1863,8.990317823531768e-09
1864,4.794727948009836e-10
1865,5.177528628053096e-09
1866,1.4596839292835284e-09
1867,6.308654931785895e-09
1868,4.93987406535723e-10
1869,3.4184632902167778e-09
1870,4.013834153937523e-09
1871,0.0
1872,0.0
1873,1.1972008939764578e-09
1874,9.559374625212058e-09
1875,2.8607636259891933e-09
1876,1.9951848173604958e-08
1877,7.421779191219002e-09
1878,2.4156354694326865e-09
1879,6.10932526790009e-10
1880,3.2089231272180996e-09
1881,4.183504653809678e-09
1882,2.6621540527571597e-09
1883,4.423537092179686e-09
1884,0.0
1885,6.445635691854079e-10
1886,6.453463874400711e-10
1887,6.528924623161458e-10
1888,0.0
1889,1.2530273485467092e-09
1890,2.6217545912032847e-09
1891,6.374220040683554e-10
1892,6.268512375839919e-10
1893,8.005941687372342e-09
1894,1.2603078580752936e-09
1895,6.018614495673091e-10
1896,3.5382172747233653e-09
1897,2.9133566670225264e-09
1898,5.6583548957434e-10
1899,5.527578395003729e-10
1900,5.191053142894475e-10
1901,3.912117296778206e-09
1902,9.820567692386817e-10
1903,1.6200660812870638e-09
1904,0.0
1905,9.805441791854719e-09
1906,0.0
1907,5.142843373384665e-10
1908,0.0
1909,3.300590023513905e-09
1910,2.137660271017694e-09
1911,1.0640748282497725e-09
1912,5.209421227725386e-10
1913,2.6514948014977335e-09
1914,6.696743715117748e-10
1915,0.0
1916,0.0
1917,0.0
1918,1.1486376294556067e-09
1919,0.0
1920,7.572231730534895e-10
1921,1.5145494858259667e-09
1922,0.0
1923,1.0615948120573648e-09
1924,2.578324886925998e-09
1925,2.1996355847875293e-09
1926,0.0
1927,3.3447675740205796e-09
1928,2.2852082448565625e-09
1929,2.2280812750352652e-09
1930,0.0
1931,0.0
1932,0.0
1933,1.1470662197865522e-09
1934,0.0
1935,1.196828414151696e-09
1936,2.424942913137329e-09
1937,0.0
1938,1.2965214457594243e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,1.3921104269343232e-09
1947,0.0
1948,0.0
1949,9.817008317369869e-10
1950,2.1270722960764488e-09
1951,0.0
1952,1.0544803918932644e-09
1953,0.0
1954,0.0
1955,2.815682353940474e-09
1956,0.0
1957,0.0
1958,0.0
1959,7.750747821333448e-10
1960,0.0
