year,fut_VERB au_ADP,fut_VERB beau_ADV
1800,3.7226907352305716e-06,8.803660733747165e-08
1801,3.838466454908485e-06,6.905429472681135e-08
1802,2.9852787974959938e-06,1.3874608839614666e-07
1803,2.640759248606628e-06,1.950339267864365e-08
1804,2.857459776350879e-06,1.4831105232815389e-08
1805,3.3147953217849135e-06,8.52863308864471e-08
1806,3.086267724938807e-06,8.645007198992971e-08
1807,2.886812580982223e-06,1.8789903322158352e-07
1808,3.4512306683609495e-06,4.758755522971114e-08
1809,3.0406549740291666e-06,6.777091243748146e-08
1810,3.566353143469314e-06,3.510190182964834e-08
1811,3.863405254378449e-06,3.259199843341776e-08
1812,3.099296009168029e-06,1.0668832928217853e-08
1813,3.511280510792858e-06,3.4508900625951355e-08
1814,4.625615474651568e-06,5.97868634599763e-08
1815,3.843543709081132e-06,5.1247248222807684e-08
1816,3.1287652291212e-06,3.0128852301913867e-08
1817,3.615059995354386e-06,7.005930058312515e-08
1818,3.953062332584523e-06,6.914282835168706e-08
1819,3.984119302913314e-06,1.3456364911235141e-08
1820,4.333639026299352e-06,7.594547923872597e-08
1821,3.5067453154624673e-06,3.35290586406245e-08
1822,4.224794338369975e-06,9.223566621585633e-08
1823,4.7901385187287815e-06,1.0673301886754416e-07
1824,4.8724559746915475e-06,1.381062446625947e-07
1825,5.518371381185716e-06,7.484626252107773e-08
1826,4.314150828577112e-06,5.372870504061211e-08
1827,4.657488261727849e-06,7.92685455053288e-08
1828,3.5854525322065456e-06,3.8523666034961934e-08
1829,4.513777184911305e-06,2.914879893012312e-08
1830,3.965997620980488e-06,7.097048637660919e-08
1831,3.8026951187930536e-06,5.76874619184764e-08
1832,3.961575202993117e-06,5.953186388296672e-08
1833,3.79595508093189e-06,8.108539617524002e-08
1834,4.0633212847751565e-06,5.694063887062839e-08
1835,4.2784390643646475e-06,1.2705987728622858e-07
1836,4.40746771346312e-06,5.981467410265395e-08
1837,4.391820766613819e-06,8.836521203647862e-08
1838,5.078134108771337e-06,9.657608046609312e-08
1839,4.0256913962366525e-06,5.942753844578874e-08
1840,3.983603164670058e-06,5.987507023519356e-08
1841,3.5672567264555255e-06,5.457466301095337e-08
1842,3.9263477447093464e-06,5.366612043644636e-08
1843,3.974169885623269e-06,2.8943864194275193e-08
1844,3.892487711709691e-06,5.0494762149355665e-08
1845,3.6037113204656634e-06,3.236532108985557e-08
1846,3.5753439533436904e-06,3.9810608143397985e-08
1847,3.6091453239350813e-06,5.123562374365065e-08
1848,3.6573578654497396e-06,5.068489628001771e-08
1849,3.078597046624054e-06,6.535943697372204e-08
1850,3.2709383503970457e-06,5.0238568860550004e-08
1851,3.480762188701192e-06,4.2566295377355345e-08
