year,seront_VERB au_ADP,seront_VERB beau_ADV
1800,8.457802707084738e-07,0.0
1801,6.6196873871327e-07,0.0
1802,8.123359691580845e-07,2.2378401354217203e-09
1803,5.753500573746351e-07,1.950339223455444e-09
1804,7.613301189479671e-07,0.0
1805,7.505196961687943e-07,0.0
1806,1.6108530047631575e-06,0.0
1807,1.053373374304556e-06,2.8469551160981155e-09
1808,1.0582565792560672e-06,2.2660739951163578e-09
1809,9.646060448176286e-07,0.0
1810,1.0975194300044677e-06,0.0
1811,1.574444240759476e-06,0.0
1812,1.1042241965242283e-06,2.6672082320544632e-09
1813,9.029828760276359e-07,0.0
1814,8.33869467697923e-07,3.1466771410748606e-09
1815,7.255531566663365e-07,0.0
1816,8.760542904440172e-07,1.1588019432906549e-08
1817,9.216690628477409e-07,0.0
1818,1.0037631525960933e-06,3.5763532135746345e-09
1819,9.005413694751496e-07,1.035105001712111e-09
1820,6.585896770161526e-07,0.0
1821,7.287639789410605e-07,0.0
1822,6.346214718178089e-07,0.0
1823,6.670813652576157e-07,0.0
1824,7.157945844937785e-07,0.0
1825,7.599097529009669e-07,8.805443041381977e-10
1826,9.87375031513693e-07,0.0
1827,1.2535491293874657e-06,3.6869092223668076e-09
1828,7.796455934183655e-07,0.0
1829,9.610530575798748e-07,0.0
1830,1.0645572672274284e-06,4.174734336004349e-09
1831,7.265501764663895e-07,0.0
1832,8.266811093449178e-07,1.3529969367098715e-09
1833,7.992703601189532e-07,0.0
1834,1.2452264002149604e-06,9.334530925997342e-10
1835,8.65217259615747e-07,7.563087933704082e-10
1836,1.045748742711794e-06,6.720750067579218e-10
1837,7.222290658859265e-07,0.0
1838,7.372605033140189e-07,6.312161904276081e-10
1839,7.466895617369573e-07,6.9914751765765e-10
1840,7.981220022656998e-07,0.0
1841,7.916536368668403e-07,0.0
1842,6.091104403083136e-07,0.0
1843,7.389545828573318e-07,0.0
1844,7.157084134234992e-07,5.488561272137815e-10
1845,6.740915603486997e-07,0.0
1846,6.60387765805126e-07,5.854501328173001e-10
1847,8.246238678566442e-07,2.1572894581822766e-09
1848,8.39921169060176e-07,3.218088684420195e-09
1849,7.734199769515726e-07,8.379414939696517e-10
1850,8.126428454602319e-07,0.0
1851,7.287865742000577e-07,6.449438760824933e-10
1852,7.363426881568103e-07,1.9531636308300904e-09
1853,6.354135209107881e-07,4.180352064508952e-09
1854,6.281558491139094e-07,0.0
1855,5.869472730068992e-07,1.0613874223963649e-09
1856,6.404182997243879e-07,0.0
1857,4.852220030215904e-07,0.0
1858,5.241126856958545e-07,0.0
1859,5.418072217544534e-07,0.0
1860,5.620782044246653e-07,0.0
1861,6.159048577814019e-07,0.0
1862,5.611339028988027e-07,0.0
1863,5.828722642320372e-07,0.0
1864,5.734494781250987e-07,4.794727948009836e-10
1865,4.862170071007199e-07,4.706844358715045e-10
1866,4.602869778658203e-07,0.0
