year,eurent_VERB eu_VERB,eurent_VERB bu_VERB
1800,6.60274537267469e-08,2.829747991484055e-08
1801,3.095537337571841e-08,9.524730337773235e-09
1802,1.1189200677108602e-08,4.699464284385613e-08
1803,2.3404069793286908e-08,3.315576790896557e-08
1804,7.4155526164076946e-09,1.730295728918918e-08
1805,1.9900143755080535e-08,2.842877755426798e-08
1806,3.458002950651462e-08,2.305335300434308e-08
1807,2.562259560079383e-08,8.540865792383556e-09
1808,2.2660739062985158e-08,4.5321479902327155e-09
1809,1.581321384946932e-08,1.8072244145628247e-08
1810,2.3401267590372754e-09,3.042164919975221e-08
1811,0.0,5.0141535368197765e-09
1812,4.5342538612658245e-08,1.8670457180292033e-08
1813,1.1502966579257645e-08,8.052076339026826e-08
1814,0.0,1.8880061958270744e-08
1815,2.6972236000233352e-08,4.315557688983063e-08
1816,1.1588019432906549e-08,0.0
1817,1.0898113522728181e-08,7.784366928831332e-09
1818,1.0729059418679299e-08,3.814776761146277e-08
1819,3.3123360054787554e-08,1.1386155129855524e-08
1820,7.119888678630559e-09,3.5599443393152796e-09
1821,7.396116075142345e-08,2.3667571014129862e-08
1822,8.02049271442229e-09,1.9048670196752937e-08
1823,3.854247765389118e-08,1.680056804787e-08
1824,8.336901657912676e-08,5.221090049190025e-08
1825,4.402721387464226e-08,5.371320099811783e-08
1826,1.4885493726524146e-07,2.4662355713189754e-08
1827,2.488663675137559e-08,5.530363722527909e-09
1828,2.2930752408001354e-08,1.6510142586412258e-08
1829,4.372319750700626e-08,5.143905745796928e-09
1830,2.400472176589119e-08,1.3567886369969528e-08
1831,2.3386808933878456e-08,1.870944643656003e-08
1832,2.841293600397421e-08,3.2471927369215337e-08
1833,2.4325620628928846e-08,1.6217079235048004e-08
1834,1.5868701908061666e-08,2.6136685704614138e-08
1835,3.2521278114927554e-08,4.159698363537245e-08
1836,6.72075017860152e-08,2.016225053580456e-08
1837,4.0355768504696243e-08,2.0177884252348122e-08
1838,6.817134590164642e-08,3.408567295082321e-08
1839,4.264799713382672e-08,2.307186797168015e-08
1840,3.3759349093998026e-08,1.52872523528913e-08
1841,2.118781061710706e-08,7.704658244733764e-09
1842,1.0062397137744483e-08,1.475818312002275e-08
1843,1.1223130869097986e-08,1.7130041385371442e-08
1844,8.232841963717874e-09,3.841992946007622e-09
1845,2.4553003186156275e-08,1.4508592549589139e-08
1846,6.439951683034906e-09,1.5807152919933287e-08
1847,1.6718992412734224e-08,8.629157832729106e-09
1848,8.04522137798358e-09,1.528592186161859e-08
1849,2.513824526317876e-08,1.6758828991214614e-08
1850,2.2403686017469226e-08,1.0862393651223101e-08
1851,2.3217978650791338e-08,1.4188765717904062e-08
1852,1.2370036550635177e-08,1.8229528109259263e-08
1853,1.970737528722566e-08,1.851298847554972e-08
1854,2.338049043260071e-08,1.7145692865483397e-08
1855,1.751289246954002e-08,8.491099379170919e-09
1856,1.0872097000458325e-08,3.1063134287023786e-09
1857,1.8061584228235006e-08,1.6597130780837688e-08
1858,2.495774786837046e-08,8.31924928945682e-09
1859,2.64793023063703e-08,1.2221216039165483e-08
