year,ont_VERB ôté_VERB,ont_VERB oté_VERB,ont_VERB botté_VERB
1800,1.5091990235305275e-07,2.2009151834367913e-08,0.0
1801,2.28593535211985e-07,0.0,0.0
1802,2.0140561218795483e-07,2.2378401354217203e-09,0.0
1803,2.515937467251206e-07,0.0,0.0
1804,3.1392505661642645e-07,4.943701892301533e-09,0.0
1805,2.0184431548386783e-07,8.528632911009026e-09,0.0
1806,1.7001848107156547e-07,5.76333825108577e-09,0.0
1807,2.1636859059981361e-07,0.0,0.0
1808,1.0877155176558517e-07,0.0,0.0
1809,2.6882463544097845e-07,0.0,0.0
1810,1.4040760731859336e-07,1.6380887757350138e-08,0.0
1811,6.769107585569145e-08,5.0141535368197765e-09,0.0
1812,1.6536691305191198e-07,0.0,0.0
1813,1.8979895344273245e-07,0.0,0.0
1814,3.492811515570793e-07,3.1466771410748606e-09,0.0
1815,2.88602933551374e-07,0.0,0.0
1816,2.595716352971067e-07,1.8540831092650478e-08,0.0
1817,3.0981780696492933e-07,6.227493631882908e-09,0.0
1818,3.2187179499487684e-07,1.1921177378582115e-09,0.0
1819,3.446899654591107e-07,8.280840013696888e-09,0.0
1820,3.287015317710029e-07,3.5599443393152796e-09,0.0
1821,1.962436186886407e-07,2.9584463767662328e-09,0.0
1822,2.0051231786055723e-07,2.0051231786055723e-09,0.0
1823,1.5812298670425662e-07,1.9765373782121287e-09,0.0
1824,1.7263280938095704e-07,2.5263338088166165e-09,0.0
1825,2.0076410578440118e-07,1.7610886082763955e-09,0.0
1826,2.078684246953344e-07,8.807984341885344e-10,2.642395191543301e-09
1827,1.6683264902894734e-07,9.217273055917019e-10,0.0
1828,2.2288692491656548e-07,1.8344602503717056e-09,0.0
1829,1.6889157450350467e-07,0.0,0.0
1830,2.0143093593105732e-07,3.1310507520032616e-09,0.0
1831,2.0268568334813608e-07,1.5591206103948707e-09,0.0
1832,2.448924476539105e-07,2.705993873419743e-09,0.0
1833,1.8417969727124728e-07,1.1583628500844156e-09,0.0
1834,2.3242982649662736e-07,9.334530925997342e-10,0.0
1835,2.1479169731719594e-07,7.563087933704082e-10,0.0
1836,1.9490175873215776e-07,3.3603749782784575e-09,0.0
1837,1.5794412888681109e-07,2.087367279024477e-09,0.0
1838,2.0072674544735492e-07,2.5248647617104325e-09,0.0
1839,1.8038005578091543e-07,2.09744255297295e-09,0.0
1840,1.3949617994057917e-07,5.095750932326837e-09,0.0
1841,1.4895672961756645e-07,1.926164561183441e-09,0.0
1842,1.207487656529338e-07,3.3541325272778977e-09,0.0
1843,1.329054981624722e-07,1.7720733769266417e-09,0.0
1844,1.4983771734478069e-07,1.6465684371524958e-09,0.0
1845,1.5010813569915626e-07,3.348136878855712e-09,0.0
1846,2.0724934302052134e-07,4.6836012845830055e-09,0.0
1847,1.4399907399820222e-07,3.235934187273415e-09,0.0
1848,1.432049430150073e-07,8.045221711050488e-10,0.0
1849,1.6842624006585538e-07,8.379414939696517e-10,0.0
1850,1.3442212321024272e-07,2.7155984128057753e-09,0.0
1851,9.996630012665264e-08,1.9348316282474798e-09,0.0
1852,1.8359737907758245e-07,1.9531636308300904e-09,0.0
1853,1.0570319375347026e-07,3.5831591027601917e-09,0.0
1854,1.7145693220754765e-07,2.597832227113628e-09,0.0
1855,1.1834470114990836e-07,2.1227748447927297e-09,0.0
1856,1.5945742859457823e-07,3.106313539724681e-09,0.0
1857,1.1227471219399376e-07,2.928905395993553e-09,0.0
1858,1.5806573117060907e-07,7.3405139189297586e-09,0.0
1859,1.6855094031598128e-07,5.092173349652285e-09,0.0
1860,1.1397187904549355e-07,2.288591982591015e-09,0.0
1861,1.3864932668639085e-07,5.659156698811785e-09,0.0
1862,1.4773814882573788e-07,3.6143890658202338e-09,0.0
