year,peut_VERB ôter_VERB,peut_VERB oter_VERB,peut_VERB botter_VERB
1800,2.7354229814591235e-07,9.432493897065797e-09,0.0
1801,2.333558910549982e-07,0.0,0.0
1802,3.8043282302169246e-07,4.475680270843441e-09,0.0
1803,2.2428901047533145e-07,1.950339223455444e-09,0.0
1804,3.9549615848955e-07,9.887403784603066e-09,0.0
1805,3.2693094453861704e-07,5.685755422035754e-09,0.0
1806,3.7749865100522584e-07,5.76333825108577e-09,0.0
1807,2.619198653519561e-07,2.8469551160981155e-09,0.0
1808,3.2404858529844205e-07,6.798221985349073e-09,0.0
1809,2.3042110797177884e-07,0.0,0.0
1810,2.7145469516653975e-07,0.0,0.0
1811,1.9555199060050654e-07,2.5070767684098882e-09,0.0
1812,2.053750307595692e-07,5.3344164641089264e-09,0.0
1813,4.02603831162196e-07,0.0,0.0
1814,1.8250727862323401e-07,0.0,0.0
1815,1.4834729711310501e-07,5.394447111228828e-09,0.0
1816,3.939926500606816e-07,0.0,0.0
1817,3.331709024223528e-07,4.670620334934483e-09,0.0
1818,3.4094566103703983e-07,3.5763532135746345e-09,0.0
1819,2.4428479150628846e-07,1.035105001712111e-09,0.0
1820,3.666742713903659e-07,0.0,0.0
1821,3.0767844805268396e-07,9.86148829262845e-10,0.0
1822,2.3560197348615475e-07,0.0,0.0
1823,3.8740131458325777e-07,2.9648061783404955e-09,0.0
1824,2.6779139261634555e-07,0.0,0.0
1825,2.9057960659883975e-07,4.4027217427355936e-09,0.0
1826,2.71285927055942e-07,7.92718590769681e-09,0.0
1827,3.198393869752181e-07,9.217273055917019e-10,0.0
1828,2.1738354405442806e-07,1.8344602503717056e-09,0.0
1829,2.8291481157793896e-07,8.57317605795771e-10,0.0
1830,3.0893033908796497e-07,1.0436835840010872e-09,0.0
1831,2.3386809289149824e-07,1.5591206103948707e-09,0.0
1832,1.826545883432118e-07,4.058990921151917e-09,0.0
1833,1.586957125709887e-07,1.1583628500844156e-09,0.0
1834,2.184280276651407e-07,2.8003592777992026e-09,0.0
1835,2.064722934846941e-07,3.025235173481633e-09,0.0
1836,3.19235624601788e-07,5.376600220596828e-09,0.0
1837,2.2891461526342027e-07,1.3915781860163179e-09,0.0
1838,1.8557756220616284e-07,1.8936485712828244e-09,0.0
1839,2.4190504177568073e-07,6.9914749545318955e-09,0.0
1840,1.993712572812001e-07,1.9109065441114126e-09,0.0
1841,1.46388501320871e-07,3.852329122366882e-09,0.0
1842,1.7978150879116583e-07,6.037438549100216e-09,0.0
1843,1.6480281317399204e-07,1.1813822142769936e-09,0.0
1844,2.0527218680399528e-07,2.195424508855126e-09,0.0
1845,1.9921414207146881e-07,2.2320911785556063e-09,0.0
1846,1.8324588779705664e-07,4.0981511517657054e-09,0.0
