year,tout_DET office_NOUN
1800,3.458580888349161e-08
1801,3.5717739876872656e-08
1802,4.923248297927785e-08
1803,1.755305234496518e-08
1804,2.4718509461507665e-09
1805,1.421438877713399e-08
1806,4.034336598124355e-08
1807,1.7081730252499483e-08
1808,4.758755522971114e-08
1809,2.7108365552308555e-08
1810,2.8081520220268885e-08
1811,4.763445815569867e-08
1812,2.400487275622254e-08
1813,2.0130191291656274e-08
1814,1.2586708564299443e-08
1815,3.236668177919455e-08
1816,3.012885052555703e-08
1817,2.023935474770866e-08
1818,4.172411971481438e-08
1819,4.34744116262209e-08
1820,2.254631326081835e-08
1821,2.1695274909916407e-08
1822,3.308453244699194e-08
1823,4.941343334508019e-08
1824,7.831635162602879e-08
1825,5.459374818883589e-08
1826,5.813269599030946e-08
1827,2.1199727640031085e-08
1828,2.9351363395324626e-08
1829,6.77280880267972e-08
1830,7.201416707403041e-08
1831,2.338680871183385e-08
1832,3.382492430592521e-08
1833,1.7375442640243932e-08
1834,1.9602514278460603e-08
1835,4.386591001548368e-08
1836,9.812295331812493e-08
1837,5.0096814696587444e-08
1838,4.1660268124132926e-08
1839,5.6630949041291956e-08
1840,9.490835983783086e-08
1841,5.6500826239869184e-08
1842,5.702025385190268e-08
1843,5.493427224223524e-08
1844,6.256960016770563e-08
1845,6.41726201067172e-08
1846,1.0479557266407369e-07
1847,9.384208965457219e-08
1848,6.114368644727364e-08
1849,3.7707368116812745e-08
1850,5.159636806695289e-08
1851,6.836405219701192e-08
1852,6.77096707590863e-08
1853,6.688563969348138e-08
1854,8.83262938344842e-08
1855,1.3585759717216206e-07
1856,4.918329687964018e-08
1857,7.322263906317517e-08
1858,7.536260748786106e-08
1859,7.43457331253694e-08
1860,5.8587953377653434e-08
1861,6.366551225100991e-08
1862,4.8794252638373337e-08
1863,5.444136896848306e-08
1864,8.34282687378618e-08
1865,5.4599393062293444e-08
1866,5.400830360713371e-08
1867,5.435148864307848e-08
1868,5.829051408223762e-08
1869,6.348575187775651e-08
1870,3.1537268796455464e-08
1871,2.3366589108064773e-08
1872,8.768641968082136e-08
1873,3.352162636360845e-08
1874,5.735624597491551e-08
1875,8.467859896610364e-08
1876,3.9903697679477546e-08
1877,5.566334237983028e-08
1878,5.555961463121761e-08
1879,6.231511739951401e-08
1880,7.63723673191663e-08
1881,4.392679742171168e-08
1882,4.5922157410061004e-08
1883,5.561018218136482e-08
1884,3.630933420595284e-08
1885,4.640857836912815e-08
1886,3.743009102663564e-08
1887,6.398345953062545e-08
1888,8.179392940732555e-08
1889,4.0723387773056174e-08
1890,2.2940352395472985e-08
1891,3.059625441892422e-08
1892,3.8864776286118285e-08
1893,3.756634137097592e-08
1894,3.591877373310126e-08
1895,4.333402547906928e-08
1896,5.425266724756739e-08
1897,3.262959524796827e-08
1898,3.960848549144913e-08
1899,2.04520400615138e-08
1900,3.218452926390114e-08
1901,5.141639669581366e-08
1902,4.222843952295108e-08
1903,6.912281746984661e-08
1904,5.750848952601473e-08
1905,3.509316109928662e-08
1906,4.1667894634667135e-08
1907,4.319988339274161e-08
1908,2.89771957540097e-08
1909,6.60118004702781e-08
1910,1.9238942550181548e-08
1911,3.990280506016575e-08
1912,3.854971586392253e-08
1913,4.2423917601119854e-08
1914,3.415339178136634e-08
1915,1.6493066468115103e-08
1916,1.3184954017475548e-08
1917,3.070598708632133e-08
1918,6.202643287878118e-08
1919,7.734592977204358e-08
1920,6.360674653649312e-08
1921,3.1805539812967965e-08
1922,2.6560567689681847e-08
1923,4.989495749896378e-08
1924,4.8988173073638563e-08
1925,6.048997880370166e-08
1926,3.6782258128198464e-08
1927,3.567752082656028e-08
1928,3.427812322875923e-08
1929,5.904415489865755e-08
1930,7.037414306854117e-08
1931,4.21998205268892e-08
1932,2.630288775673506e-08
1933,5.047091478083132e-08
1934,5.152079474157745e-08
1935,9.095896036370732e-08
1936,5.334874408902124e-08
1937,5.288269677716784e-08
1938,5.056433616257294e-08
1939,3.5176317858542916e-08
1940,3.042939522579502e-08
1941,6.198155588776899e-08
1942,7.585529493425724e-08
1943,3.483882360377777e-08
1944,2.2492303131116387e-08
1945,7.189063211399116e-08
1946,3.062642850437669e-08
1947,4.649139762058496e-08
1948,3.913879620398575e-08
1949,3.7304630051693266e-08
1950,4.2541445477439765e-08
1951,2.7719644690726852e-08
1952,1.6871685715180718e-08
1953,3.7708397404578875e-08
1954,2.6385847284871033e-08
1955,2.3464018727992197e-08
1956,2.7907653299408253e-08
1957,3.887416755166129e-08
1958,2.7298403371123214e-08
1959,4.960478539040025e-08
1960,3.737250153790228e-08
1961,4.4468220383730994e-08
1962,1.6489086929194485e-08
1963,3.879632060055371e-08
1964,1.4601524156443446e-08
1965,3.9945915575323454e-08
1966,2.2156298795650287e-08
1967,2.8102912663641177e-08
1968,1.7965663984265134e-08
1969,7.493900516797325e-08
1970,6.116304121506211e-08
1971,3.0316544386010946e-08
1972,1.8468529094928243e-08
1973,3.087394045975245e-08
1974,5.5693158529379616e-08
1975,3.826691541419791e-08
1976,2.7424929771591167e-08
1977,3.29099798523913e-08
1978,4.21781978232616e-08
1979,2.516348518444289e-08
1980,3.979605578408041e-08
1981,2.3404534088555806e-08
1982,7.945602753522962e-08
1983,2.2735137661378246e-08
1984,2.0876430029126425e-08
1985,5.414002224313208e-08
1986,1.9182353483415682e-08
1987,2.2610021965796534e-08
1988,2.3386560132898637e-08
1989,2.9087047215270445e-08
1990,9.262706474055804e-08
1991,3.282420607542136e-08
1992,3.085568739402689e-08
1993,2.5480353826878854e-08
1994,2.7957110182441625e-08
1995,2.4943273835287272e-08
1996,4.056949975961288e-08
1997,3.116681346337913e-08
1998,2.3840646234951635e-08
1999,1.9651865079683972e-08
2000,5.610900133401486e-08
2001,8.017617500466478e-08
2002,2.453483965991765e-08
2003,2.7918383604941255e-08
2004,1.9821560448551878e-08
2005,4.233524608654449e-08
2006,2.5530917435734324e-08
2007,2.1969637137297937e-08
2008,1.6178270667577266e-08
2009,2.956279421262309e-08
2010,2.4091343697740797e-08
2011,1.7207873265201457e-08
2012,1.599998850077e-08
2013,1.4503450107561378e-08
2014,1.927246229271873e-08
2015,1.9505863729785133e-08
2016,1.9056329070288314e-08
2017,1.6351473647313597e-08
2018,2.7363547372427632e-08
2019,2.729556963787516e-08
