year,tout_ADV aux_ADP,tout_ADV beau_ADV
1800,2.829747991484055e-08,6.288328968651058e-09
1801,5.476719877606229e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,5.438072037122765e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,5.6651849877908944e-08,0.0
1809,1.129515236897305e-08,0.0
1810,1.4040760554223652e-08,2.3401267590372754e-09
1811,1.2535384286138651e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,8.627225156487839e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,2.1577788444915313e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,1.668964877410417e-08,0.0
1819,1.9666995143552413e-08,1.035105001712111e-09
1820,4.034603762193001e-08,1.1866481131050932e-09
1821,2.070912508145284e-08,1.97229765852569e-09
1822,1.7043547018147365e-08,0.0
1823,1.581229902569703e-08,9.882686891060644e-10
1824,1.6842225392110777e-08,0.0
1825,2.993850500843109e-08,8.805443041381977e-10
1826,1.5854372037438225e-08,8.807984341885344e-10
1827,1.2904182611350734e-08,0.0
1828,1.4675682002973645e-08,1.8344602503717056e-09
1829,3.086343269842473e-08,0.0
1830,9.39315203396518e-09,0.0
1831,2.182768810143898e-08,0.0
1832,2.1647950987357945e-08,1.3529969367098715e-09
1833,2.20088942626262e-08,0.0
1834,2.5203233278148218e-08,9.334530925997342e-10
1835,2.4201881387853064e-08,0.0
1836,4.9061473994527205e-08,0.0
1837,3.6876823372722356e-08,0.0
1838,1.8305270410579055e-08,0.0
1839,9.788065469251706e-09,0.0
1840,2.356784811752277e-08,0.0
1841,1.4125206782011901e-08,3.852329122366882e-09
1842,1.9453969102301016e-08,0.0
1843,2.0674189471492355e-08,0.0
1844,1.0977122377742177e-08,5.488561272137815e-10
1845,2.2320911341466854e-08,5.580227946389016e-10
1846,1.4050803187615202e-08,1.1709002656346001e-09
1847,1.6718992412734224e-08,0.0
1848,1.287235473768078e-08,0.0
1849,1.6758829879393033e-08,0.0
1850,1.0183494048021657e-08,0.0
1851,1.0319102461409102e-08,0.0
1852,1.6276363368206148e-08,0.0
1853,1.791579506971175e-08,5.971931837933653e-10
1854,1.92239586471743e-08,0.0
1855,1.1675261646360013e-08,5.306937111981824e-10
1856,2.174419400091665e-08,0.0
1857,1.8549734193129552e-08,4.881509085841174e-10
1858,1.565976326389773e-08,0.0
1859,1.323965070909594e-08,0.0
1860,1.785101666484934e-08,0.0
1861,3.1125360067107977e-08,2.3579818653196583e-09
1862,2.2589931703009825e-08,4.517986262886353e-10
1863,2.946826249683454e-08,4.994620828036034e-10
1864,1.4384183621984903e-08,0.0
1865,1.6003271208209213e-08,4.706844358715045e-10
1866,1.3137154475373336e-08,0.0
1867,2.2808213984149006e-08,0.0
1868,2.2723421366777075e-08,3.4579119567723637e-09
1869,2.0022428159904848e-08,0.0
1870,1.2614907340946502e-08,0.0
1871,2.1242354542039266e-08,0.0
1872,1.2094679036067646e-08,0.0
1873,1.0774807712721213e-08,0.0
