year,seraient_VERB aux_ADP,seraient_VERB beaux_ADJ
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,2.3811825844433088e-09
1802,3.1329761895904085e-08,2.2378401354217203e-09
1803,2.5354410126965377e-08,5.851017448321727e-09
1804,1.2359254952798437e-08,0.0
1805,2.842877755426798e-08,1.1371510844071508e-08
1806,3.458002950651462e-08,0.0
1807,2.8469550272802735e-08,8.540865792383556e-09
1808,2.039466551195801e-08,0.0
1809,4.743964154840796e-08,2.259030518203531e-09
1810,7.020380277111826e-09,0.0
1811,7.270522672797597e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,5.176335093892703e-08,0.0
1814,2.8320094713762956e-08,3.1466771410748606e-09
1815,1.1867783911156948e-07,2.697223555614414e-09
1816,3.0128852301913867e-08,0.0
1817,6.227493543065066e-08,7.784366928831332e-09
1818,5.6029534789558966e-08,1.1921176934492905e-08
1819,4.5544620519422097e-08,2.070210003424222e-09
1820,1.6613073583471305e-08,2.254631326081835e-08
1821,3.155676253641104e-08,5.9168927535324656e-09
1822,5.1130641054442094e-08,3.0076847679083585e-09
1823,4.644862983127496e-08,2.9648061783404955e-09
1824,4.29476756380609e-08,3.3684450784221553e-09
1825,2.553578504205234e-08,1.1447076175841175e-08
1826,3.435113882233054e-08,3.5231937367541377e-09
1827,5.346018383534101e-08,2.7651818612639545e-09
1828,6.237164740241496e-08,2.7516904310687096e-09
1829,3.429270378774163e-08,0.0
1830,1.5655253093882493e-08,3.1310507520032616e-09
1831,5.9246584527272717e-08,1.5591206103948707e-09
1832,3.111892965534935e-08,1.6235963684607668e-08
1833,3.4750886612755494e-08,5.791814139399776e-09
1834,1.5868701908061666e-08,1.3068342852307069e-08
1835,7.033671778344797e-08,1.5126175867408165e-09
1836,3.293167694096155e-08,3.36037508930076e-09
1837,4.731365876864402e-08,1.3219993100221927e-08
1838,5.1759727170974656e-08,1.3886756633496589e-08
1839,2.586845759822154e-08,2.0974426639952526e-09
1840,3.630722389402763e-08,1.0828470564661075e-08
1841,7.640452537316378e-08,1.926164561183441e-09
1842,7.44617452141938e-08,6.708265054555795e-10
1843,5.729703644874462e-08,1.7720733325177207e-08
1844,2.7442807137845193e-08,1.4819115712327857e-08
1845,5.412821124650691e-08,5.022205318283568e-09
1846,3.922516000898213e-08,5.854501328173001e-09
1847,4.368511241636952e-08,4.314578916364553e-09
1848,4.827133182061516e-08,4.02261068899179e-09
1849,8.295620546050486e-08,8.379414939696517e-10
1850,2.851378333446064e-08,2.0366988096043315e-09
1851,6.44943867200709e-08,5.159551008659946e-09
1852,4.362065553209504e-08,6.510545436100301e-10
1853,5.5538965426649156e-08,8.957897534855874e-09
1854,2.338049043260071e-08,3.63696517347023e-09
1855,5.3600064831016425e-08,4.2455496895854594e-09
1856,4.659470320689252e-08,0.0
1857,3.758761835115365e-08,5.857811125054013e-09
1858,2.9851424443450014e-08,1.9574704079872163e-09
1859,3.6154432336843456e-08,9.165912473463322e-09
1860,4.439868561689764e-08,7.781213007262977e-09
1861,4.385846352761291e-08,9.431927239234028e-09
1862,3.7499287230957634e-08,6.325180823552046e-09
1863,2.7470415275843152e-08,9.989241656072068e-10
1864,2.7809422320501653e-08,5.753673537611803e-09
1865,4.89511826629041e-08,4.706844247692743e-09
1866,4.281739407474561e-08,4.865612912574591e-10
1867,4.901339423213358e-08,2.426405742994575e-09
1868,2.766329387782207e-08,4.44588676984381e-09
1869,4.785848872757015e-08,3.4184632902167778e-09
1870,3.383088653663435e-08,5.734048791339319e-09
1871,3.611200227737754e-08,2.1242354542039266e-09
1872,4.051717183983783e-08,0.0
1873,4.42964314117944e-08,5.986004469882289e-10
1874,2.8678122987457755e-08,2.3898436563030145e-09
1875,2.8607635371713513e-08,5.721527140956084e-10
1876,2.478866001354163e-08,2.418405919968336e-09
1877,5.318941731502491e-08,6.184815992682502e-10
1878,4.7708802242141246e-08,0.0
1879,3.29903571127943e-08,6.720257683667796e-09
1880,4.428314070992201e-08,6.417846254436199e-10
1881,6.205532088188193e-08,4.8807553554297556e-09
1882,6.455723422504889e-08,1.3310770263785798e-09
1883,4.802697617378726e-08,6.319338829996468e-09
1884,3.1688145440966764e-08,0.0
1885,4.640857653726016e-08,5.156508553483263e-09
1886,2.8395241713496944e-08,4.5174246565693466e-09
1887,3.7867764035581786e-08,7.834709769838355e-09
1888,5.199304098368884e-08,4.4384300679212174e-09
1889,3.132568338060082e-08,5.012109394186837e-09
1890,3.2771932723107966e-08,0.0
1891,4.079500826037474e-08,2.5496880162734215e-09
1892,3.322311670217459e-08,3.761107425503951e-09
1893,6.404753349897874e-08,2.463366621796581e-09
1894,4.663139208105349e-08,1.1972924873759894e-08
1895,4.634333095054899e-08,3.0093072478365457e-09
1896,5.248355705589347e-08,1.0024948871034667e-08
1897,3.437761009195128e-08,8.740070001067579e-09
1898,3.168678830434146e-08,1.6975064687230201e-09
1899,2.9296165493519766e-08,3.8693048765026106e-09
1900,3.322274011452464e-08,2.07642125715779e-09
1901,3.7444550571308355e-08,7.265360757457984e-09
1902,2.6024505217492333e-08,6.874397495693074e-09
1903,4.1581696308412575e-08,7.560307935250421e-09
1904,4.568431322127253e-08,0.0
1905,2.7352022868853965e-08,1.0321518084666081e-09
1906,2.1605574218597212e-08,4.115347618238729e-09
1907,3.445705232252294e-08,1.337139288182243e-08
1908,4.469363901193901e-08,5.40252820258047e-09
1909,3.300590023513905e-08,5.5009836685826485e-09
1910,5.076943310200477e-08,1.5498036631811374e-08
1911,4.256299490634774e-08,2.6601871816467337e-09
1912,2.7609932118366487e-08,1.5628263128064646e-09
1913,4.295421618394357e-08,2.6514948014977335e-09
1914,3.147469485043075e-08,2.0090231700464756e-09
1915,8.010918151057922e-08,1.1780761921542648e-09
1916,2.197492321442951e-08,1.0987462051303964e-09
1917,4.8252267959014716e-08,5.483212106582869e-09
1918,4.5945505178224266e-08,3.44591288836682e-09
1919,5.800944435918609e-08,2.762354567309444e-09
1920,4.619061400035207e-08,4.543339038320937e-09
1921,2.196096815509918e-08,8.330022005509363e-09
1922,4.426761179843197e-08,7.377935595798135e-09
1923,3.715581797791856e-08,5.307974060286824e-09
1924,2.4494086758863887e-08,1.2891624656674594e-08
1925,3.079489729884699e-08,1.4297631523163545e-08
1926,2.6750733184144337e-08,0.0
1927,2.6758140592164636e-08,0.0
1928,2.0566874425753667e-08,4.570416489713125e-09
1929,3.342121956961819e-08,3.342121912552898e-09
1930,1.8906487042613662e-08,0.0
1931,4.334035708097872e-08,9.124285327288817e-09
1932,4.164623845781534e-08,4.383814644626227e-09
1933,3.4411986149507356e-08,2.2941324395731044e-09
1934,3.1152108448395666e-08,1.1981580172459871e-09
1935,3.231436807027421e-08,5.98414207075848e-09
1936,2.182448710641438e-08,1.2124714565686645e-08
