year,fût_VERB au_ADP,fût_VERB beau_ADJ
1800,8.049061079873354e-07,2.2009151834367913e-08
1801,7.738843237348192e-07,2.3811825844433088e-09
1802,6.556871312568546e-07,1.1189200677108602e-08
1803,7.41128928893886e-07,7.801356893821776e-09
1804,8.255981924776279e-07,1.730295728918918e-08
1805,7.363053100561956e-07,3.695740957709859e-08
1806,8.011040222299926e-07,2.881669125542885e-09
1807,8.910969313546957e-07,5.693910232196231e-09
1808,7.047490271361312e-07,4.5321479902327155e-09
1809,8.155100204021437e-07,4.518061036407062e-09
1810,7.441603315783141e-07,1.6380887757350138e-08
1811,8.198140903914464e-07,0.0
1812,5.254400434751005e-07,2.6672083208723052e-08
1813,8.886041769073927e-07,2.0130190847567064e-08
1814,6.482155185949523e-07,3.1466771410748606e-09
1815,7.39039251129725e-07,0.0
1816,1.008157710202795e-06,1.3905623319487859e-08
1817,9.138846621681296e-07,1.401186100480345e-08
1818,1.0097237463924102e-06,4.172412104708201e-08
1819,9.08822187284386e-07,1.2421260464634543e-08
1820,9.49318518905784e-07,5.933240565525466e-09
1821,8.658386718707334e-07,0.0
1822,8.481671329718665e-07,1.804610860745015e-08
1823,1.1948168321396224e-06,1.087095569118901e-08
1824,1.1082183846156113e-06,1.6842225392110777e-09
1825,1.2098678325855872e-06,2.289415235168235e-08
1826,1.0411037010271684e-06,2.025836387531399e-08
1827,1.2166800615887041e-06,8.295545583791863e-09
1828,9.447470006307412e-07,3.668920500743411e-09
1829,9.970603969122749e-07,2.5719527840806222e-08
1830,9.194852168548096e-07,4.174734336004349e-09
1831,7.951514930937265e-07,2.0268567268999504e-08
1832,8.618590641162882e-07,5.411987746839486e-09
1833,7.309269562938425e-07,2.89590715851773e-08
1834,6.954225568733818e-07,1.8669061851994684e-09
1835,9.12108419015567e-07,9.075705520444899e-09
1836,8.878110975274467e-07,8.736974699274924e-09
1837,8.989595130515227e-07,1.948209416013924e-08
1838,9.020079119181901e-07,6.943378316748294e-09
1839,7.410963576148788e-07,5.5931801412612e-09
1840,9.656448582973098e-07,6.3696887764308485e-09
1841,8.526488386451092e-07,1.6051371787284552e-08
1842,7.607172847201582e-07,5.366612043644636e-09
1843,8.80129732649948e-07,5.906910960362666e-09
1844,7.969391049300611e-07,2.360081374774836e-08
1845,7.499826324419701e-07,1.0044410636567136e-08
1846,7.967976216605166e-07,1.5221703009160592e-08
1847,7.092089049365313e-07,2.6966118227278457e-09
1848,6.661443308075832e-07,1.6090443422100975e-09
1849,6.661634870397393e-07,1.0893239199560867e-08
1850,7.753033628432604e-07,2.5798184921654865e-08
1851,7.339461376432155e-07,4.514607354622058e-09
1852,6.451950298469455e-07,1.6276363368206148e-08
1853,7.405195674436982e-07,9.555090940693844e-09
1854,6.905037821525184e-07,1.1950028522278444e-08
1855,6.692047804790491e-07,9.552486801567284e-09
1856,7.631176686118124e-07,1.7084724746041502e-08
1857,8.669559861118614e-07,1.3668225662399891e-08
1858,8.147970333993726e-07,5.872411001917044e-09
1859,7.678997349103156e-07,8.147477359443656e-09
1860,8.765306915847759e-07,1.4189270203246451e-08
1861,8.017138384275313e-07,1.839225838295988e-08
1862,7.346245638473192e-07,1.8523744316212287e-08
