year,soit_VERB à_ADP,soit_VERB a_ADP,soit_VERB bas_ADJ
1800,5.150141532794805e-06,3.144164484325529e-08,2.829747991484055e-08
1801,5.0409635150572285e-06,4.7623651688866175e-09,3.095537337571841e-08
1802,5.2656378102255985e-06,2.9091921760482364e-08,1.1189200677108602e-08
1803,5.336128197086509e-06,2.5354410126965377e-08,4.8758479920252285e-08
1804,6.0758097788493615e-06,1.9774807791250737e-08,4.2021465418429216e-08
1805,5.321866865415359e-06,1.7057266044062658e-08,1.7057265822018053e-08
1806,5.6567164392618e-06,4.034336775760039e-08,2.881669125542885e-09
1807,5.696757398254704e-06,1.7081731140677903e-08,0.0
1808,5.069207418273436e-06,3.85232588051565e-08,4.5321479902327155e-09
1809,4.983421149518108e-06,1.5813214071513926e-08,3.162642769893864e-08
1810,5.63970570510719e-06,4.680253518074551e-09,9.360507036149102e-09
1811,5.074323325970909e-06,6.267691787797958e-08,2.2563691359778204e-08
1812,5.470444193633739e-06,2.1337664968257286e-08,5.3344164641089264e-09
1813,5.228098416409921e-06,1.4378708224072057e-08,2.0130190847567064e-08
1814,5.450044682220323e-06,6.608021863030444e-08,0.0
1815,4.517849447438493e-06,2.697223555614414e-09,5.3944472000466703e-08
1816,5.249372861726442e-06,2.0858434979231788e-08,1.1588019432906549e-08
1817,5.467739356390666e-06,1.5568733968684967e-08,6.85024303948012e-08
1818,5.3454559747478925e-06,2.1458119281447807e-08,2.026600220972341e-08
1819,4.930205250275321e-06,1.8631890030818e-08,2.6912729822470283e-08
1820,5.1144534154445864e-06,1.0679833017945839e-08,1.779972080839798e-08
1821,5.988881639495958e-06,2.4653720287481917e-08,2.859831660373402e-08
1822,5.537147444556467e-06,1.5038423839541792e-08,1.5038423839541792e-08
1823,4.723924121208256e-06,7.906149623870817e-09,3.4589405117912975e-08
1824,5.383617462939583e-06,1.9368559200927393e-08,2.3579115548955087e-08
1825,5.087785211799201e-06,2.2013607603454943e-08,1.2327619813845558e-08
1826,4.901643478660844e-06,1.409277539110576e-08,2.8185549894033102e-08
1827,5.29993212694535e-06,9.217273055917019e-10,1.474763688946723e-08
1828,5.190605406824034e-06,1.375845176676549e-08,1.559291185060374e-08
1829,5.402815531851957e-06,1.2002446592163096e-08,1.800366966620004e-08
1830,5.432373200164875e-06,2.8179455879850934e-08,1.2524203008013046e-08
1831,5.294773472996894e-06,4.677361609140007e-09,5.76874619184764e-08
