year,tout_DET an_NOUN,tout_DET banc_NOUN
1800,9.432493186523061e-08,0.0
1801,9.048494087338099e-08,0.0
1802,8.056224487518193e-08,0.0
1803,6.241085537261881e-08,0.0
1804,6.426812215742927e-08,0.0
1805,8.528633421711618e-08,0.0
1806,7.20417272503937e-08,0.0
1807,6.832692633906845e-08,0.0
1808,8.38447360429484e-08,0.0
1809,7.454800399209205e-08,0.0
1810,8.658468830802235e-08,0.0
1811,7.521230127593981e-08,0.0
1812,5.601137331723294e-08,0.0
1813,9.489947139229571e-08,0.0
1814,1.0069367162302001e-07,0.0
1815,1.4565007488975823e-07,1.8880564667256294e-08
1816,9.270415723960923e-08,0.0
1817,8.874178414330913e-08,0.0
1818,6.795070950360582e-08,0.0
1819,8.073819235399071e-08,0.0
1820,7.119888678630559e-08,1.1866481131050932e-09
1821,6.804427155060466e-08,0.0
1822,7.920236555492011e-08,9.023054303725075e-09
1823,6.324919477052049e-08,0.0
1824,8.757956937444078e-08,0.0
1825,7.660735379388939e-08,2.641632912414593e-09
1826,5.989429308073113e-08,8.807984341885344e-10
1827,6.359918347520477e-08,0.0
1828,7.246118116643885e-08,0.0
1829,5.486832571621747e-08,1.714635211591542e-09
1830,7.827626746781391e-08,0.0
1831,9.510636012066698e-08,0.0
1832,6.359085902296613e-08,0.0
1833,6.023486687212198e-08,0.0
1834,8.961149400299462e-08,1.3068342852307069e-08
1835,6.277362984974388e-08,3.025235173481633e-09
1836,4.838940070861497e-08,4.704525213838906e-09
1837,5.21841809764112e-08,0.0
1838,5.807189129569679e-08,6.312161904276081e-10
1839,7.90036712716713e-08,3.4957374772659477e-09
1840,5.5416291111498595e-08,0.0
1841,6.292137655350416e-08,0.0
1842,7.043678440510348e-08,6.708265054555795e-10
1843,5.1390125543893106e-08,2.3627644285539873e-09
1844,5.982531986470363e-08,4.390849017710252e-09
1845,5.915041817461386e-08,5.580227946389016e-10
1846,6.908311478426299e-08,2.3418005312692003e-09
1847,5.123562374365065e-08,1.4022381478184798e-08
1848,5.712107536970379e-08,0.0
1849,5.614207854165443e-08,0.0
1850,6.11009625117731e-08,0.0
1851,6.191461188187475e-08,1.2898877521649865e-09
1852,5.5990692304774825e-08,0.0
1853,6.270528363216954e-08,0.0
1854,5.3515345765919875e-08,0.0
1855,6.102977678779098e-08,0.0
1856,6.782117567549761e-08,0.0
1857,5.9554409848061596e-08,0.0
1858,4.4532450116374633e-08,9.787352039936081e-10
1859,5.0412515051334594e-08,2.5460866748261424e-09
1860,3.936378267788143e-08,1.830873536112776e-09
1861,5.1404003997834735e-08,1.886385547766878e-09
1862,4.337266945597662e-08,1.8071945051545413e-09
1863,5.4940829219418674e-08,3.995696662428827e-09
1864,6.185199019625998e-08,4.794727948009836e-09
1865,5.601144886790976e-08,8.47232023426514e-09
1866,6.033360056001413e-08,4.379051676828283e-09
1867,6.98804871746006e-08,1.94112459439566e-09
1868,5.532659119733552e-08,1.1361710017254723e-08
1869,5.07885999923019e-08,4.883519144627257e-10
1870,6.020751142088443e-08,1.7202146374017957e-09
1871,4.991953250765846e-08,0.0
1872,5.6844988272075625e-08,0.0
1873,5.207823960962088e-08,4.788803575905831e-09
1874,5.19790986919233e-08,5.377148226681783e-09
1875,4.520006324781889e-08,1.1443054281912168e-09
1876,3.990369745743294e-08,6.046015021965445e-09
1877,4.514915652453766e-08,9.27722432209066e-09
1878,5.857915974516459e-08,4.227361960484899e-09
1879,4.5209007426549874e-08,1.221865053580018e-09
1880,6.032775390352185e-08,6.417846254436199e-10
1881,6.066081525979428e-08,0.0
1882,5.856738805043449e-08,2.6621540527571597e-09
1883,6.066565516604783e-08,1.2638677882037541e-09
1884,5.941527181363426e-08,6.601696966868076e-10
1885,7.154655756735906e-08,1.2891271383708158e-09
1886,8.583107158344205e-08,1.2906927748801422e-09
1887,8.161155617969484e-08,7.83470954779375e-09
1888,6.086990267384351e-08,0.0
1889,4.1976415232625186e-08,0.0
1890,5.702316308031641e-08,1.3108772956016423e-09
1891,5.418087090092172e-08,0.0
1892,5.202865427378356e-08,1.2537024751679837e-09
1893,4.434059919233846e-08,3.695050043717174e-09
1894,4.537108289071057e-08,0.0
1895,5.597311303340291e-08,6.018614495673091e-10
1896,4.00997970384509e-08,5.89702897624278e-10
