year,serait_VERB aux_ADP,serait_VERB beau_ADV
1800,9.118077315406481e-08,6.60274537267469e-08
1801,8.096020565062645e-08,2.1430643926123594e-08
1802,7.161088433349505e-08,2.6854081625060644e-08
1803,5.851017803593095e-08,2.3404069793286908e-08
1804,1.7055771195373381e-07,3.9549615138412264e-08
1805,2.2743021688143017e-08,2.842877755426798e-08
1806,7.204172902675055e-08,1.152667650217154e-08
1807,1.4804166426074516e-07,1.1387820464392462e-08
1808,9.970725756147658e-08,2.945896149242344e-08
1809,1.1521055398588942e-07,3.388545621874073e-08
1810,1.310471020588011e-07,7.722418615685456e-08
1811,1.7048121492280188e-07,3.008491944456182e-08
1812,8.268345652595599e-08,2.6672083208723052e-08
1813,1.8979895344273245e-07,3.4508900625951355e-08
1814,1.0069366851439554e-07,2.2026739543434815e-08
1815,1.0519171667056071e-07,4.8550024445148665e-08
1816,8.1116134253989e-08,4.8669683394564345e-08
1817,1.370048607896024e-07,5.293369653713853e-08
1818,1.6332012364728143e-07,6.437435473571895e-08
1819,2.0391568966715568e-07,3.9333990287104825e-08
1820,1.6019750148643652e-07,9.967844505354151e-08
1821,1.8046523564407835e-07,4.141825016290568e-08
1822,2.2357123441452131e-07,3.8097340393505874e-08
1823,1.9370065729162889e-07,4.5460360809101985e-08
1824,1.3389569630817277e-07,4.884245186076441e-08
1825,2.2718043624081474e-07,4.138558296062911e-08
1826,1.5766292449370667e-07,2.8185549894033102e-08
1827,2.571619290847593e-07,6.544264152807955e-08
1828,1.742737225640667e-07,5.228211819030548e-08
1829,2.417635585061362e-07,7.458663020543099e-08
1830,1.6385831713705556e-07,3.444155893816969e-08
1831,2.2919073217053665e-07,6.704218691311326e-08
1832,1.97537559643024e-07,1.0959275442701255e-07
1833,2.490480142114393e-07,7.52935847003755e-08
1834,2.8563664500325103e-07,1.297499778729616e-07
1835,2.3596834353156737e-07,8.168134968400409e-08
1836,1.9893420244443405e-07,5.5782226837663984e-08
1837,2.1082409773498512e-07,7.72325918774186e-08
1838,2.1335107192044234e-07,4.670999942391063e-08
1839,1.7268943963699712e-07,5.033862038317238e-08
1840,2.496917943517474e-07,8.089504888175725e-08
1841,2.471911102475133e-07,6.099521243640993e-08
1842,2.555848936935945e-07,5.9032732480091e-08
1843,2.0260705468899687e-07,9.805472700463724e-08
1844,2.4094782702377415e-07,7.190015338665035e-08
1845,2.148387778788674e-07,7.365900955846882e-08
1846,1.6216968390381226e-07,7.083946940156238e-08
1847,1.9900994630006608e-07,4.638172157456211e-08
1848,2.0756671403887594e-07,6.033916122305527e-08
1849,1.9105065973690216e-07,6.703531596485846e-08
1850,2.5594513886062487e-07,9.640374543096186e-08
1851,2.27665182706005e-07,7.997304152240758e-08
1852,2.0833745395520964e-07,4.6224872818356744e-08
1853,1.7079725012081326e-07,4.41922942684414e-08
1854,2.0159177438472398e-07,5.403490987987425e-08
1855,1.6186157836273196e-07,3.980202833986368e-08
1856,1.868965284756996e-07,7.506924504241397e-08
1857,1.8256844214192824e-07,8.689086428148585e-08
1858,1.453421845099001e-07,5.5787907626836386e-08
1859,1.7415233344308945e-07,9.06406825151862e-08
1860,1.922417283140021e-07,9.29168351149201e-08
1861,2.0750240992128965e-07,8.818852137437716e-08
