year,pouvait_VERB ôter_VERB,pouvait_VERB oter_VERB
1800,6.288328791015374e-08,0.0
1801,3.095537337571841e-08,0.0
1802,0.0,0.0
1803,1.1702034896643454e-08,0.0
1804,5.19088700912107e-08,0.0
1805,5.970043304159844e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,2.2660739062985158e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,2.5070768572277302e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,3.4508900625951355e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,2.966945977789237e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,5.7604317760251433e-08,0.0
1818,7.629553522292554e-08,1.1921177378582115e-09
1819,3.9333990287104825e-08,1.035105001712111e-09
1820,7.713212824000948e-08,0.0
1821,6.804427243878308e-08,0.0
1822,5.714601059025881e-08,0.0
1823,4.743689885344793e-08,0.0
1824,7.494790565942822e-08,0.0
1825,6.868245350233337e-08,0.0
1826,4.492072136486058e-08,0.0
1827,7.005127855563842e-08,9.217273055917019e-10
1828,6.879226077671774e-08,0.0
1829,9.687688873327716e-08,0.0
1830,7.097048637660919e-08,0.0
1831,4.365537620287796e-08,3.1182412207897414e-09
1832,5.411987658021644e-08,1.3529969367098715e-09
1833,1.9692167896323554e-08,1.1583628500844156e-09
1834,5.414027981487379e-08,9.334530925997342e-10
1835,3.479020449503878e-08,0.0
1836,6.25029770162655e-08,0.0
1837,6.401259611266141e-08,0.0
1838,2.7142295522253335e-08,0.0
1839,3.216078425793967e-08,0.0
1840,7.516232614079854e-08,6.369688665408546e-10
1841,3.0818632978935057e-08,1.2841097074556274e-09
1842,6.641182181965632e-08,6.708265054555795e-10
1843,5.2571508035725856e-08,1.7720733769266417e-09
1844,3.787107161201675e-08,5.488561272137815e-10
1845,5.4686232431322424e-08,2.7901139176833567e-09
1846,3.688335681317767e-08,0.0
1847,5.015698079091635e-08,5.393223645455691e-10
1848,4.34441957963827e-08,8.045221711050488e-10
1849,5.279031256577582e-08,8.379414939696517e-10
1850,4.073397619208663e-08,6.788996032014438e-10
1851,6.191461210391935e-08,0.0
1852,2.799534470909748e-08,0.0
1853,4.359510086260343e-08,0.0
1854,3.013485283531736e-08,5.195664454227256e-10
1855,3.237231638308913e-08,1.0613874223963649e-09
1856,4.0899795550330964e-08,0.0
1857,4.149282872845106e-08,1.4644527812635033e-09
1858,4.991549573674092e-08,4.893676019968041e-10
1859,3.208069188076479e-08,5.092173349652285e-10
1860,2.8378540406492903e-08,4.577183909670879e-10
1861,3.6312922446768425e-08,1.4147891747029462e-09
1862,3.4336697041226216e-08,0.0
1863,2.1476870060155306e-08,0.0
1864,2.9247839705703882e-08,1.4384183844029508e-09
1865,2.7770381549885315e-08,0.0
1866,3.065336073859726e-08,4.865612912574591e-10
1867,3.299911810472622e-08,1.94112459439566e-09
1868,1.679557115608077e-08,0.0
1869,4.2974967584541446e-08,4.883519144627257e-10
1870,3.612450782952692e-08,5.734048791339319e-10
1871,2.3366590440332402e-08,0.0
1872,3.3260366905096816e-08,1.2094678591978436e-09
1873,2.0352414864532875e-08,0.0
1874,2.6288279997288555e-08,0.0
1875,1.94531928343622e-08,5.721527140956084e-10
1876,2.5997863417615008e-08,0.0
1877,2.1028373708986692e-08,0.0
1878,1.6305540029293297e-08,6.039088673581716e-10
1879,4.032154521382836e-08,6.10932526790009e-10
1880,4.6208491255583795e-08,0.0
1881,1.324776466304911e-08,0.0
1882,3.128031167420886e-08,0.0
1883,1.2638677659992936e-08,0.0
1884,1.386356363042296e-08,0.0
1885,1.2891271161663553e-08,0.0
1886,2.0651084398082276e-08,0.0
1887,1.3710741875172516e-08,0.0
1888,1.3949351895803375e-08,0.0
1889,2.318100555953606e-08,1.2530273485467092e-09
1890,5.243509182406569e-09,0.0
1891,1.4023283867459213e-08,0.0
1892,7.522214851007902e-09,0.0
1893,1.0469308087124318e-08,6.158416554491453e-10
1894,6.9316934414587195e-09,0.0
1895,1.745398137131815e-08,0.0
1896,1.7691087705884456e-08,0.0
1897,8.740070001067579e-09,0.0
1898,7.921697076085366e-09,0.0
1899,1.326618814800895e-08,0.0
1900,3.114631885736685e-09,0.0
1901,5.58873880507349e-09,0.0
1902,1.2275709337927765e-08,4.910283846193408e-10
1903,1.0800440541913758e-08,0.0
1904,1.827372564378038e-08,0.0
1905,1.1353670004154992e-08,0.0
1906,1.6975809202790515e-08,0.0
1907,5.65712765521198e-09,0.0
1908,9.331639461152008e-09,0.0
1909,1.870334465081669e-08,0.0
1910,9.619471441624228e-09,0.0
1911,1.1172785363555704e-08,0.0
1912,1.0418842677495377e-08,0.0
1913,1.113627856597077e-08,0.0
1914,1.4063162190325329e-08,0.0
