year,eut_VERB eu_VERB,eut_VERB bu_VERB
1800,3.961647223604814e-07,4.4018303668735825e-08
1801,2.7383600809116615e-07,3.5717739876872656e-08
1802,3.110597788236191e-07,3.1329761895904085e-08
1803,2.6134546260436764e-07,5.460949736857401e-08
1804,3.0898135605639254e-07,5.19088700912107e-08
1805,1.648869130121966e-07,3.4114531644036106e-08
1806,2.795219131712656e-07,2.881669125542885e-08
1807,2.5053205376934784e-07,1.0249038240317532e-07
1808,2.923235342677799e-07,3.172503681980743e-08
1809,3.2530039106859476e-07,4.51806094758922e-08
1810,2.2933242860290193e-07,4.212228077449254e-08
1811,2.7577843297876825e-07,8.273353557797236e-08
1812,2.2937990706850542e-07,4.000812481308458e-08
1813,2.933256553205865e-07,4.3136125782439194e-08
1814,2.73760917934851e-07,1.2586708564299443e-08
1815,2.400528842372296e-07,5.394447111228828e-09
1816,3.314173682156252e-07,2.7811246638975717e-08
1817,1.6814232139950036e-07,5.916118794857539e-08
1818,2.193496584368404e-07,6.199012148044858e-08
1819,2.794783426907088e-07,3.622867339458935e-08
1820,7.618280619681173e-07,4.865257352548724e-08
1821,2.376618652988327e-07,4.536284592404627e-08
1822,2.526455205043021e-07,5.413832582235045e-08
1823,3.053750390336063e-07,8.004976592701496e-08
1824,7.309525926757487e-07,1.1284291190349904e-07
1825,4.2706398062364315e-07,1.4528980329941987e-07
1826,5.434526428871322e-07,5.460950447400137e-08
1827,1.9540618723112857e-07,1.3825909306319772e-08
1828,2.302247565921789e-07,5.6868266540277546e-08
1829,2.1175745246182487e-07,4.372319750700626e-08
1830,1.8995041273228708e-07,8.55820516676431e-08
1831,2.2919073217053665e-07,4.053713453799901e-08
1832,1.6371262745451531e-07,8.38858085216998e-08
1833,1.8649642186119308e-07,7.645194699534841e-08
1834,1.698884659617761e-07,5.880754372356023e-08
1835,1.973965879642492e-07,8.24376584773745e-08
1836,4.1198197209268983e-07,8.804182272115213e-08
1837,3.9938294094099547e-07,8.210311364109657e-08
1838,3.023525607659394e-07,8.205810786421353e-08
1839,3.083240471823956e-07,7.2012191765225e-08
1840,1.9172762222297024e-07,7.96211097053856e-08
1841,2.0995193494854902e-07,6.805781538332667e-08
1842,2.0661455835124798e-07,6.77534757187459e-08
1843,2.2150916834107193e-07,4.430183153658618e-08
1844,1.8496452014460374e-07,3.1284798751585186e-08
1845,1.7856729073173483e-07,6.138250796539069e-08
1846,1.7329324464299134e-07,4.390875929516369e-08
1847,1.65032645327301e-07,3.613459753637471e-08
1848,1.97107937083274e-07,4.263967667839097e-08
1849,1.7177801225898293e-07,6.954914510970411e-08
1850,2.0638547937323892e-07,3.869727649430388e-08
1851,1.9090339264948852e-07,5.159551008659946e-08
1852,1.490914911528307e-07,4.687592536356533e-08
1853,1.8632427156717313e-07,3.58315901394235e-08
1854,2.909572174303321e-07,4.1565314745639625e-08
1855,2.0272500478313304e-07,5.996838581268094e-08
1856,1.9310915888581803e-07,4.245295315286057e-08
1857,2.499332651950681e-07,8.64027143165913e-08
1858,1.903639912370636e-07,6.214968806261822e-08
1859,1.9604867418365757e-07,5.6523123959095756e-08
1860,1.835450689213758e-07,7.415037828195636e-08
1861,1.650587364565581e-07,5.564837124438782e-08
1862,1.8297843951131654e-07,4.608346060308577e-08
1863,1.6781926603925967e-07,3.795911851511846e-08
1864,2.1576275344159512e-07,7.14414483127257e-08
1865,1.6426886872977775e-07,5.883555331820389e-08
1866,1.8051423467113636e-07,5.400830360713371e-08
1867,1.7712761746224714e-07,3.494024269912188e-08
1868,1.783294578672212e-07,4.347089088696521e-08
1869,1.919222967217138e-07,4.688178378842167e-08
1870,2.2420130108002922e-07,4.587239033071455e-08
1871,1.8268424639700243e-07,2.2304472935275044e-08
1872,1.608592299362499e-07,3.38650991693612e-08
1873,2.1370036051848729e-07,3.1725821969530443e-08
1874,1.8640780297118908e-07,2.9873046258899194e-08
1875,1.5219262650134624e-07,4.405575992905142e-08
1876,1.6989301343528496e-07,5.139112602137175e-08
1877,1.7255636919344397e-07,5.133397351642088e-08
1878,1.437303041029736e-07,3.38188961279684e-08
1879,1.7778135941171058e-07,6.048232137345622e-08
1880,1.6622222176465584e-07,4.1074216028391675e-08
