year,furent_VERB aux_ADP,furent_VERB beaux_ADJ
1800,7.231578535993322e-08,2.5153315874604232e-08
1801,4.524246932646747e-08,2.1430643926123594e-08
1802,1.432217686669901e-07,0.0
1803,9.946730017418304e-08,0.0
1804,3.213406074564773e-08,2.2246657849223084e-08
1805,8.24434565060983e-08,1.7057265822018053e-08
1806,1.2391177506287931e-07,2.5935023018064385e-08
1807,6.547996633798903e-08,0.0
1808,3.852325747288887e-08,4.5321479902327155e-09
1809,1.5587310997489112e-07,1.129515236897305e-08
1810,3.042164919975221e-08,0.0
1811,5.766276700569506e-08,2.5070767684098882e-09
1812,6.13457871168066e-08,1.0668832928217853e-08
1813,2.0130190847567064e-08,0.0
1814,7.237357380063258e-08,6.293354282149721e-09
1815,4.045835311217161e-08,1.6183340889597275e-08
1816,6.489290882427667e-08,2.3176038865813098e-09
1817,6.538868291272593e-08,4.670620334934483e-09
1818,4.768470773797162e-08,0.0
1819,7.970308502081025e-08,6.210630232317271e-09
1820,1.9105034709809843e-07,2.8479554714522237e-08
1821,8.875339574387908e-08,0.0
1822,1.7043547018147365e-07,2.3058916553964082e-08
1823,2.3421968364800705e-07,9.882686891060644e-10
1824,1.1789558129748912e-07,8.421112696055388e-10
1825,1.1006803646296248e-07,1.4969252504215547e-08
1826,1.559013185215008e-07,1.5854372037438225e-08
1827,2.0646692178161175e-07,2.7651818612639545e-09
1828,1.164882235116238e-07,1.6510142586412258e-08
1829,1.2431105744781235e-07,4.286587973467704e-09
1830,1.0854309095975623e-07,2.0873671680021744e-09
1831,9.666548095310645e-08,4.677361786775691e-08
1832,7.576782934393123e-08,1.352996914505411e-08
1833,8.91939393454777e-08,3.4750886612755494e-09
1834,1.0921401383257034e-07,5.600718555598405e-09
1835,1.1117739262545001e-07,0.0
1836,1.6129800428643648e-07,1.5457725766054864e-08
1837,1.3776623575267877e-07,1.530736071231331e-08
1838,1.8683999769564252e-07,1.009945904684173e-08
1839,6.991475487438947e-08,4.194885327990505e-09
1840,1.0573683084658114e-07,1.1465439264668476e-08
1841,1.0593905130917847e-07,1.2841097074556274e-08
1842,1.10686372067903e-07,1.341653010911159e-09
1843,9.569195924541418e-08,3.5441467538532834e-09
1844,6.75093048130293e-08,0.0
1845,9.542189616240648e-08,6.696273757711424e-09
1846,6.557041842825129e-08,5.854501328173001e-09
1847,8.197699941092651e-08,1.4561703842730367e-08
1848,1.0700144770225961e-07,3.218088684420195e-09
1849,5.781796375003978e-08,3.3517659758786067e-09
1850,9.165144376765966e-08,5.431196825611551e-09
1851,6.900899762740664e-08,7.739326512989919e-09
1852,9.049658444837405e-08,1.3021090872200602e-09
1853,8.480143520728234e-08,5.971931837933653e-09
1854,1.1846115199887208e-07,6.754363734984281e-09
1855,7.111295730055645e-08,3.1841622671890946e-09
1856,7.403380664072756e-08,1.5531567143511893e-09
1857,8.59145572462694e-08,9.274867096564776e-09
1858,5.529853908115001e-08,3.9149408159744326e-09
1859,7.485494535330872e-08,7.129042689513199e-09
1860,1.0664838612228777e-07,5.950338888283113e-09
1861,5.94211435611669e-08,8.017138064531082e-09
1862,5.46676339752139e-08,1.8523744316212287e-08
1863,5.3442441583229083e-08,7.991393324857654e-09
1864,7.863354056780736e-08,7.671564716815737e-09
1865,9.131277778351432e-08,2.3534221238463715e-09
1866,7.006482860560936e-08,6.3252967308358166e-09
1867,8.20125123368598e-08,2.426405742994575e-09
1868,6.273639741039005e-08,1.679557115608077e-08
1869,7.08110263758499e-08,1.4162205630441349e-08
1870,8.830435405116077e-08,1.6628741050794815e-08
1871,3.3987767267262825e-08,9.559059321873065e-09
1872,4.2936108002322726e-08,3.0236697590169115e-09
1873,7.721946104766175e-08,4.788803575905831e-09
1874,5.317401985394099e-08,5.974609251779839e-09
1875,5.435450844970546e-08,1.1443054503956773e-08
1876,5.2600327649088285e-08,1.209202959984168e-09
1877,1.6389762436119781e-07,2.4739263970730008e-09
1878,9.722932503564152e-08,7.2469061862534545e-09
1879,8.919614913338592e-08,2.443730107160036e-09
1880,8.279021557200394e-08,6.417846254436199e-10
1881,9.62206030408197e-08,1.1156012114099667e-08
1882,6.988154410692005e-08,5.324308105514319e-09
1883,5.9401784824331116e-08,6.319338941018771e-10
1884,5.215340692643622e-08,7.922036360241691e-09
1885,6.767917426486747e-08,1.933690763067375e-09
1886,9.486591778795628e-08,7.744156427236248e-09
