year,avaient_VERB eu_VERB,avaient_VERB bu_VERB
1800,2.920928864114103e-06,2.829747991484055e-08
1801,2.666924501681933e-06,3.095537337571841e-08
1802,2.4728133212192915e-06,1.3427040812530322e-08
1803,2.636858653204399e-06,3.90067853572873e-08
1804,3.6237333915778436e-06,1.9774807569206132e-08
1805,2.6609334327076795e-06,3.4114531644036106e-08
1806,2.665543888724642e-06,1.4408345627714425e-08
1807,5.819176294608042e-06,4.555128185756985e-08
1808,2.678499413377722e-06,2.2660739062985158e-08
1809,3.9307133192778565e-06,4.0662548883574345e-08
1810,3.4399863579892553e-06,5.3822915901946544e-08
1811,4.821108632313553e-06,4.763445815569867e-08
1812,4.491578692977782e-06,1.6536691305191198e-07
1813,4.468902716325829e-06,1.5241430162404868e-07
1814,3.731959168362664e-06,1.5733386149463513e-08
1815,5.782847438240424e-06,8.361393355471591e-08
1816,4.271344096196117e-06,4.4034472068688046e-08
1817,5.372769919631537e-06,2.1796227045456362e-08
1818,5.265584150038194e-06,5.126106117359086e-08
1819,6.149558885226725e-06,7.556266723440785e-08
1820,6.6808288465836085e-06,9.493184904840746e-08
1821,6.580571152881021e-06,6.212737702071536e-08
1822,6.089559065003414e-06,6.51665033046811e-08
1823,6.825971922808094e-06,6.81905376609393e-08
1824,6.390782345988555e-06,1.044218009838005e-07
1825,6.159407348604873e-06,1.0038205289220059e-07
1826,6.24838412477402e-06,7.310627125889368e-08
1827,7.009736236796016e-06,8.111200600069424e-08
1828,6.781999672966776e-06,6.145441489024961e-08
1829,7.746722076262813e-06,9.173298565201549e-08
1830,6.818384918005904e-06,1.3254781094929058e-07
1831,6.434490842366358e-06,6.548306430431694e-08
1832,6.727100753778359e-06,1.8671357793209609e-07
1833,6.7949563344882336e-06,1.169946486356821e-07
1834,6.630317329836544e-06,1.1201436933561126e-07
1835,6.739467607985716e-06,1.0815215745196838e-07
1836,7.173056474130135e-06,1.0148332307835517e-07
1837,7.209766408777796e-06,1.0367257630150561e-07
1838,7.589743290736806e-06,9.215756335834158e-08
1839,7.096347417245852e-06,8.249940464111205e-08
1840,8.220083145715762e-06,6.305991462340899e-08
1841,6.756343282177113e-06,9.7592334213914e-08
1842,7.515269317082129e-06,1.0464893307471357e-07
1843,6.93057882017456e-06,1.222730645622505e-07
1844,7.72734529164154e-06,9.440325499099345e-08
1845,7.499268122046487e-06,1.1885885697893173e-07
1846,7.428191111102933e-06,9.601382089385879e-08
1847,7.663770702492911e-06,6.741529290366088e-08
1848,6.998538538027788e-06,9.97607472186246e-08
1849,7.176131020969478e-06,6.703531596485846e-08
1850,7.076849669829244e-06,1.2084413469892752e-07
1851,7.084708613547264e-06,1.1415506406819986e-07
1852,6.328901235974627e-06,1.1328349103223445e-07
1853,6.757240953447763e-06,1.1645266795312637e-07
1854,6.327280061668716e-06,9.092412511790826e-08
1855,6.805085376981879e-06,9.817833301895007e-08
1856,6.017447049089242e-06,1.0199062927540581e-07
1857,6.2219714891398326e-06,8.884346414106403e-08
1858,6.550185389642138e-06,9.88522543821091e-08
1859,6.9197544689814094e-06,7.943790336639722e-08
1860,7.124844614736503e-06,1.2037993712965545e-07
1861,6.41418228042312e-06,1.0799556804386157e-07
1862,6.349126124405302e-06,9.352231700177072e-08
1863,6.2432759477815125e-06,9.739510886674907e-08
1864,6.1621844906767365e-06,1.0548401263577034e-07
1865,6.6182938098791055e-06,1.3791053277145693e-07
1866,6.695083357044496e-06,1.1190909532388105e-07
1867,6.007295269228052e-06,1.3830512557433394e-07
1868,5.975271506031277e-06,1.0324336585654237e-07
1869,6.207441401784308e-06,1.0206554890146435e-07
1870,6.12683106737677e-06,1.0091925872757201e-07
1871,6.588316409761319e-06,7.541035529357032e-08
1872,6.364824457705254e-06,1.088521059955383e-07
1873,5.823185347253457e-06,1.0176207609902121e-07
1874,5.764302841271274e-06,8.96191352239839e-08
1875,6.088277132221265e-06,8.296214559777582e-08
1876,5.623398465104401e-06,4.6554312405078235e-08
1877,5.498301561601693e-06,9.462768701951063e-08
1878,5.818661975354189e-06,7.246906363889138e-08
1879,5.583923211816e-06,1.0630225943941696e-07
1880,5.172142209630692e-06,8.728270728397547e-08
1881,5.508280992216896e-06,9.064260098057275e-08
1882,5.437449544842821e-06,8.452339272935205e-08
1883,4.900015483144671e-06,9.352621788139004e-08
1884,5.626626261800993e-06,1.2081105182915053e-07
1885,5.25125960848527e-06,1.1279862377477912e-07
1886,5.198265171202365e-06,9.422057445362952e-08
1887,4.997891664970666e-06,1.5799997754584183e-07
1888,5.008451353205601e-06,7.735550155985038e-08
1889,5.039676125306869e-06,5.7639258699282436e-08
1890,4.854834060097346e-06,1.0159298824419238e-07
1891,4.836120751861017e-06,6.501704774564132e-08
1892,4.9138866415887605e-06,5.955086734843462e-08
1893,4.7610719775548205e-06,7.451684069792464e-08
1894,4.8691995289118495e-06,1.0838647312993999e-07
1895,4.772761258209357e-06,7.162151405282202e-08
1896,4.928147063765209e-06,8.668632744956994e-08
1897,4.625245310307946e-06,8.507002036139966e-08
1898,4.683986389864003e-06,7.525611778191887e-08
1899,4.6730147005291656e-06,9.728537975206564e-08
1900,4.508429810812231e-06,9.188163829776386e-08
1901,4.6302702685352415e-06,7.768347387582253e-08
1902,3.8668486013193615e-06,8.200174050898568e-08
1903,4.3342170101823285e-06,8.478345847606761e-08
1904,4.449114840099355e-06,6.879520242364379e-08
1905,4.433607955434127e-06,9.599011718819384e-08
1906,4.335518497100566e-06,8.179253541129583e-08
1907,4.187303147773491e-06,1.0028544750184665e-07
1908,4.1511061681376304e-06,9.135183631769905e-08
1909,4.176896709395805e-06,8.636543924467333e-08
1910,4.059951152157737e-06,9.13849760308949e-08
1911,4.146699666307541e-06,1.0427933005985324e-07
1912,3.952908627979923e-06,9.63742934345646e-08
1913,3.933227617380908e-06,8.219634395345565e-08
1914,4.140596502111293e-06,8.638799187110635e-08
1915,4.807729055755772e-06,1.1662954335633913e-07
1916,4.5597967073263135e-06,1.1536835131664702e-07
1917,4.3098048081446905e-06,8.224818515145671e-08
1918,4.540564532362623e-06,1.2864741449902795e-07
1919,4.156422619416844e-06,1.022071174361372e-07
1920,3.920144536095904e-06,1.0449679876955997e-07
1921,4.064293534611352e-06,9.617389196137083e-08
1922,4.133119546168018e-06,7.746832153543437e-08
1923,3.78777031073696e-06,9.766672093292073e-08
1924,3.742438593690167e-06,9.668718092825657e-08
1925,3.8064692944317358e-06,1.0118323956476161e-07
1926,3.739529347512871e-06,9.585679094925581e-08
1927,4.0605477806821e-06,1.2041162733567035e-07
1928,3.94541211790056e-06,9.597874850442167e-08
1929,4.057335900142789e-06,1.347989240230163e-07
1930,3.7886497921135742e-06,8.928063266466779e-08
1931,3.816232492681593e-06,8.89617837174228e-08
1932,3.830357854894828e-06,9.206010531670472e-08
1933,3.8094069623184623e-06,7.685343916818965e-08
1934,3.692723112180829e-06,8.866369682891673e-08
1935,3.454046691331314e-06,8.617164581892212e-08
1936,3.5464790926198475e-06,7.63857030960935e-08
