year,grand_ADJ an_NOUN,grand_ADJ banc_NOUN
1800,1.2576658381391326e-08,5.124988202709346e-07
1801,2.1430642593855964e-08,2.4764299055846095e-07
1802,1.7902721083373763e-08,4.0057338424048794e-07
1803,5.851017670366332e-09,3.471603799987122e-07
1804,9.887403784603066e-09,2.6943174402660475e-07
1805,2.842877711017877e-09,4.719176900369604e-07
1806,8.645007376628655e-09,1.6137347458311524e-07
1807,2.8469551160981155e-09,3.5871634374018413e-07
1808,6.798221985349073e-09,1.8808414381510374e-07
1809,6.7770915546105925e-09,2.4849336854870785e-07
1810,4.680253518074551e-09,1.661489932303084e-07
1811,2.5070767684098882e-09,3.4597658782331564e-07
1812,2.6672082320544632e-09,1.4936365744233626e-07
1813,2.0130190847567064e-08,3.6521919821730364e-07
1814,6.293354282149721e-09,2.548808488711529e-07
1815,2.697223555614414e-09,3.9379463601108e-07
1816,1.3905623319487859e-08,5.029200700334968e-07
1817,7.784366928831332e-09,2.1796227667181256e-07
1818,1.549753059215675e-08,3.2783236747491173e-07
1819,3.1053151161586356e-09,2.5774115341992143e-07
1820,5.933240565525466e-09,3.607410388184462e-07
1821,7.88919063410276e-09,3.0373382897685985e-07
1822,4.010246357211145e-09,2.2156611123591574e-07
1823,9.882686669016039e-09,1.759118238853219e-07
1824,0.0,2.484228254218124e-07
1825,7.044354433105582e-09,3.451733663339951e-07
1826,3.5231936257318353e-09,2.7216671127927583e-07
1827,7.373818333711313e-09,2.5347501936279215e-07
1828,7.337841112509125e-09,3.531335863726781e-07
1829,1.714635211591542e-09,3.3178192054839073e-07
1830,1.0436835840010872e-09,2.243919685618323e-07
1831,1.5591206103948707e-09,2.650505113166446e-07
1832,1.3529969367098715e-09,3.1389528298841896e-07
1833,4.633451511359965e-09,4.517615126431451e-07
1834,4.667265685043276e-09,1.866906216285713e-07
1835,3.781543966852041e-09,3.1689338442220105e-07
1836,1.881810018922181e-08,2.7353453652123605e-07
1837,6.957891152126194e-09,4.1469028611018643e-07
1838,5.049729523420865e-09,1.8936485779441625e-07
1839,0.0,2.398075991116855e-07
1840,1.2739377552861697e-08,3.5288076505324284e-07
1841,1.926164561183441e-09,2.9727140349322667e-07
1842,2.0124795163667386e-09,3.334007674382633e-07
1843,1.7720733769266417e-09,2.445461061428844e-07
1844,3.841992946007622e-09,1.8770879417484565e-07
1845,5.022205262772417e-09,1.6071057146183065e-07
1846,7.610851726624901e-09,2.540853611954219e-07
1847,1.0786447290911383e-09,1.5802144659460282e-07
1848,8.045221711050488e-10,1.7136322760791245e-07
1849,7.54147322368226e-09,1.7094007098705788e-07
1850,4.073397619208663e-09,2.253946709274146e-07
1851,2.579775504329973e-09,4.7145398229808677e-07
1852,3.2552727180501506e-09,2.5977077333649845e-07
1853,5.3747384320956826e-09,2.0185129501193444e-07
1854,3.117398783558656e-09,1.7301562010851868e-07
1855,1.5920811335945473e-09,2.419963323063712e-07
1856,6.73034605824796e-09,1.8689653580317156e-07
1857,1.9526036898476207e-09,2.323598342623967e-07
1858,1.761723344984034e-08,1.9966198333554175e-07
1859,3.055304009791371e-09,1.262859012918227e-07
1860,8.696649622663699e-09,1.830873543884337e-07
1861,1.886385547766878e-09,1.8062141243779806e-07
1862,2.2589932147099034e-09,1.1611224726149061e-07
1863,6.493007131957995e-09,2.1327031485274262e-07
1864,7.192092144059359e-09,2.4836690970531095e-07
1865,2.8241066707401785e-09,2.2592852411129627e-07
1866,7.784980604608194e-09,1.8392016309931591e-07
1867,5.338092634588065e-09,1.5043715251294998e-07
1868,2.4699371437009177e-09,1.472082484799131e-07
1869,5.371870948067681e-09,1.1622775308861577e-07
1870,1.7202146374017957e-09,1.8176934224456431e-07
1871,1.0621177271019633e-09,1.147087129726998e-07
1872,1.8142017887967654e-09,1.433219423141452e-07
1873,4.1902031844287535e-09,1.412697097080695e-07
1874,3.5847653734322193e-09,1.8879764729362591e-07
1875,1.4303817741367908e-08,1.2129638099489526e-07
1876,1.813804439976252e-09,1.6021938575860872e-07
1877,3.7108897066318036e-09,1.3606595616888484e-07
1878,3.0195443923020093e-09,2.3008928307088894e-07
1879,3.0546627449723474e-09,2.0466239747385373e-07
