year,tout_ADV au_ADP,tout_ADV beau_ADJ
1800,5.345079490126636e-08,2.2637984642415176e-07
1801,1.1191557902634486e-07,7.476913310711097e-07
1802,6.042168365638645e-08,9.84649659585557e-08
1803,1.287223887480593e-07,1.2287136996746995e-07
1804,6.179627476399219e-08,5.36391638661371e-07
1805,6.822906506442905e-08,4.008457636928142e-07
1806,8.068673729155762e-08,1.6425514104412287e-07
1807,7.402083213037258e-08,1.3095993622869173e-07
1808,6.571614363792833e-08,8.157866560054572e-08
1809,7.228897835886983e-08,3.0045105603448974e-07
1810,7.254392997424475e-08,5.639705591420352e-07
1811,5.515568979319596e-08,1.2284676387253057e-07
1812,1.2269157600997005e-07,2.0270782741249604e-07
1813,2.2143210998137874e-07,2.3293507922517165e-07
1814,7.237357380063258e-08,1.573338508364941e-07
1815,2.966945888971395e-08,1.591361922237411e-07
1816,8.343373814057031e-08,9.733936678912869e-08
1817,6.85024303948012e-08,3.658652545368568e-07
1818,3.337929666002992e-08,3.5763530803478716e-07
1819,9.729986949480462e-08,2.6395177599169983e-07
1820,6.407899721949661e-08,4.438063996303754e-07
1821,6.409967312492881e-08,4.1418250873448414e-07
1822,9.825103575167304e-08,3.8097341814591346e-07
1823,6.522573503531248e-08,5.020405069444678e-07
1824,1.0694812857536817e-07,4.4126630882601603e-07
1825,7.220463604795668e-08,2.756103683054789e-07
1826,6.165589194750964e-08,2.4838515599867605e-07
1827,7.926854794781946e-08,1.7881509251083116e-07
1828,7.337840646215454e-08,2.2105245989223476e-07
1829,1.0373543024577714e-07,2.666257685746132e-07
1830,1.356788690287658e-07,2.5778984991120524e-07
1831,8.886987679090907e-08,1.8397623335886237e-07
1832,1.6641862132793506e-07,3.111892894480661e-07
1833,1.0309429132604464e-07,2.3630601475588264e-07
1834,1.120143711119681e-07,2.9310427152040575e-07
1835,9.529490796467144e-08,2.465566666387531e-07
1836,7.191202922030016e-08,3.696412420595152e-07
1837,1.2385045611296164e-07,2.7761984000562734e-07
1838,1.0478188849916137e-07,3.6673660730457414e-07
1839,9.368576492363445e-08,1.7478688008054633e-07
1840,1.3694830869326324e-07,1.738925021754767e-07
1841,1.2776891367138887e-07,1.662922102241282e-07
1842,1.0800306959879435e-07,1.878314179748486e-07
1843,1.5239830730706672e-07,1.9847220755764283e-07
1844,1.3831174339173913e-07,1.8990421324360796e-07
1845,1.272291987319818e-07,2.5334234976526204e-07
1846,1.2294452567118697e-07,3.2375392322592234e-07
1847,1.5963942523455898e-07,1.2134753291093148e-07
1848,2.059576766910709e-07,1.2872354560045096e-07
1849,1.0977033859660423e-07,1.6256064583330954e-07
1850,1.4053221075727151e-07,1.9959647801215397e-07
1851,1.3801799214618882e-07,1.6833034877095088e-07
1852,1.2565352403015595e-07,2.115927273393936e-07
1853,1.4272917248092654e-07,1.8632427156717313e-07
1854,1.5431123578935058e-07,3.600595448460808e-07
1855,1.0189319255005103e-07,3.194776212467332e-07
1856,1.0613238021761617e-07,2.8008593488948463e-07
1857,1.2399032733867443e-07,3.456108430555105e-07
1858,1.1940569866197848e-07,3.420679632881729e-07
1859,1.3392415709745364e-07,1.8688276526290792e-07
1860,2.0002293688037298e-07,2.0231153285976688e-07
1861,1.924113153251028e-07,1.876953561463779e-07
1862,1.838820384847395e-07,3.772518510913869e-07
1863,9.98924178929883e-08,2.8569231602659784e-07
1864,1.4432130512886943e-07,2.6131267816253967e-07
1865,1.4544149440354204e-07,1.892151466620362e-07
1866,1.3818340960369824e-07,2.097079203622343e-07
1867,1.5723109747511899e-07,2.0867089034481978e-07
1868,1.9710097376446356e-07,2.8799465923157186e-07
1869,1.294132605522691e-07,2.173166038232921e-07
1870,1.0550649687246505e-07,2.9473011409208993e-07
1871,1.6356613574686207e-07,3.813002678043631e-07
1872,1.6811603664734776e-07,1.7839650467976753e-07
1873,1.747913245253585e-07,2.6817299669801287e-07
1874,1.4279315152521121e-07,3.3099335183806033e-07
1875,1.5619769122565685e-07,3.5416253041375967e-07
1876,1.2031569696091537e-07,2.7086146303645364e-07
1877,1.4781710078182186e-07,2.554328943915607e-07
1878,1.2621695155701218e-07,2.9772707677011567e-07
1879,1.4845659901396857e-07,2.2848875858016982e-07
1880,1.3990904790261993e-07,2.7340025354760655e-07
1881,1.4502815126604673e-07,2.307900004439034e-07
1882,1.8834740522777338e-07,2.9416803215553955e-07
1883,1.516641301435584e-07,3.178627494548891e-07
1884,1.6438225358683667e-07,1.973907401975339e-07
1885,1.418039881073696e-07,1.5791807328469076e-07
1886,1.271332354946253e-07,2.2070845773214387e-07
1887,1.9195037914698787e-07,1.5799997044041447e-07
1888,1.6485598841597948e-07,1.9909530379891294e-07
1889,1.773033648788669e-07,1.9484575375372515e-07
1890,1.3764211992395303e-07,1.415747448163529e-07
1891,1.5234385664086858e-07,2.0015050239408083e-07
1892,1.410415251257291e-07,1.8930906975356265e-07
1893,1.410277423730122e-07,1.280950634452438e-07
1894,1.4997664088411966e-07,1.3989416913773312e-07
1895,1.6190073459654286e-07,1.6852120410248972e-07
1896,1.662962176851579e-07,1.073259277006855e-07
1897,1.2527433845832547e-07,1.0021947360883132e-07
1898,1.2844465402395144e-07,1.1373293062888479e-07
1899,1.719076845319023e-07,1.6085252951825169e-07
1900,1.687092296975834e-07,1.5209786141667792e-07
1901,1.4027735062427382e-07,9.836180581146436e-08
1902,1.7480610203790548e-07,9.427744984691344e-08
1903,1.323053950841313e-07,1.0746438761088939e-07
1904,1.2307891950058547e-07,1.2092906587213292e-07
1905,1.5224239291455888e-07,1.5637100148069294e-07
1906,1.8261854961565405e-07,1.1368647889753447e-07
1907,1.6251385304144605e-07,1.6045671458186916e-07
1908,1.5176192924570842e-07,1.4635939749041427e-07
1909,1.7713166755584098e-07,1.248723222602166e-07
1910,1.5337712611085408e-07,1.6299659932883515e-07
1911,1.915334664204238e-07,1.2662490433967832e-07
1912,1.5836640976374383e-07,1.693061904006754e-07
1913,1.7075627667395565e-07,1.5219580973280245e-07
1914,1.9286622077174798e-07,9.30847399160939e-08
1915,2.0380718801504827e-07,9.89584023614043e-08
1916,2.1974923392065193e-07,1.4393575042959128e-07
1917,1.9629900371853637e-07,8.224818159874303e-08
1918,2.3087616796146904e-07,1.1486376294556067e-07
1919,2.2282993583644384e-07,1.3627615302880258e-07
1920,1.6810354708240993e-07,1.5977409617562444e-07
1921,1.8628958464717016e-07,1.4388220037631072e-07
1922,1.8075941810025142e-07,1.7559486309437489e-07
1923,1.6454719187208866e-07,1.9321025490626198e-07
1924,1.495428403330834e-07,1.5469949232738145e-07
1925,1.6497267552040284e-07,1.6387284773600186e-07
1926,1.4824364313881233e-07,1.827966684686544e-07
1927,1.2933101167789118e-07,1.9176667365172761e-07
1928,1.2568645502142317e-07,1.5882197601513326e-07
1929,1.0026365693249772e-07,2.450889269312029e-07
1930,9.243170850936622e-08,1.8906487042613662e-07
1931,1.699398133325758e-07,1.745019559962202e-07
1932,1.2822657780020563e-07,1.6110518430423326e-07
1933,1.5141273834728963e-07,1.3764794459802943e-07
1934,1.4857159058578873e-07,1.3059922565616944e-07
1935,1.0532090044534925e-07,1.7114646766458463e-07
1936,1.115473722279603e-07,1.0548501805374144e-07
