year,sont_VERB aux_ADP,sont_VERB beaux_ADJ
1800,2.5499173261778196e-06,9.998443601944018e-07
1801,2.5169099444610765e-06,7.214983384074003e-07
1802,2.2714077658747556e-06,6.691142289128038e-07
1803,2.76558102996205e-06,9.049574032360397e-07
1804,2.8352130811981624e-06,7.811049158590322e-07
1805,3.033350594705553e-06,8.471775458929187e-07
1806,2.4811170078464784e-06,6.656655955339374e-07
1807,2.644821279318421e-06,8.056882734308601e-07
1808,2.7034263894165633e-06,9.948064416676061e-07
1809,2.79216169474239e-06,9.081302891900123e-07
1810,2.2301408080238616e-06,6.669361027888954e-07
1811,2.0332392978161806e-06,4.989082640349807e-07
1812,2.3444761154678417e-06,5.841185952704109e-07
1813,2.0590309759427328e-06,6.01030023972271e-07
1814,1.8974462818732718e-06,7.237357522171806e-07
1815,2.0121287889196537e-06,4.369502164536243e-07
1816,2.180865294576506e-06,4.959672423865413e-07
1817,2.0675279301940463e-06,4.997563678443839e-07
1818,1.952688762685284e-06,7.021573651400104e-07
1819,1.7120636357503827e-06,5.009908363717841e-07
1820,2.1893656594329514e-06,5.992573051116779e-07
1821,2.112330776071758e-06,6.528305220854236e-07
1822,2.2276917661656626e-06,5.223345738158969e-07
1823,1.717610984997009e-06,4.644862769964675e-07
1824,2.10275175049901e-06,6.223202149158169e-07
1825,2.3211148345581023e-06,5.776370812782261e-07
1826,1.6788018228908186e-06,5.011743269278668e-07
1827,1.9015234329344821e-06,5.38288759344141e-07
1828,1.8729839439401985e-06,4.4302214519120753e-07
1829,1.8389462184131844e-06,4.86956423628726e-07
1830,1.8473199361324077e-06,5.134922957950039e-07
1831,1.7727201111483737e-06,5.675199190591229e-07
1832,2.02002433979942e-06,6.954404057069041e-07
1833,1.9008734852832276e-06,6.174074087539339e-07
1834,1.965852106877719e-06,5.740736241932609e-07
1835,1.891528313535673e-06,6.519381940961466e-07
1836,2.0646143639169168e-06,5.060724674876838e-07
1837,2.0031768599437783e-06,5.169712835595419e-07
1838,2.1013186142226914e-06,6.583584877262183e-07
1839,1.798207449610345e-06,4.970938789483625e-07
1840,1.8962563217428396e-06,4.719939283859276e-07
1841,2.01733632820833e-06,5.309793777996674e-07
1842,1.858860287029529e-06,4.621994662556972e-07
1843,1.7638036524658673e-06,6.379464139172342e-07
1844,1.8540359860708122e-06,5.477584181790007e-07
1845,1.7761865365173435e-06,6.182892775541404e-07
1846,1.9565743514249334e-06,5.550067498916178e-07
1847,1.7290675486947293e-06,3.872334559673618e-07
1848,1.8906271179730538e-06,4.87540432914102e-07
1849,1.8660956584426458e-06,4.114292835311062e-07
1850,1.915175744215958e-06,5.247894137028197e-07
1851,1.8232562979392242e-06,4.837078790842497e-07
1852,1.8730838746705558e-06,4.908951041215914e-07
1853,1.6697521232345025e-06,4.705882190592092e-07
1854,1.6662495454511372e-06,5.081359972791688e-07
1855,1.6472732795591583e-06,5.710264190383896e-07
1856,1.666537173150573e-06,5.42569409844873e-07
1857,1.7226846011908492e-06,5.970085794615443e-07
1858,2.0147263057879172e-06,5.818581030325731e-07
1859,1.8398022803012282e-06,5.596298251475673e-07
1860,1.6999661056615878e-06,6.527064329020504e-07
1861,1.819418798731931e-06,8.785840464042849e-07
1862,1.8315915895072976e-06,6.207712885952787e-07
1863,1.718649059512245e-06,5.389196076066582e-07
1864,1.80233826085896e-06,5.950257104814227e-07
1865,1.894975525829068e-06,4.946893454871315e-07
1866,1.837742047428037e-06,5.970106826680421e-07
1867,1.88871422324155e-06,6.158217615848116e-07
1868,1.9077792785537895e-06,5.893269872103701e-07
1869,1.6525829096281086e-06,5.620930778604816e-07
1870,1.7632199842410046e-06,5.06889932694321e-07
1871,1.7142580190920853e-06,4.5352427946454554e-07
1872,1.617058501324209e-06,5.460747161123436e-07
1873,1.700623897704645e-06,4.950425704919326e-07
1874,1.5115761016204488e-06,3.769978320633527e-07
1875,1.668397317189374e-06,6.225021706995904e-07
1876,1.648143665988755e-06,7.128251695576182e-07
1877,1.7762791912900866e-06,5.813727170789207e-07
1878,1.53755195242411e-06,4.535355628831894e-07
1879,1.7381030374963302e-06,4.661415289319848e-07
1880,1.6095958699224866e-06,4.826220560971706e-07
1881,1.8560815533419373e-06,5.347913543118921e-07
1882,1.5779918385305791e-06,4.818498950953654e-07
1883,2.039250603047549e-06,4.208679627026868e-07
1884,1.6425021840404952e-06,5.129518285684753e-07
