year,soient_VERB aux_ADP,soient_VERB beau_ADV
1800,7.54599476238127e-08,0.0
1801,6.429193177837078e-08,0.0
1802,7.608656460433849e-08,0.0
1803,8.191424427650418e-08,0.0
1804,9.393033195692624e-08,2.4718509461507665e-09
1805,6.822906506442905e-08,0.0
1806,6.627838988748636e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,1.178358477460506e-07,0.0
1809,2.0783080234565432e-07,0.0
1810,1.2870697219113936e-07,0.0
1811,1.0529722516139373e-07,2.5070767684098882e-09
1812,6.13457871168066e-08,0.0
1813,1.3803560250380542e-07,0.0
1814,1.8880062846449164e-07,0.0
1815,6.473336622292436e-08,0.0
1816,8.806894769008977e-08,0.0
1817,1.1209488270935708e-07,0.0
1818,5.126106206176928e-08,0.0
1819,5.7965878541565985e-08,2.070210003424222e-09
1820,1.340912350045187e-07,0.0
1821,8.579494448213154e-08,9.86148829262845e-10
1822,8.221005032282847e-08,0.0
1823,4.0519015698237126e-08,0.0
1824,7.242156652154108e-08,0.0
1825,1.8227267339909758e-07,0.0
1826,9.68878284268726e-08,0.0
1827,7.834681770013674e-08,0.0
1828,9.997808092521154e-08,0.0
1829,6.344150138559712e-08,0.0
1830,5.4271546368056534e-08,0.0
1831,5.9246584527272717e-08,0.0
1832,5.6825870453636185e-08,8.117981842303834e-09
1833,3.359252431778259e-08,0.0
1834,8.494422942817437e-08,0.0
1835,5.067268915581735e-08,7.563087933704082e-10
1836,5.7798450803225876e-08,0.0
1837,8.83652155891923e-08,1.3915781860163179e-09
1838,7.069621377198132e-08,0.0
1839,5.523265422802126e-08,6.9914751765765e-10
1840,5.477932418784803e-08,0.0
1841,5.778493861186007e-08,0.0
1842,4.628703020870262e-08,0.0
1843,7.560846282395062e-08,0.0
1844,6.25695986133934e-08,0.0
1845,8.426144137985148e-08,0.0
1846,6.147226461195032e-08,0.0
1847,3.343798482546845e-08,0.0
1848,6.757986370509173e-08,0.0
1849,5.6980021589936314e-08,2.513824481908955e-09
1850,3.86972773824823e-08,1.3577992064028876e-09
1851,4.708090450833424e-08,0.0
1852,9.440291082185581e-08,0.0
1853,7.942669344451758e-08,1.7915795513800958e-09
1854,8.209149493509926e-08,0.0
1855,5.041590256382733e-08,0.0
1856,6.160855203773963e-08,5.177189232874468e-10
1857,7.419893588433979e-08,0.0
1858,5.2851699905431815e-08,4.893676019968041e-10
1859,8.402086004721809e-08,0.0
1860,4.668727759948865e-08,0.0
1861,7.262584400535843e-08,9.431927461278633e-10
1862,5.647482881343535e-08,4.517986262886353e-10
1863,5.2942979333892026e-08,0.0
1864,6.281093734017418e-08,0.0
1865,6.824924114745556e-08,0.0
1866,6.763201848558609e-08,4.865612912574591e-10
1867,7.182160999263942e-08,0.0
1868,7.459209516724741e-08,4.93987406535723e-10
1869,6.495080562274325e-08,0.0
1870,6.07809180763752e-08,0.0
1871,2.1242353653860846e-08,0.0
1872,4.8378715256092164e-08,6.047339295989218e-10
1873,7.243065569539908e-08,5.986004469882289e-10
1874,6.691562004501606e-08,0.0
1875,6.293679666313778e-08,0.0
1876,7.617978403651193e-08,0.0
1877,6.246663986075873e-08,1.2369631985365004e-09
1878,1.0508014192112114e-07,0.0
1879,7.575563010231434e-08,0.0
1880,4.2357783947011285e-08,0.0
1881,7.181682759593855e-08,0.0
1882,4.725323421439498e-08,0.0
1883,5.497824728806222e-08,0.0
1884,2.970763723908476e-08,6.601696966868076e-10
1885,8.057044498244181e-08,0.0
1886,6.19532518619792e-08,0.0
1887,6.33305690111996e-08,0.0
1888,5.389522517162959e-08,0.0
1889,5.450668838502537e-08,0.0
1890,3.277193122430688e-08,0.0
1891,3.314594465564369e-08,0.0
1892,5.7043461065831025e-08,0.0
1893,6.096832561031107e-08,0.0
1894,4.2220313245522334e-08,1.8904617871129403e-09
1895,5.657497581523785e-08,0.0
1896,5.89702899844724e-08,5.89702897624278e-10
1897,4.777905004971217e-08,3.4960281336537946e-09
1898,5.092519517191363e-08,0.0
1899,7.24112787509057e-08,0.0
1900,5.346784814896921e-08,5.191053142894475e-10
1901,4.750428006516927e-08,0.0
1902,4.861181041038165e-08,0.0
1903,5.7242334206009104e-08,0.0
1904,6.288311116264822e-08,1.0749250378694342e-09
1905,7.379885635927508e-08,0.0
1906,6.94464927231131e-08,0.0
1907,4.937129771676041e-08,0.0
1908,7.17062815791536e-08,0.0
1909,6.87622933592813e-08,0.0
1910,6.519863571252671e-08,0.0
1911,6.278041275731283e-08,0.0
1912,5.2094211611120045e-08,0.0
1913,6.045408362798099e-08,0.0
1914,5.424362337080879e-08,6.696743715117748e-10
1915,5.5369582252495775e-08,0.0
1916,9.339342454950383e-08,0.0
1917,5.3735480953776005e-08,0.0
1918,8.040463228553563e-08,0.0
1919,7.826671422073161e-08,9.207848372660976e-10
1920,5.6791737534922504e-08,0.0
1921,5.75528811830317e-08,0.0
1922,3.6889676535700744e-08,0.0
1923,7.006525892805371e-08,2.1231896241147297e-09
1924,4.898817340670547e-08,0.0
1925,4.729216551702109e-08,0.0
1926,5.350146603522177e-08,1.1146138456652466e-09
1927,3.7907366134959375e-08,0.0
1928,4.227635086451187e-08,1.1426041224282812e-09
1929,5.7930112706827686e-08,0.0
1930,4.8316575629314684e-08,0.0
1931,3.307553431142196e-08,0.0
1932,4.383814555808385e-08,0.0
1933,3.097078660196928e-08,0.0
1934,4.67281626725935e-08,0.0
1935,7.659701850570855e-08,0.0
1936,4.607391712596609e-08,0.0
1937,4.0291578073947676e-08,0.0
1938,4.926781471681352e-08,0.0
1939,6.882323067003426e-08,0.0
1940,5.325144059042941e-08,0.0
1941,6.198155233505531e-08,0.0
