year,ait_VERB eu_VERB,ait_VERB bu_VERB
1800,7.168694992287783e-06,3.772997558826319e-08
1801,6.9173352130746935e-06,2.3811825400343878e-08
1802,8.550787242711522e-06,6.713520406265161e-08
1803,7.360580184467835e-06,1.5602713787643552e-08
1804,1.0811875654326286e-05,2.4718509905596875e-08
1805,8.804392564343289e-06,1.421438877713399e-08
1806,7.581671525258571e-06,2.5935023018064385e-08
1807,1.0436937373015098e-05,1.7081731584767113e-08
1808,9.567364031681791e-06,1.8128591960930862e-08
1809,9.293651601183228e-06,3.840352036377226e-08
1810,8.87142050487455e-06,5.616304221689461e-08
1811,8.579217137594242e-06,2.5070768572277302e-08
1812,9.951353604265023e-06,2.1337665856435706e-08
1813,9.596349627827294e-06,8.627225156487839e-09
1814,8.184507350961212e-06,3.1466772298927026e-08
1815,8.304751645482611e-06,0.0
1816,7.801054380252026e-06,9.270415546325239e-09
1817,8.460049684799742e-06,1.5568733857662664e-08
1818,8.406814231420867e-06,3.814776761146277e-08
1819,9.881112418952398e-06,1.6561680027393777e-08
1820,8.422828614129685e-06,1.0679833017945839e-08
1821,9.136669177678414e-06,2.070912508145284e-08
1822,8.544832780899014e-06,3.408709403629473e-08
1823,7.736167390248738e-06,2.174191138237802e-08
1824,8.135636562656146e-06,1.6842225392110777e-08
1825,8.215478374040686e-06,1.584979791857677e-08
1826,7.460362667188747e-06,1.9377566218281572e-08
1827,9.523286280455068e-06,2.2121454890111636e-08
1828,9.241093721357174e-06,1.2841221419535032e-08
1829,9.407345714862458e-06,2.4862210068476998e-08
1830,1.0187395673710853e-05,2.5048406016026092e-08
1831,9.518431397737004e-06,3.4300654760954785e-08
1832,9.77134368440602e-06,3.111892965534935e-08
1833,7.853700481064152e-06,3.8225973497674204e-08
1834,8.939679901232012e-06,4.760610750054184e-08
1835,8.488053936162032e-06,2.7227116561334697e-08
1836,8.428492947132327e-06,2.1506400216253496e-08
1837,8.50950073072454e-06,1.2524203896191466e-08
1838,9.004298590298276e-06,1.199310784016916e-08
1839,8.649153642181773e-06,2.307186797168015e-08
1840,8.313080797961447e-06,3.3122379505812205e-08
1841,9.380421033711173e-06,3.338685417020315e-08
1842,8.332335710292682e-06,1.408735705865638e-08
1843,8.844417607178912e-06,2.7171790151214736e-08
1844,8.237781912612263e-06,9.879410178825765e-09
1845,8.42056397232227e-06,1.6182660544927785e-08
1846,8.502492164552677e-06,2.1076203893244383e-08
1847,8.429608897131402e-06,1.1325769655456952e-08
1848,8.62447723193327e-06,1.528592186161859e-08
1849,8.87380065250909e-06,2.513824526317876e-08
