year,fût_VERB aux_ADP,fût_VERB beau_ADV
1800,9.118077315406481e-08,1.8864987794131594e-08
1801,7.619784270218588e-08,7.143547975374531e-09
1802,7.608656460433849e-08,2.0140561218795483e-08
1803,3.90067853572873e-08,0.0
1804,1.1864884186252311e-07,9.887403784603066e-09
1805,7.107194477384837e-08,0.0
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,2.0782772480743006e-07,3.4163463169534225e-08
1808,7.251436784372345e-08,0.0
1809,1.355418248749629e-07,3.162642769893864e-08
1810,1.427477371862551e-07,2.8081521108447305e-08
1811,2.2563691004506836e-07,0.0
1812,9.335229123053068e-08,1.0668832928217853e-08
1813,4.601186631703058e-08,0.0
1814,5.034683425719777e-08,0.0
1815,1.1328339155625144e-07,2.697223555614414e-09
1816,5.5622493277951435e-08,4.6352077731626196e-09
1817,1.0898114055635233e-07,9.341240669868967e-09
1818,7.27191817873063e-08,2.384235475716423e-09
1819,1.3456364911235141e-07,1.5526575580793178e-08
1820,6.40789963313182e-08,7.119888678630559e-09
1821,7.691961201317099e-08,2.9584464655840748e-08
1822,7.519211919770896e-08,0.0
1823,1.5120511420718685e-07,9.882686669016039e-09
1824,1.2547458538847422e-07,1.3473780313688621e-08
1825,3.6982861217893515e-08,9.68598712347557e-09
1826,1.2507338453815464e-07,2.642395191543301e-09
1827,1.0599863742299931e-07,0.0
1828,7.06267186956211e-08,7.337841001486822e-09
1829,1.4745862131348986e-07,8.57317605795771e-10
1830,7.723258477199124e-08,6.262101504006523e-09
1831,6.548306430431694e-08,1.5591206103948707e-09
1832,9.606278439378002e-08,2.705993873419743e-09
1833,1.0772774317047151e-07,2.3167256557599103e-08
1834,8.214387037241977e-08,9.334531370086552e-09
1835,1.520180603620247e-07,2.7983425354705105e-08
1836,1.0013917517426307e-07,1.4785650037651976e-08
1837,8.071153700939249e-08,1.948209416013924e-08
1838,1.312929640562288e-07,1.3886756633496589e-08
1839,1.0207553913232914e-07,2.7965900706306e-09
1840,1.2866770759956125e-07,4.458782232319436e-09
1841,1.1043343306482711e-07,2.1829865914924085e-08
1842,1.1001554867107188e-07,1.0062397137744483e-08
1843,1.228637529493426e-07,4.134837805480629e-09
1844,9.989181393166291e-08,4.390849017710252e-09
1845,7.14269177137794e-08,4.464182357111213e-09
1846,9.425747293789755e-08,3.5127007969038004e-09
1847,1.3914517182911368e-07,4.314578916364553e-09
1848,9.010648227558704e-08,1.206783295515379e-08
1849,6.535943697372204e-08,6.703531951757213e-09
1850,5.906426636670403e-08,5.431196825611551e-09
1851,7.610337604546658e-08,3.8696632564949596e-09
1852,8.007970819789989e-08,8.463708844885787e-09
1853,1.1227231766497425e-07,1.1943863675867306e-08
1854,8.416976271519161e-08,6.234797567117312e-09
1855,7.90733594158155e-08,7.429711956774554e-09
1856,9.733116002053066e-08,9.318940286107136e-09
