year,faudrait_VERB ôter_VERB,faudrait_VERB oter_VERB
1800,1.2576657937302116e-08,0.0
1801,3.809892135109294e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,3.705644502360883e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,4.264316544322355e-08,0.0
1806,3.458002950651462e-08,0.0
1807,8.540865792383556e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.4849335034105025e-08,0.0
1810,9.360507036149102e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,0.0,0.0
1814,4.72001566720337e-08,3.1466771410748606e-09
1815,3.236668177919455e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,7.784366928831332e-09,0.0
1818,1.9073883805731384e-08,0.0
1819,1.6561680027393777e-08,1.035105001712111e-09
1820,1.6613073583471305e-08,0.0
1821,3.4515210245444905e-08,0.0
1822,1.1028177482330648e-08,0.0
1823,1.9765373338032077e-08,0.0
1824,6.736890156844311e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,1.8496766784892316e-08,0.0
1827,1.474763688946723e-08,9.217273055917019e-10
1828,1.6510142586412258e-08,1.8344602503717056e-09
1829,1.2002446148073886e-08,8.57317605795771e-10
1830,1.878630406793036e-08,1.0436835840010872e-09
1831,1.091384405071949e-08,0.0
1832,2.3000948701223933e-08,0.0
1833,9.266902800675325e-09,0.0
1834,1.6802156110884425e-08,0.0
1835,1.9664028627630614e-08,7.563087933704082e-10
1836,2.8227150394855016e-08,2.016224964762614e-09
1837,1.3219993100221927e-08,6.957890930081589e-10
1838,1.3255539776935166e-08,6.312161904276081e-10
1839,2.4470162784950844e-08,6.9914751765765e-10
1840,8.280594876453051e-09,0.0
1841,2.632424944692957e-08,6.420548537278137e-10
1842,3.6895457355967665e-08,0.0
1843,1.1223130869097986e-08,0.0
1844,1.3721403568922597e-08,0.0
1845,1.6182660544927785e-08,0.0
1846,9.952652035849496e-09,0.0
1847,7.011190739092399e-09,0.0
1848,9.65426583121598e-09,0.0
1849,3.100383594301093e-08,0.0
1850,4.752297222410107e-09,0.0
1851,2.579775504329973e-09,0.0
1852,1.8880582430824688e-08,6.510545436100301e-10
1853,1.1346670270029335e-08,0.0
1854,8.313063126763609e-09,0.0
1855,1.2736649068756378e-08,0.0
1856,1.346069211649592e-08,6.73034605824796e-09
1857,1.0739319655783675e-08,4.881509085841174e-10
1858,5.872411001917044e-09,0.0
1859,1.782260738991681e-08,0.0
1860,1.9681891672007623e-08,9.154367819341758e-10
1861,2.5466203368296192e-08,0.0
1862,1.355395884417021e-08,0.0
1863,1.1987090431375691e-08,9.989241656072068e-10
1864,3.3563094525845827e-09,0.0
1865,1.2237795665726026e-08,0.0
1866,1.3137154475373336e-08,9.731225825149181e-10
1867,6.308654931785895e-09,0.0
1868,2.5687345583946808e-08,0.0
1869,4.883519366671862e-09,0.0
1870,6.880858549607183e-09,0.0
1871,1.4869648623516696e-08,0.0
1872,1.8142017887967654e-09,0.0
1873,1.3767810003173508e-08,0.0
1874,1.0754296120296658e-08,0.0
1875,8.58229043387837e-09,0.0
