year,grand_ADJ or_NOUN,grand_ADJ bord_NOUN
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,1.6668277424969347e-08
1802,0.0,2.0140561218795483e-08
1803,3.900678446910888e-09,4.095712213825209e-08
1804,4.943701892301533e-09,1.038177401824214e-07
1805,0.0,7.391481915419718e-08
1806,5.76333825108577e-09,4.3225035994964855e-08
1807,8.540865348294346e-09,0.0
1808,9.064295980465431e-09,4.305540457494317e-08
1809,2.259030518203531e-09,1.3554183553310395e-08
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,5.0141535368197765e-09,2.757784400841956e-08
1812,1.0668832928217853e-08,4.800974906515876e-08
1813,1.4378708224072057e-08,1.4378708002027452e-08
1814,9.440030979135372e-09,1.5733386149463513e-08
1815,5.394447111228828e-09,4.315557688983063e-08
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.556873407970727e-09,3.113746815941454e-09
1818,1.1921177378582115e-09,2.5034472272977837e-08
1819,1.035105001712111e-09,1.449147024601416e-08
1820,2.3732962262101864e-09,3.085285271708926e-08
1821,0.0,4.2404398215012407e-08
1822,1.5038423839541792e-08,1.303330066093622e-08
1823,6.917880934764753e-09,1.2847492847356534e-08
1824,4.463189817727198e-08,5.810567671460376e-08
1825,1.3208164340028361e-08,1.4088708866211164e-08
1826,6.165589039319741e-09,4.4039921931471326e-08
1827,5.530363722527909e-09,1.1982455028203276e-08
1828,9.172301251858528e-10,1.7427371545863934e-08
1829,4.286587973467704e-09,2.1432940755516938e-08
1830,9.39315247805439e-09,3.1310506187764986e-08
1831,1.5591206103948707e-09,2.8064171431196883e-08
1832,2.705993873419743e-09,2.4353944638733083e-08
1833,1.2741991461950875e-08,3.243415847009601e-08
1834,1.8669061851994684e-09,1.5868701908061666e-08
1835,2.193295500774184e-08,7.563087933704082e-09
1836,7.392825018825988e-09,1.4785650037651976e-08
1837,5.566312855087574e-09,1.8090515752078318e-08
1838,8.205810475558906e-09,0.0
1839,4.894032512581248e-09,3.705481788074394e-08
1840,1.2102408852854296e-08,1.7835128929277744e-08
1841,4.494383976094696e-09,1.1556987367100646e-08
1842,1.0062397581833693e-08,1.0733224087289273e-08
1843,6.497602234034616e-09,8.269675610961258e-09
1844,4.939705144924034e-09,4.50062032086862e-08
1845,1.2834524387717039e-08,5.580227835366713e-09
1846,1.1123552079439492e-08,1.2879903366069811e-08
1847,1.6179670936367074e-09,5.393223645455691e-10
1848,5.63165514222419e-09,0.0
1849,9.217356211621563e-09,1.6758828991214614e-08
1850,1.1541293254424545e-08,1.2899092460827433e-08
1851,3.8696632564949596e-09,1.2898877521649865e-09
1852,2.6042181744401205e-09,1.2370036550635177e-08
1853,2.149895506065036e-08,1.3138249599364826e-08
1854,4.676097953293379e-09,4.676098175337984e-09
1855,2.1227748447927297e-09,1.5920811335945473e-08
1856,3.1063135952358323e-09,4.141751386299575e-09
1857,7.322263739784063e-09,1.2203773103180993e-08
1858,1.1255454956948796e-08,1.0276719919488642e-08
1859,5.601390906662118e-09,8.147477359443656e-09
1860,4.577184048448757e-09,2.288591982591015e-09
1861,6.602349444939648e-09,5.187560159214399e-09
1862,1.8071945051545413e-09,1.581295272501393e-08
1863,7.491931519609807e-09,5.494082966350788e-09
1864,3.835782358407869e-09,1.4384183621984903e-08
1865,7.530951029455224e-09,2.8241067262513297e-09
1866,1.167747110120132e-08,6.3252967308358166e-09
1867,1.4073153309368536e-08,7.76449837758264e-09
1868,1.4819622196071691e-09,1.0867722721741302e-08
1869,4.88351925564956e-09,4.883519366671862e-09
1870,1.204150246181257e-08,5.734048791339319e-09
1871,1.0621177048975028e-08,0.0
1872,4.8378714367913744e-09,6.652073114565837e-09
1873,5.9860043588599865e-09,6.584604861359367e-09
1874,1.0754296286830112e-08,7.169530746864439e-09
1875,3.432916173551348e-09,9.154443425529735e-09
1876,3.627608879952504e-09,4.232210137899983e-09
1877,3.092407996341251e-09,8.658742167710898e-09
1878,4.22736201599605e-09,7.850815109122777e-09
1879,4.887460214320072e-09,9.774920428640144e-09
1880,4.492492378105339e-09,7.701415505323439e-09
1881,9.064259565150223e-09,2.7890030285249168e-09
1882,1.3310770263785798e-09,1.0648616211028639e-08
1883,1.2638677882037541e-09,3.159669414998234e-09
1884,1.3203393933736152e-09,2.6406787867472303e-09
1885,3.222817901438191e-09,1.933690718658454e-08
1886,5.808117542471791e-09,1.4197620856748472e-08
1887,5.8760321608453125e-09,3.9173548849191775e-09
1888,5.072491537916335e-09,1.0779045211961602e-08
1889,2.506054641582267e-09,9.397704836544563e-09
1890,3.277193294515257e-09,7.209825181320184e-09
1891,5.736798036615198e-09,3.824531802365527e-09
1892,7.522214851007902e-09,6.268512375839919e-09
1893,8.621783287310336e-09,9.853466487186324e-09
1894,5.671385361338821e-09,8.192000855444803e-09
1895,5.416753046105782e-09,4.814891596538473e-09
1896,3.538217385745668e-09,3.007484750128242e-08
1897,3.4960281336537946e-09,5.2440420894583895e-09
1898,6.2241903853177405e-09,1.5277558773618694e-08
1899,5.527578395003729e-09,9.39688327150634e-09
1900,1.038210628578895e-09,7.26747462209687e-09
1901,5.588738916095792e-10,1.2295225282343836e-08
1902,9.820567470342212e-09,1.8659077838378835e-08
1903,2.1600881083827517e-09,4.860198465905796e-09
1904,4.299700151477737e-09,5.374625189347171e-09
1905,7.741138396966107e-09,1.0837593933388234e-08
1906,3.600929110447737e-09,1.2346042410626978e-08
1907,6.171411992550446e-09,5.142843484406967e-09
1908,9.822778146428846e-10,1.6698722404839828e-08
1909,2.2003934230241384e-09,2.2003934230241384e-09
1910,3.7409054742809644e-09,1.068830179917768e-08
1911,5.32037403022656e-09,1.3832972989291648e-08
1912,4.688479104952847e-09,1.1981668990301841e-08
1913,4.7726907426159926e-09,8.484783542428431e-09
1914,6.027069177072519e-09,1.5402511266415786e-08
1915,0.0,3.534228465440492e-09
1916,4.394984820521586e-09,7.69122365795738e-09
