year,soient_VERB aux_ADP,soient_VERB beaux_ADJ
1800,7.54599476238127e-08,2.2009151834367913e-08
1801,6.429193177837078e-08,5.476719877606229e-08
1802,7.608656460433849e-08,2.0140561218795483e-08
1803,8.191424427650418e-08,4.6808139586573816e-08
1804,9.393033195692624e-08,2.7190360185613827e-08
1805,6.822906506442905e-08,1.1371510844071508e-08
1806,6.627838988748636e-08,1.152667650217154e-08
1807,5.4092147649953404e-08,3.4163463169534225e-08
1808,1.178358477460506e-07,4.985362878073829e-08
1809,2.0783080234565432e-07,4.743964154840796e-08
1810,1.2870697219113936e-07,2.8081521108447305e-08
1811,1.0529722516139373e-07,5.0141535368197765e-09
1812,6.13457871168066e-08,2.400487453257938e-08
1813,1.3803560250380542e-07,0.0
1814,1.8880062846449164e-07,1.2586708564299443e-08
1815,6.473336622292436e-08,5.394447111228828e-09
1816,8.806894769008977e-08,6.257530316133852e-08
1817,1.1209488270935708e-07,2.6466848268569265e-08
1818,5.126106206176928e-08,4.2916237674717195e-08
1819,5.7965878541565985e-08,3.726378139390363e-08
1820,1.340912350045187e-07,1.542642635854463e-08
1821,8.579494448213154e-08,6.114122896860863e-08
1822,8.221005032282847e-08,3.408709403629473e-08
1823,4.0519015698237126e-08,8.894418535021487e-09
1824,7.242156652154108e-08,1.1789557774477544e-08
1825,1.8227267339909758e-07,3.522177216552791e-09
1826,9.68878284268726e-08,3.170874407487645e-08
1827,7.834681770013674e-08,1.1060727445055818e-08
1828,9.997808092521154e-08,1.3758452155343548e-08
1829,6.344150138559712e-08,5.229637523029851e-08
1830,5.4271546368056534e-08,2.6092090266160994e-08
1831,5.9246584527272717e-08,4.365537620287796e-08
1832,5.6825870453636185e-08,3.111892965534935e-08
1833,3.359252431778259e-08,2.89590715851773e-08
1834,8.494422942817437e-08,1.0267983796552471e-08
1835,5.067268915581735e-08,7.563087933704082e-09
1836,5.7798450803225876e-08,1.4113575197427508e-08
1837,8.83652155891923e-08,4.87052354003481e-08
1838,7.069621377198132e-08,1.830527018853445e-08
1839,5.523265422802126e-08,1.1885507689157748e-08
1840,5.477932418784803e-08,2.165694112932215e-08
1841,5.778493861186007e-08,2.3113974734201292e-08
1842,4.628703020870262e-08,2.0124794275488966e-08
1843,7.560846282395062e-08,3.2488010504039266e-08
1844,6.25695986133934e-08,2.4698525891153622e-08
1845,8.426144137985148e-08,9.48638767539478e-09
1846,6.147226461195032e-08,2.751615646445771e-08
1847,3.343798482546845e-08,8.629157832729106e-09
1848,6.757986370509173e-08,1.287235473768078e-08
1849,5.6980021589936314e-08,1.256912263158938e-08
1850,3.86972773824823e-08,1.3577992064028876e-08
1851,4.708090450833424e-08,1.096404567135778e-08
1852,9.440291082185581e-08,2.0833745395520964e-08
1853,7.942669344451758e-08,2.09017620989016e-08
1854,8.209149493509926e-08,2.6497888327980945e-08
1855,5.041590256382733e-08,2.9188154115900034e-08
1856,6.160855203773963e-08,3.572260709461261e-08
1857,7.419893588433979e-08,1.9526035899275485e-08
1858,5.2851699905431815e-08,2.5936483183386372e-08
1859,8.402086004721809e-08,1.323965115318515e-08
1860,4.668727759948865e-08,2.3801355553132453e-08
1861,7.262584400535843e-08,3.159695793897299e-08
1862,5.647482881343535e-08,2.3945327498609004e-08
1863,5.2942979333892026e-08,2.1476870060155306e-08
1864,6.281093734017418e-08,1.6781548595190543e-08
1865,6.824924114745556e-08,1.2237795665726026e-08
1866,6.763201848558609e-08,2.4814625021463144e-08
1867,7.182160999263942e-08,1.94112459439566e-08
1868,7.459209516724741e-08,3.112120694481746e-08
1869,6.495080562274325e-08,2.5882650689368347e-08
1870,6.07809180763752e-08,1.2614907340946502e-08
1871,2.1242353653860846e-08,1.4869648623516696e-08
1872,4.8378715256092164e-08,3.084143074261192e-08
1873,7.243065569539908e-08,2.573981916498269e-08
1874,6.691562004501606e-08,2.5690820137924675e-08
1875,6.293679666313778e-08,2.0025344937835143e-08
1876,7.617978403651193e-08,3.9903696347209916e-08
1877,6.246663986075873e-08,1.1132669008873108e-08
1878,1.0508014192112114e-07,6.039088784604019e-09
1879,7.575563010231434e-08,2.016077260691418e-08
1880,4.2357783947011285e-08,4.2357786611546544e-08
1881,7.181682759593855e-08,2.998178416646624e-08
1882,4.725323421439498e-08,1.5972924316542958e-08
1883,5.497824728806222e-08,6.951272890631799e-09
1884,2.970763723908476e-08,2.5086448474098688e-08
1885,8.057044498244181e-08,2.0626034213933053e-08
