year,petit_ADJ an_NOUN,petit_ADJ banc_NOUN
1800,0.0,1.3519907327008696e-07
1801,7.143547975374531e-09,1.0953439977257062e-07
1802,8.951360541686881e-09,1.3874608839614666e-07
1803,0.0,1.4237476975154095e-07
1804,2.4718509461507665e-09,7.168367943677367e-08
1805,2.842877711017877e-09,2.2174445746259153e-07
1806,0.0,8.933174200365102e-08
1807,0.0,9.394952105168386e-08
1808,2.2660739951163578e-09,2.945896184769481e-07
1809,2.259030518203531e-09,1.6265019553429738e-07
1810,7.020380277111826e-09,1.4742799070432966e-07
1811,7.521229861140455e-09,1.1281845280208813e-07
1812,5.3344164641089264e-09,1.2535878113340004e-07
1813,5.751483289628823e-09,1.1502966401621961e-07
1814,0.0,6.922689799182535e-08
1815,8.091670444798638e-09,7.552225866902518e-08
1816,2.3176038865813098e-09,9.965696534663948e-08
1817,6.227493631882908e-09,1.0898114055635233e-07
1818,2.384235475716423e-09,1.0013788909191135e-07
1819,4.140420006848444e-09,3.622867394970086e-08
1820,0.0,1.3646453389526414e-07
1821,9.86148829262845e-10,7.494731035784241e-08
1822,3.0076847679083585e-09,1.0025615893027862e-07
1823,1.9765373782121287e-09,9.586206495271199e-08
1824,8.421112696055388e-10,4.463189817727198e-08
1825,8.805443041381977e-10,1.1094858365368054e-07
1826,0.0,1.2243097557984584e-07
1827,9.217273055917019e-10,4.885154802902747e-08
1828,1.8344602503717056e-09,7.337840646215454e-08
1829,2.571952872898464e-09,1.6974889210930044e-07
1830,3.1310507520032616e-09,2.1291144491897285e-07
1831,0.0,1.0290195895379384e-07
1832,0.0,2.543634347595969e-07
1833,2.3167257001688313e-09,2.536814710518698e-07
1834,0.0,1.344172400052912e-07
1835,3.025235173481633e-09,1.9890921265641737e-07
1836,1.3441500135158435e-09,1.3441500179567356e-07
1837,5.566312633042969e-09,1.8160095294206258e-07
1838,1.0099459268886335e-08,8.142688856516145e-08
1839,3.4957376993105527e-09,1.356346133185582e-07
1840,6.369688665408546e-10,2.1147366169316228e-07
1841,0.0,1.5794549002023928e-07
1842,1.341653010911159e-09,1.6971910721252925e-07
1843,4.134837805480629e-09,1.9965359854268172e-07
1844,1.6465684371524958e-09,9.714753446132818e-08
1845,3.9061593959388574e-09,8.816760105334609e-08
1846,2.9272506640865004e-09,1.6743873132440967e-07
1847,2.6966118227278457e-09,1.0840379616183782e-07
1848,8.045221711050488e-10,1.4803208614466712e-07
1849,0.0,1.0306680664484702e-07
1850,2.0366988096043315e-09,9.776154286100791e-08
1851,6.449438760824933e-10,1.5930114405371398e-07
1852,0.0,1.2174719898894182e-07
1853,4.777545470346922e-09,8.838459186755188e-08
1854,1.0391328908454511e-09,1.2833290607972003e-07
1855,5.306937111981824e-10,1.4010314330903384e-07
1856,2.0708756931497874e-09,1.9000284967596315e-07
1857,1.4644527812635033e-09,1.9037885490291728e-07
1858,9.787352039936081e-10,1.4534217829265117e-07
1859,5.092173349652285e-10,1.3799789844171073e-07
1860,2.288591982591015e-09,1.7118667211546423e-07
1861,1.4147891747029462e-09,1.2638783486451644e-07
1862,1.8071945051545413e-09,1.2876261501482134e-07
1863,1.4983862484108101e-09,1.253649868360185e-07
1864,3.356309563606885e-09,1.7404863061898368e-07
1865,4.706844358715045e-10,1.1484700279673632e-07
1866,0.0,2.0435573633292847e-07
1867,2.91168689159349e-09,1.465549139822997e-07
1868,2.9639244392143382e-09,1.5511203876883428e-07
1869,4.883519144627257e-10,1.445521705667474e-07
1870,1.1468097582678638e-09,1.2614907385355423e-07
1871,2.1242354542039266e-09,1.9011907514965287e-07
1872,0.0,2.1165688224300538e-07
1873,5.986004469882289e-10,1.9095354186760005e-07
1874,5.974609140757536e-10,2.3241230051596062e-07
1875,5.721527140956084e-10,1.7164581844753002e-07
1876,1.813804439976252e-09,1.6505619715445619e-07
1877,6.184815992682502e-10,1.731748504596453e-07
1878,3.019544336790858e-09,1.2984041031227633e-07
1879,0.0,2.2054664317039396e-07
1880,2.5671385017744797e-09,1.4953581661814042e-07
1881,1.3945015142624584e-09,2.0011097312533366e-07
1882,3.3276925659464496e-09,1.4575292861529476e-07
1883,3.159669414998234e-09,1.756776262240578e-07
1884,6.601696966868076e-10,1.8418734093472722e-07
1885,6.445635691854079e-10,2.758731980634366e-07
1886,1.2906927748801422e-09,1.477843252217781e-07
1887,6.528924623161458e-10,1.7628096760091694e-07
1888,4.438430289965822e-09,2.0480185014548624e-07
1889,1.8795409673089125e-09,1.5662841423846885e-07
1890,2.6217545912032847e-09,1.8417825897731888e-07
1891,6.374220040683554e-10,2.0142535728240318e-07
1892,6.268512375839919e-10,2.4447196933508053e-07
1893,1.2316833108982905e-09,1.5888714743894639e-07
1894,1.8904617871129403e-09,2.1551264595132125e-07
1895,1.8055843487019274e-09,1.8838263438070157e-07
1896,5.89702897624278e-10,1.8162849535485748e-07
1897,0.0,1.1595159987720649e-07
1898,1.13167097914868e-09,1.4598556008493802e-07
1899,5.527578395003729e-10,1.8296284132190976e-07
1900,3.6337372000261325e-09,1.8843523341693924e-07
1901,5.588738916095792e-10,1.7995739320930682e-07
1902,4.910283846193408e-10,1.7382405292920566e-07
1903,5.400220270956879e-10,1.701069392012755e-07
1904,2.6873125946735854e-09,9.781817755794009e-08
1905,1.0321518084666081e-09,1.2385821612781456e-07
1906,2.572092261399206e-09,1.970222704983371e-07
1907,2.057137349353866e-09,1.6302813143909134e-07
1908,9.822778146428846e-10,1.8123025480321076e-07
1909,3.300590023513905e-09,1.1552065559694569e-07
1910,1.068830135508847e-09,1.731504863933253e-07
1911,5.320374141248863e-10,1.4258602387684505e-07
1912,1.0418842455450772e-09,1.6618053200190275e-07
1913,1.590896969716482e-09,1.665138746886896e-07
1914,6.696743715117748e-10,1.3594389669524531e-07
1915,2.3561523843085297e-09,1.272322334155973e-07
1916,1.0987462051303964e-09,9.668966627351949e-08
1917,0.0,1.1185752701869944e-07
1918,1.1486376294556067e-09,1.4817425952884378e-07
1919,0.0,1.813946097772856e-07
1920,7.572231730534895e-10,1.70375207275697e-07
1921,6.058197943303867e-09,1.3555217748262294e-07
