year,est_VERB à_ADP,est_VERB a_ADP,est_VERB bas_ADV
1800,0.00011396338231861591,7.640319665824791e-07,4.62192190298083e-07
1801,0.00010067639959743246,6.64349954604404e-07,3.9289511732931715e-07
1802,0.00010387382644694299,8.749954645281832e-07,3.3791386044867977e-07
1803,0.0001070580183295533,7.879370400587504e-07,1.5797748176282767e-07
1804,0.00010655902588041499,6.57512330803911e-07,2.84262853256223e-07
1805,0.00011435760097810999,7.306195470846433e-07,1.5920115004064428e-07
1806,9.416430111741647e-05,9.941758776221832e-07,2.4782355012575863e-07
1807,0.00010379998275311664,8.910969597764051e-07,1.366538526781369e-07
1808,0.00011067731975344941,9.086956538340019e-07,2.1754310353117035e-07
1809,9.663680975791067e-05,9.962324796219946e-07,3.0722816291017807e-07
1810,8.921499102143571e-05,8.635067487716697e-07,1.0998595456612748e-07
1811,9.191946446662769e-05,7.77193818635169e-07,3.8358274423444527e-07
1812,9.32642724364996e-05,6.988085345938089e-07,1.973734100602087e-07
1813,9.501737804384902e-05,9.144858097442921e-07,2.415623043816595e-07
1814,8.645180787425488e-05,1.1170703686502748e-06,1.6362720600682223e-07
1815,8.160719880834222e-05,6.797003209157992e-07,3.1557516422253684e-07
1816,8.719752804609016e-05,7.972557369839706e-07,1.9004352225238108e-07
1817,9.97535462374799e-05,8.407116141029292e-07,1.9616605584360514e-07
1818,8.549153426429257e-05,7.105021921915977e-07,2.002757781838227e-07
1819,8.470678585581481e-05,1.0661581768545147e-06,1.2731791798614722e-07
1820,8.33976300782524e-05,8.152272741313027e-07,1.495176604748849e-07
1821,8.739842451177537e-05,9.713565987112815e-07,2.2780038477776543e-07
1822,8.985357999335974e-05,8.321261191213125e-07,2.6267113639733e-07
1823,8.166261977748945e-05,9.092071806549029e-07,1.2946320282480883e-07
1824,8.360396168427542e-05,7.40215796213306e-07,1.4315891405658476e-07
1825,8.641397289466113e-05,7.141214126704654e-07,1.4793144487157406e-07
1826,8.447385334875435e-05,7.046387722198233e-07,1.673517004974201e-07
1827,8.382372470805421e-05,5.972792855857278e-07,1.1890282536342056e-07
1828,8.365505345864221e-05,6.714124261009147e-07,1.8711494931267225e-07
1829,8.588864875491709e-05,7.853029302395953e-07,1.8860987438529264e-07
1830,8.951987547334284e-05,9.26791038580177e-07,1.5133412034629146e-07
1831,9.272401803173125e-05,1.014987546454904e-06,1.262887678876723e-07
1832,8.875930507201701e-05,8.266811022394904e-07,1.204167290325131e-07
1833,8.984262240119278e-05,7.483023978238634e-07,1.7722950929055514e-07
1834,8.567045733798295e-05,9.57722868122346e-07,1.540197587246439e-07
1835,8.645289926789701e-05,9.66562623716527e-07,2.1327907973045512e-07
1836,8.296362648252398e-05,9.509861413903309e-07,1.451682010156219e-07
1837,8.72352538863197e-05,8.88522677655601e-07,1.4750729349088942e-07
1838,8.178983989637345e-05,1.020676599239323e-06,1.388675627822522e-07
1839,8.767589315539226e-05,1.0046749565617574e-06,1.167576328953146e-07
1840,8.148806227836758e-05,1.1089627633964483e-06,1.5542040898708365e-07
1841,8.429410081589594e-05,1.1075446622044183e-06,1.194221965761244e-07
1842,8.188108040485531e-05,1.1041804270917055e-06,9.458653948968276e-08
1843,8.260401955340058e-05,1.1612987691478338e-06,1.1164061675117409e-07
1844,7.825370994396508e-05,1.2321820435090558e-06,1.5697284538873646e-07
1845,7.828725210856646e-05,1.206445332968542e-06,1.2109094882362115e-07
1846,8.180845907190815e-05,1.2985283817101845e-06,1.7329324464299134e-07
1847,7.781612657709047e-05,1.3105533156476668e-06,1.5856078050546785e-07
1848,8.649176743347198e-05,1.143226043609502e-06,8.930196315759531e-08
1849,8.691464609000832e-05,1.5284052352626532e-06,7.457679629396807e-08
1850,8.522634016117081e-05,1.3394688664902787e-06,1.2355972955901962e-07
1851,8.128098852466792e-05,1.3576068695897447e-06,1.3930787190474803e-07
1852,7.897877367213368e-05,1.462919563266496e-06,8.984552835045179e-08
1853,8.383278327528387e-05,1.3795162132623773e-06,1.248133685294306e-07
1854,8.199278090614825e-05,1.6381929839326403e-06,1.4859600128147576e-07
1855,8.042132685659453e-05,1.3691897464696012e-06,1.0083180512765466e-07
1856,8.219046867452562e-05,1.5205404579887727e-06,7.921099864915959e-08
1857,8.457848889520392e-05,1.466405308292451e-06,1.3961115996607987e-07
1858,8.552971121389419e-05,1.3349947849405908e-06,1.517039578402546e-07
1859,8.333698497153819e-05,1.3300757331080604e-06,9.21683351862157e-08
1860,8.035475184442475e-05,1.29763169098851e-06,1.35026922976067e-07
1861,8.25524766696617e-05,1.2346392708195708e-06,1.8062141293739842e-07
1862,8.597185660619289e-05,1.3404864844801523e-06,1.337323993766404e-07
1863,8.520323899574578e-05,1.3715228277533242e-06,1.633241026866017e-07
1864,8.606776100350544e-05,1.49595509668643e-06,1.1459399473778831e-07
1865,8.571351645514369e-05,1.3847535669242461e-06,1.0731605470937211e-07
1866,8.616027480456978e-05,1.665985870147324e-06,1.610517870176409e-07
1867,9.100088936975226e-05,1.4956364822182877e-06,1.6596615637354262e-07
1868,9.194785525323823e-05,1.3732849382108725e-06,1.3584653402176627e-07
1869,8.62341548781842e-05,1.5231695869033501e-06,1.5773767358950863e-07
1870,8.560247079003602e-05,1.6261761857094825e-06,1.1984161574218888e-07
1871,9.144090290647e-05,1.6345992293054223e-06,8.496941461544338e-08
1872,8.848769357427955e-05,1.458618207550444e-06,1.0461896948754656e-07
1873,8.836480265017599e-05,1.4138942745489658e-06,1.568333232171426e-07
1874,8.881674875738099e-05,1.3132191369891189e-06,8.424198938428162e-08
1875,9.01701205293648e-05,1.5436679632330197e-06,1.458989373759323e-07
1876,9.331116598332301e-05,1.494574888738498e-06,2.2249334108437324e-07
1877,9.176349703921005e-05,1.386635702260719e-06,1.8121511402569013e-07
1878,8.802636148175225e-05,1.4433421569037819e-06,1.6124366197800555e-07
1879,8.916621300159022e-05,1.5615435629001695e-06,1.563987268582423e-07
1880,8.579825953347608e-05,1.6500282455922388e-06,1.7199828050706856e-07
1881,9.151137055596337e-05,1.936265356050626e-06,1.2689963568845997e-07
1882,8.980909478850663e-05,1.7490352561821965e-06,1.1979693681496428e-07
1883,9.164305083686486e-05,2.0089178747184633e-06,1.2828257922592456e-07
1884,8.970187627710402e-05,2.049166802464697e-06,1.6438225713955035e-07
1885,8.966716995928437e-05,2.3429884805636902e-06,1.40514856639129e-07
1886,8.884935232345015e-05,2.1696545502436493e-06,1.4391224567589234e-07
1887,8.956182864494622e-05,2.022660808620458e-06,1.5604129544044554e-07
1888,9.045204205904156e-05,1.982710223558115e-06,1.3315290914306388e-07
1889,9.406789467902854e-05,2.0443141934833875e-06,1.4096558231813106e-07
1890,9.168341057375073e-05,1.8575131690568014e-06,1.5075089265792485e-07
1891,9.441558358957991e-05,2.1742464184626442e-06,1.529812863054758e-07
1892,9.490214142715558e-05,2.0541916043725905e-06,1.5922022100767208e-07
1893,9.321379184257239e-05,2.310021969265108e-06,1.4410694859634532e-07
1894,9.198483166983351e-05,2.1456741450265326e-06,1.4871632458834938e-07
1895,9.359547402709723e-05,2.3466578866759846e-06,1.5407653108923114e-07
1896,9.18768928386271e-05,2.217872520304809e-06,1.2147879147050844e-07
1897,9.623108780942857e-05,2.826538690214875e-06,1.5149454668517137e-07
1898,9.676126501290128e-05,2.357270560082725e-06,1.2901048762614664e-07
1899,9.678347851149738e-05,2.350326361977295e-06,1.1220983964221887e-07
1900,9.535445860819891e-05,2.040603099828786e-06,1.2821901407278347e-07
1901,9.511251118965447e-05,2.4249537773357588e-06,1.2295225815250888e-07
1902,9.829504415392876e-05,2.1502132199202606e-06,1.2226607282173063e-07
1903,9.822730498854071e-05,2.5510640284664987e-06,8.802359019455253e-08
1904,9.782785491552204e-05,2.2804534722808967e-06,1.0211788037395308e-07
1905,9.673585009295493e-05,2.4714874911069273e-06,1.4604948717078514e-07
1906,9.501051681581885e-05,2.2649844240163475e-06,1.2911903013446135e-07
1907,9.65661383816041e-05,2.4490221051109984e-06,1.2651395309148938e-07
