year,tout_DET honneur_NOUN,tout_DET bonheur_NOUN
1800,3.6472307485269084e-07,1.0375742931501009e-07
1801,3.8098920640550205e-07,3.333655596016172e-08
1802,2.774921767922933e-07,1.320325679898815e-07
1803,2.0868630201675842e-07,4.8758479920252285e-08
1804,3.6583392670763715e-07,9.393033262306005e-08
1805,2.729162638104299e-07,7.391481915419718e-08
1806,3.227469420608031e-07,2.5935023018064385e-08
1807,2.4768510797912313e-07,3.131650672116848e-08
1808,1.880841375978548e-07,7.704651494577774e-08
1809,3.637039185377944e-07,8.132509776714869e-08
1810,2.246521670912216e-07,7.02038045474751e-08
1811,3.585119721094543e-07,6.267691787797958e-08
1812,2.9339290463781253e-07,5.86785815492874e-08
1813,4.888760862797881e-07,4.888760685162197e-08
1814,4.2480141715373065e-07,2.1397404736944736e-07
1815,2.966945888971395e-07,6.743058711400352e-08
1816,3.128765371229747e-07,1.8540831092650478e-08
1817,3.004765547487409e-07,1.214361260437613e-07
1818,4.5777321311391006e-07,6.914282812964245e-08
1819,4.067962589004992e-07,1.0558071217303677e-07
1820,4.865257441366566e-07,2.444495112996492e-07
1821,5.127973663476837e-07,1.0551792284374528e-07
1822,4.952654109047216e-07,1.884815787889238e-07
1823,6.018556124587349e-07,5.435477756776663e-08
1824,6.47583586754763e-07,1.1873769167891624e-07
1825,8.558890494114735e-07,1.6994505624978729e-07
1826,6.782147874417888e-07,7.574866855986073e-08
1827,3.5209982307549126e-07,5.89905464476459e-08
1828,3.210305312695283e-07,6.053718948351161e-08
1829,4.7152468862776686e-07,8.658907868497323e-08
1830,4.769633852319544e-07,7.931995327226105e-08
1831,4.3187641285413747e-07,1.6682589976113604e-07
1832,4.4378299568492707e-07,1.1094574858816486e-07
1833,3.660426548535156e-07,1.540622645013201e-07
1834,3.4257728032116574e-07,1.5495321292746667e-07
1835,7.631155867215966e-07,1.78488868129989e-07
1836,7.661654937152207e-07,1.7003497188028405e-07
1837,4.842692278295146e-07,1.711641122170704e-07
1838,5.598887460322999e-07,1.3129297360414682e-07
1839,4.859075239949107e-07,1.6989284645774205e-07
1840,4.904660029225738e-07,1.7452946377005674e-07
1841,5.097915618534898e-07,1.534511158141072e-07
1842,4.769576591456826e-07,1.9386886007666249e-07
1843,5.263057829552054e-07,2.126488026221729e-07
1844,4.067024017562204e-07,1.9978362519879056e-07
1845,5.691832285492637e-07,1.5457231672399985e-07
1846,5.228069923646217e-07,1.6099879118769422e-07
1847,4.5572740781096854e-07,1.2620143596819844e-07
1848,4.553595456258108e-07,1.3757328964913995e-07
1849,2.8741394331177617e-07,1.4663976699580417e-07
1850,3.6592687369108035e-07,1.4664231695604713e-07
1851,4.424315043216609e-07,1.1673484112684207e-07
1852,4.7461877139554076e-07,1.367214572667308e-07
1853,5.189608942579582e-07,1.6124215473922732e-07
1854,5.564556584403135e-07,1.6002646319179803e-07
1855,6.12951232881187e-07,1.6345365594361283e-07
1856,5.140949079773804e-07,1.7447128275449586e-07
1857,6.438710564715677e-07,1.7866322643556032e-07
1858,6.278586606178749e-07,1.4583155216740806e-07
1859,6.915171661958652e-07,2.3016623362792643e-07
1860,6.046459750663757e-07,1.8262964118775926e-07
1861,5.437505992134106e-07,1.8675216928443206e-07
1862,5.426101670202854e-07,1.4322017038992385e-07
1863,5.489088286125821e-07,1.56831095665666e-07
1864,5.763263004610053e-07,1.6685652592940414e-07
1865,5.96357186744001e-07,1.5438449807447796e-07
1866,5.877660624875602e-07,1.4791463343044597e-07
1867,4.2607685557527475e-07,1.4218736943405474e-07
1868,4.885535456189416e-07,9.336362349898764e-08
1869,6.128816583128582e-07,1.8264361667519324e-07
1870,5.562027611816234e-07,1.6284698922675034e-07
1871,4.7158027727256524e-07,1.1895718188270621e-07
1872,4.2633741426101324e-07,1.0764264235518795e-07
1873,5.36346025814538e-07,1.1074108119402126e-07
1874,4.158328095194008e-07,1.7505605320877748e-07
1875,5.996160394872163e-07,1.407495684446758e-07
1876,5.108882401572146e-07,1.2938471627421677e-07
