year,fût_VERB au_ADP,fût_VERB beau_ADV
1800,8.049061079873354e-07,1.8864987794131594e-08
1801,7.738843237348192e-07,7.143547975374531e-09
1802,6.556871312568546e-07,2.0140561218795483e-08
1803,7.41128928893886e-07,0.0
1804,8.255981924776279e-07,9.887403784603066e-09
1805,7.363053100561956e-07,0.0
1806,8.011040222299926e-07,2.881669125542885e-09
1807,8.910969313546957e-07,3.4163463169534225e-08
1808,7.047490271361312e-07,0.0
1809,8.155100204021437e-07,3.162642769893864e-08
1810,7.441603315783141e-07,2.8081521108447305e-08
1811,8.198140903914464e-07,0.0
1812,5.254400434751005e-07,1.0668832928217853e-08
1813,8.886041769073927e-07,0.0
1814,6.482155185949523e-07,0.0
1815,7.39039251129725e-07,2.697223555614414e-09
1816,1.008157710202795e-06,4.6352077731626196e-09
1817,9.138846621681296e-07,9.341240669868967e-09
1818,1.0097237463924102e-06,2.384235475716423e-09
1819,9.08822187284386e-07,1.5526575580793178e-08
1820,9.49318518905784e-07,7.119888678630559e-09
1821,8.658386718707334e-07,2.9584464655840748e-08
1822,8.481671329718665e-07,0.0
1823,1.1948168321396224e-06,9.882686669016039e-09
1824,1.1082183846156113e-06,1.3473780313688621e-08
1825,1.2098678325855872e-06,9.68598712347557e-09
1826,1.0411037010271684e-06,2.642395191543301e-09
1827,1.2166800615887041e-06,0.0
1828,9.447470006307412e-07,7.337841001486822e-09
1829,9.970603969122749e-07,8.57317605795771e-10
1830,9.194852168548096e-07,6.262101504006523e-09
1831,7.951514930937265e-07,1.5591206103948707e-09
1832,8.618590641162882e-07,2.705993873419743e-09
1833,7.309269562938425e-07,2.3167256557599103e-08
1834,6.954225568733818e-07,9.334531370086552e-09
1835,9.12108419015567e-07,2.7983425354705105e-08
1836,8.878110975274467e-07,1.4785650037651976e-08
1837,8.989595130515227e-07,1.948209416013924e-08
1838,9.020079119181901e-07,1.3886756633496589e-08
1839,7.410963576148788e-07,2.7965900706306e-09
1840,9.656448582973098e-07,4.458782232319436e-09
1841,8.526488386451092e-07,2.1829865914924085e-08
1842,7.607172847201582e-07,1.0062397137744483e-08
1843,8.80129732649948e-07,4.134837805480629e-09
1844,7.969391049300611e-07,4.390849017710252e-09
1845,7.499826324419701e-07,4.464182357111213e-09
1846,7.967976216605166e-07,3.5127007969038004e-09
1847,7.092089049365313e-07,4.314578916364553e-09
1848,6.661443308075832e-07,1.206783295515379e-08
1849,6.661634870397393e-07,6.703531951757213e-09
1850,7.753033628432604e-07,5.431196825611551e-09
1851,7.339461376432155e-07,3.8696632564949596e-09
1852,6.451950298469455e-07,8.463708844885787e-09
1853,7.405195674436982e-07,1.1943863675867306e-08
1854,6.905037821525184e-07,6.234797567117312e-09
1855,6.692047804790491e-07,7.429711956774554e-09
1856,7.631176686118124e-07,9.318940286107136e-09
1857,8.669559861118614e-07,3.4170564155999728e-09
1858,8.147970333993726e-07,1.0276719919488642e-08
1859,7.678997349103156e-07,9.675129142294736e-09
1860,8.765306915847759e-07,1.0985241161165504e-08
1861,8.017138384275313e-07,2.782418562219391e-08
1862,7.346245638473192e-07,9.487771457372673e-09
1863,8.161210303114785e-07,1.048870412745373e-08
1864,6.794129490117484e-07,1.1986819536957682e-08
1865,7.465055205102544e-07,7.530950973944073e-09
1866,7.541700028923515e-07,1.3137154475373336e-08
1867,7.036576903374225e-07,6.79393608038481e-09
1868,6.046406042514718e-07,1.1855697756857353e-08
1869,6.456012329181249e-07,3.1742874995188686e-08
1870,6.548283977281244e-07,4.587239033071455e-09
1871,5.469906341204478e-07,2.1242354542039266e-09
1872,6.573457653757941e-07,1.814201766592305e-08
1873,6.500800964204245e-07,8.380406590902112e-09
1874,6.870800461911131e-07,4.182226565063729e-09
1875,6.225021706995904e-07,8.58229043387837e-09
1876,6.039968525328732e-07,2.0556450763820067e-08
1877,5.547780119741219e-07,6.80329748092845e-09
1878,5.604274520010222e-07,5.435179861734696e-09
1879,5.993248350932845e-07,1.0996785704264767e-08
1880,5.84665770020365e-07,8.343199908722454e-09
1881,4.6088274530120543e-07,4.183504653809678e-09
1882,5.550591026803886e-07,1.5307385581309063e-08
1883,5.352480343390198e-07,9.479008689083912e-09
1884,6.509273475785449e-07,1.8484751507230612e-08
1885,4.776215973834042e-07,2.5782542767416317e-09
1886,5.730676093662623e-07,6.4534639854230136e-09
1887,4.942396003571048e-07,1.9586774424595887e-09
1888,5.338797564036213e-07,5.07249175996094e-09
1889,4.692587367571832e-07,4.385595886446936e-09
1890,4.765038852383441e-07,1.2453334363726754e-08
1891,4.557567194751755e-07,1.2748440525456317e-08
1892,4.124681254324969e-07,3.1342561879199593e-09
1893,5.173070007913338e-07,7.390100087434348e-09
1894,4.7324559204753314e-07,0.0
1895,5.958428346275468e-07,4.213029924926559e-09
1896,4.747108448555082e-07,4.1279202278587945e-09
1897,4.533183073363034e-07,7.574727511894253e-09
1898,4.3342998878870276e-07,1.0185038590293516e-08
1899,4.5713073859587894e-07,9.949641111006713e-09
1900,4.147651395669527e-07,8.30568502863116e-09
1901,4.107723157176224e-07,5.58873880507349e-09
1902,4.0558944647273165e-07,1.3257766440233354e-08
1903,3.6613494103221456e-07,1.0260418292773466e-08
1904,4.278201686247485e-07,1.6123875568041512e-09
1905,3.911855230853689e-07,1.2385822145688508e-08
1906,4.4497195972326153e-07,9.773950537805831e-09
1907,3.944560944546538e-07,2.5714217422034835e-09
1908,4.0960983938020945e-07,9.822778146428846e-09
1909,4.829863655686495e-07,7.151278680339601e-09
1910,3.9119183270486246e-07,6.412980813053082e-09
1911,3.405039592507819e-07,6.916486494645824e-09
1912,4.157118098646606e-07,5.730363294986773e-09
1913,4.104514061964437e-07,1.0605979205990934e-08
1914,3.8841113791932e-07,1.339348720819089e-08
1915,4.0290206015924923e-07,2.3561523843085297e-09
1916,4.4718970571011596e-07,1.0987462051303964e-09
1917,3.761483640118968e-07,1.973956464951243e-08
1918,3.618208666011924e-07,1.033773866510046e-08
1919,4.751249775836186e-07,1.1049418269237776e-08
1920,3.8391215184674365e-07,1.0601124422748853e-08
1921,4.142292766573519e-07,1.060184651180407e-08
1922,4.5374304136203136e-07,1.770704471937279e-08
1923,3.704965934048232e-07,9.554353752605493e-09
1924,4.215561091314157e-07,1.4180787211159895e-08
1925,3.9813403418520465e-07,1.3197813508725176e-08
1926,4.068340615503985e-07,1.4489979882625903e-08
1927,4.481988469251519e-07,1.1149224654616319e-08
