year,est_VERB au_ADP,est_VERB beau_ADJ
1800,4.08081104978919e-05,2.8454687708290294e-06
1801,3.792747520492412e-05,3.383660441613756e-06
1802,4.0422106394544244e-05,2.548899828980211e-06
1803,3.9829828892834485e-05,2.439874378978857e-06
1804,3.906018901034258e-05,2.943974550362327e-06
1805,4.106821143068373e-05,2.643876314323279e-06
1806,3.417371408431791e-05,3.0026992590137525e-06
1807,3.8431047869380563e-05,2.1950024802208645e-06
1808,4.890414129476994e-05,2.741949629125884e-06
1809,3.3169344533234835e-05,2.234181238236488e-06
1810,3.2211843063123524e-05,2.639663080117316e-06
1811,3.727020157384686e-05,2.2162557797855698e-06
1812,2.952599425043445e-05,1.8297048427484697e-06
1813,3.4169563150499016e-05,2.3753625555400504e-06
1814,3.208981433999725e-05,2.3725945084152045e-06
1815,2.6087545847985893e-05,1.43762019888527e-06
1816,2.9621294743265025e-05,2.234170096926391e-06
1817,3.1356987165054306e-05,2.640457296365639e-06
1818,2.7731042791856453e-05,2.7907476578548085e-06
1819,2.8443650080589578e-05,2.419040356471669e-06
1820,2.8998119887546636e-05,2.452801709296182e-06
1821,2.9741262551397085e-05,2.9475988867488923e-06
1822,2.9567547244369052e-05,2.033194959949469e-06
1823,2.6730691388365813e-05,1.7808602024160791e-06
1824,2.6309240638511255e-05,1.7953811948245857e-06
1825,2.8165090043330565e-05,2.1995997485646512e-06
1826,2.6703166440711357e-05,1.8743390910458402e-06
1827,2.738636248977855e-05,1.837002514548658e-06
1828,2.7096812118543312e-05,1.624414608158986e-06
1829,2.669429886736907e-05,2.1878745428693946e-06
1830,2.7450965717434883e-05,2.0205714008625364e-06
1831,2.617763493617531e-05,2.193682803408592e-06
1832,3.066432327614166e-05,2.0470843082875945e-06
1833,2.9118924430804327e-05,2.154554977096268e-06
1834,2.8295764423091896e-05,2.070398977593868e-06
1835,2.9092174372635782e-05,2.0601851247192826e-06
1836,2.743410186667461e-05,2.110987679770915e-06
1837,2.7213702196604572e-05,2.0240504454704933e-06
1838,2.5998531782533973e-05,1.6499991488672094e-06
1839,2.483511889295187e-05,1.6429967217845842e-06
1840,2.5396586352144368e-05,1.874599320217385e-06
1841,2.569118259998504e-05,1.987801852010307e-06
1842,2.4905104510253295e-05,1.940701167768566e-06
1843,2.583033165137749e-05,2.1477528662217082e-06
1844,2.5329161871923134e-05,1.7870755755211576e-06
1845,2.5393384930794127e-05,1.9089959550910862e-06
1846,2.6247485948260874e-05,1.760448526511027e-06
1847,2.3872025849414058e-05,1.7112698742494103e-06
1848,2.8931421184097417e-05,1.609044375072699e-06
1849,2.569296157162171e-05,1.316406041951268e-06
1850,2.5122000806732103e-05,1.5336341903093853e-06
1851,2.5224400815204717e-05,1.4769215113119571e-06
1852,2.4791506803012453e-05,1.6666996316416771e-06
1853,2.6622872610460036e-05,1.6046581094997237e-06
1854,2.581465923867654e-05,1.7909455891640391e-06
1855,2.529710764065385e-05,1.9423389403527835e-06
1856,2.554373349994421e-05,1.978203954422497e-06
1857,2.5801704396144487e-05,2.03510103347071e-06
1858,2.600108018668834e-05,1.863511783994909e-06
1859,2.51196906901896e-05,2.173339680666686e-06
1860,2.493787178536877e-05,1.9782589788519545e-06
1861,2.608682552818209e-05,2.4669207050465047e-06
1862,2.5174220354529098e-05,2.226011929451488e-06
1863,2.4695902538951486e-05,2.147187387890881e-06
1864,2.6334084395784885e-05,2.0358415895316284e-06
1865,2.565559589129407e-05,1.92839411283785e-06
1866,2.6896135750575922e-05,1.8465001403455972e-06
1867,2.612899334053509e-05,1.916860583150992e-06
1868,2.5259058020310476e-05,1.5777957287355093e-06
1869,2.5620895030442625e-05,1.876736405392876e-06
1870,2.561858309491072e-05,1.709893354018277e-06
1871,2.4558286895626225e-05,1.432796807421255e-06
1872,2.509162004571408e-05,1.5819839518371737e-06
1873,2.5441117031732574e-05,1.3743866702498053e-06
1874,2.479641989339143e-05,1.2893206076114438e-06
1875,2.571483128122054e-05,1.710164497126243e-06
1876,2.651782051543705e-05,1.9250510376878083e-06
1877,2.6399886337458156e-05,1.5103320265552611e-06
1878,2.5254261345253326e-05,1.5617083590768743e-06
1879,2.5747140171006322e-05,1.524276626696519e-06
1880,2.445135214657057e-05,1.6282075421258924e-06
1881,2.569438765931409e-05,1.4774743704037974e-06
1882,2.501626113371458e-05,1.5680087699365686e-06
1883,2.516360837034881e-05,1.4464966398008983e-06
1884,2.4918104827520438e-05,1.427286861144239e-06
1885,2.4441205823677592e-05,1.3406922789727105e-06
1886,2.4139826564351097e-05,1.2848846608903841e-06
1887,2.3563541617477313e-05,1.3214543059802963e-06
1888,2.3358825274044648e-05,1.2719273172479006e-06
1889,2.3538119421573356e-05,1.3457513432513224e-06
1890,2.349616443098057e-05,1.1928983667530701e-06
1891,2.393009708612226e-05,1.1836926887554e-06
1892,2.339220736757852e-05,1.1590478834477835e-06
1893,2.346910878259223e-05,1.1540872719706385e-06
1894,2.355578362767119e-05,1.1506610917422222e-06
1895,2.3037449864204973e-05,1.1706205214068177e-06
1896,2.3341619453276508e-05,1.1976866289842292e-06
1897,2.2322721633827314e-05,1.1740827403627918e-06
1898,2.3322607376030646e-05,1.281051595469762e-06
