year,grand_ADJ honneur_NOUN,grand_ADJ bonheur_NOUN
1800,1.2167917020633467e-06,8.457802209704823e-07
1801,1.676352553658944e-06,1.3644175851368345e-06
1802,1.3650824257638305e-06,1.2554282875498757e-06
1803,1.1624022135947598e-06,1.2521177268354222e-06
1804,1.2952499446328147e-06,1.2037913847962045e-06
1805,1.6602406276433612e-06,1.1343082633175072e-06
1806,1.6079713986982824e-06,1.5733913869553362e-06
1807,1.3836202015227173e-06,1.2355785656836815e-06
1808,1.4434891681958106e-06,1.0945137773887836e-06
1809,1.4457795032285503e-06,1.1091840406152187e-06
1810,1.518742237749393e-06,1.3642938938573934e-06
1811,1.6396281807828927e-06,9.72745738181402e-07
1812,1.554982418383588e-06,9.521933179712505e-07
1813,1.7053148440027144e-06,9.748764568939805e-07
1814,1.3656579085363774e-06,1.1296571074126405e-06
1815,1.3189422816139995e-06,8.712032126823033e-07
1816,1.752108573782607e-06,1.175025204247504e-06
1817,1.693878289188433e-06,1.2937617839270388e-06
1818,1.7869845123641426e-06,1.2755659781760187e-06
1819,2.375566054979572e-06,1.0030167914010235e-06
1820,2.8989813927182695e-06,1.3812583574690507e-06
1821,1.959477685886668e-06,1.414137386746006e-06
1822,2.216663688159315e-06,1.242173766513588e-06
1823,3.1575184493704e-06,1.185922428703634e-06
1824,2.7823357413581107e-06,1.2606406016857363e-06
1825,3.462300128376228e-06,1.0372812084824545e-06
1826,2.9321779493329814e-06,1.1670579169731354e-06
1827,1.877558474916441e-06,1.0553777656241436e-06
1828,1.6225800436586724e-06,1.0832487760126241e-06
1829,1.5928960692690453e-06,9.267603218177101e-07
1830,1.7356458101858152e-06,1.0749940884124953e-06
1831,1.5139061133595533e-06,1.0711158893172978e-06
1832,1.4801786392126814e-06,1.2068733212799998e-06
1833,1.8012542568612844e-06,1.3286421562952455e-06
1834,1.7539583723191754e-06,1.060402723851439e-06
1835,2.3294310267374385e-06,1.2819433550248505e-06
1836,3.248810571676586e-06,1.3347410003916593e-06
1837,2.6927039016300114e-06,1.3310445865499787e-06
1838,3.0538240025634877e-06,1.1368204013706418e-06
1839,2.199518121415167e-06,1.0689965392884915e-06
1840,2.359969585086219e-06,1.255465690519486e-06
1841,2.0385241441545077e-06,1.1120390581709216e-06
1842,2.4263795239676256e-06,1.1746171821869211e-06
1843,2.1530690901272465e-06,1.2150516113251797e-06
1844,2.1937778456049273e-06,1.2343774642431526e-06
1845,1.8883491748056258e-06,1.0407125046185683e-06
1846,2.0853733531112084e-06,1.121722448260698e-06
1847,1.8229095530841732e-06,8.461967695438943e-07
1848,2.315414803888416e-06,1.1601209735090379e-06
1849,1.7211318663612474e-06,9.62794729275629e-07
1850,2.260735755044152e-06,1.1215421409360715e-06
1851,2.140568767572404e-06,1.004177647700999e-06
1852,2.0807704004255356e-06,1.1347880217726924e-06
1853,2.6664674805942923e-06,1.3144222066330258e-06
1854,2.9215220820333343e-06,1.1757788342947606e-06
1855,2.734664803938358e-06,1.2795024986189674e-06
1856,2.6600398541631876e-06,1.2181926649645902e-06
1857,3.0133555810607504e-06,1.4361399962581345e-06
1858,2.914184051405755e-06,1.3271649095258908e-06
1859,3.0441012768278597e-06,1.510338620391849e-06
1860,2.778350562948617e-06,1.368577954963257e-06
1861,2.7295998279441847e-06,1.5289153907360742e-06
1862,2.8978363388887374e-06,1.5618678617101978e-06
1863,2.7565313303057337e-06,1.336061018264445e-06
1864,2.8797135200875346e-06,1.4216368526831502e-06
1865,2.9300106234586565e-06,1.3885190810469794e-06
1866,3.1135057270148536e-06,1.4212455425877124e-06
1867,3.140739636364742e-06,1.1481752153486013e-06
1868,2.984671937156236e-06,1.1900156096089631e-06
1869,2.8060701424692525e-06,1.2433439451342565e-06
1870,2.743169034147286e-06,1.0780012189570698e-06
1871,2.9378177259786753e-06,1.0939812682408956e-06
1872,3.053906311833998e-06,1.2354714726825478e-06
1873,3.0780036013311474e-06,9.158586635749089e-07
1874,3.2896198263188126e-06,1.2092608585589915e-06
1875,3.3568198887223843e-06,1.238710638062912e-06
1876,3.2884274787647882e-06,1.1046068948417087e-06
1877,2.9996358534845058e-06,1.0730656185842236e-06
1878,3.518976882332936e-06,9.306235710937472e-07
1879,3.1933443551679375e-06,1.3715434761252254e-06
1880,3.450234089541482e-06,1.0332732927054167e-06
1881,3.578988071240019e-06,8.79930439623422e-07
1882,3.5746072626352543e-06,1.0229326790067717e-06
1883,3.502809477140545e-06,9.643310932005988e-07
1884,3.6619612728827633e-06,1.0292045544701978e-06
1885,3.805503411058453e-06,9.610442930352292e-07
1886,3.7933459680061787e-06,8.96386154636275e-07
1887,3.5328012017998844e-06,8.99032897905272e-07
1888,3.734622168849455e-06,8.19207400581945e-07
1889,4.002795776614221e-06,8.201063792512286e-07
1890,3.935253516829107e-06,9.025389999806066e-07
1891,3.770988541873521e-06,8.159001936292043e-07
1892,3.7711370168835856e-06,8.826065140965511e-07
1893,3.7030558814876713e-06,9.668714255894884e-07
1894,3.826924967142986e-06,9.181342761621636e-07
1895,4.079417067259783e-06,1.0574705129329232e-06
1896,3.7322297430364415e-06,8.639147495159705e-07
1897,3.6376172829477582e-06,7.598034699185519e-07
1898,3.786571141972672e-06,8.86664224708511e-07
1899,3.454183797657606e-06,8.645132538731559e-07
1900,3.7193894968368113e-06,9.349086553811503e-07
1901,3.849523181997938e-06,8.863739822118077e-07
1902,3.3591252304177033e-06,6.766371143385186e-07
1903,3.5247237519797636e-06,8.769957844378951e-07
1904,3.475232688288088e-06,9.142237331616343e-07
1905,3.4246797895320924e-06,7.947568860799947e-07
1906,3.5016464607906528e-06,8.127811383928929e-07
1907,3.4482764021959156e-06,8.362263201888709e-07
1908,3.4404281450406415e-06,7.519336691075296e-07
1909,3.4705706184468e-06,8.713557804185257e-07
1910,3.5399655189394252e-06,8.737686130189104e-07
1911,3.509850785121671e-06,8.906306447897805e-07
1912,3.3428855203965213e-06,8.944576279645844e-07
1913,3.5116397612000583e-06,8.251452072727261e-07
1914,3.4079728266078746e-06,7.178909413596557e-07
1915,3.4128868264815537e-06,6.385172923728533e-07
1916,3.2577825095359003e-06,8.086772140813991e-07
1917,2.9071991320961388e-06,7.599732043672702e-07
1918,3.1047675292938948e-06,7.638440138180158e-07
1919,3.328637149024871e-06,7.835878932382911e-07
1920,3.156863385811448e-06,8.473327284264087e-07
1921,2.8458384804253e-06,8.155848831847834e-07
1922,2.984374987136107e-06,7.82798963427922e-07
1923,3.2187554097617976e-06,8.237975634983741e-07
1924,3.1030140235088766e-06,8.121723453768936e-07
1925,2.905718702095328e-06,8.468596774946491e-07
1926,2.9682166768907337e-06,8.092096663858683e-07
1927,2.9824177545378916e-06,1.040222628034826e-06
1928,2.8233748707862105e-06,8.523826977580029e-07
1929,2.668127308425028e-06,8.611534099145501e-07
1930,2.8380736694089137e-06,7.594105113639671e-07
1931,2.8433553325157845e-06,8.086398111117887e-07
1932,2.7453638722363394e-06,7.37576840492693e-07
1933,2.530427991587203e-06,6.400629786185164e-07
1934,2.5041501885425532e-06,7.021205874480074e-07
1935,2.4211838081100723e-06,7.827258059478481e-07
1936,2.2709589302394306e-06,6.983835874052602e-07
1937,2.357057383051142e-06,6.144465487523121e-07
1938,2.223534238510183e-06,7.545754669990856e-07
1939,2.1121084046171745e-06,6.928204925316095e-07
1940,1.797870140762825e-06,5.22371294664481e-07
1941,1.8122226492778282e-06,7.349241286647157e-07
1942,1.8721086689765798e-06,7.160739983191888e-07
1943,1.8174251863456448e-06,7.432282131958345e-07
1944,1.7801050944399321e-06,8.547075367459911e-07
1945,1.6665555904182838e-06,8.714015962141275e-07
1946,1.630161364118976e-06,7.851502914490993e-07
1947,1.723757918625779e-06,9.334041806141613e-07
1948,1.5829468793526758e-06,7.012367859715596e-07
1949,1.38517987124942e-06,7.16641579856514e-07
1950,1.4315196494862903e-06,7.040609375508211e-07
1951,1.4798025631534983e-06,7.111154900485417e-07
1952,1.4973621773606283e-06,7.149376983761613e-07
1953,1.4253773770178668e-06,5.957926418886927e-07
1954,1.4649031072622165e-06,6.958045446481265e-07
1955,1.4453836456596036e-06,6.119416298133729e-07
1956,1.195668460240995e-06,6.462365718107321e-07
1957,1.2748959079544875e-06,6.299381993812858e-07
1958,1.1920302540602279e-06,6.022193019816768e-07
1959,1.193615162264905e-06,6.851661282780697e-07
1960,1.2312162880334654e-06,7.875908636378881e-07
1961,1.2603960612977971e-06,7.594338171657e-07
1962,1.1707251132975216e-06,7.267881869665871e-07
1963,1.1645362292256323e-06,6.543646122736391e-07
1964,1.2040172805427574e-06,7.392021643681801e-07
1965,1.3335369430933497e-06,6.489843258350447e-07
