year,était_VERB au_ADP,était_VERB beau_ADV,etait_VERB au_ADP,etait_VERB beau_ADV
1800,4.50873176305322e-06,1.4463157071986643e-07,2.829747991484055e-08,0.0
1801,4.5456777115759905e-06,3.428903028179775e-07,4.048010393553625e-08,0.0
1802,3.43508463629405e-06,1.7455153056289419e-07,1.5664880947952042e-08,0.0
1803,3.7485519897018094e-06,1.0726865440346955e-07,3.900678446910888e-09,0.0
1804,5.729750682803569e-06,4.572924297008285e-07,1.4831105232815389e-08,0.0
1805,3.488210950308712e-06,1.250866148438945e-07,1.421438877713399e-08,0.0
1806,4.397426891955547e-06,1.873084869430386e-07,8.645007376628655e-09,0.0
1807,5.437684194475878e-06,3.387876574834081e-07,5.693910232196231e-09,0.0
1808,3.825132807833143e-06,6.390328621819208e-07,3.172503637571822e-08,0.0
1809,4.608422386809252e-06,5.1957702140725814e-08,2.9367397402779716e-08,0.0
1810,4.5492065510188695e-06,1.427477371862551e-07,1.1700633351097167e-08,0.0
1811,6.009463049849728e-06,9.777599530025327e-08,1.504245972228091e-08,0.0
1812,5.214391876506852e-06,1.2802598803318688e-07,1.8670456736202823e-08,0.0
1813,7.085827292030444e-06,4.083553051259514e-07,2.5881675469463516e-08,0.0
1814,6.538794877997134e-06,9.125363931161701e-08,6.293354282149721e-09,0.0
1815,5.890736247238237e-06,9.440282155992463e-08,8.091670444798638e-09,0.0
1816,5.991006219119299e-06,1.7613788827475219e-07,1.1588019432906549e-08,0.0
1817,6.95299650033121e-06,1.370048607896024e-07,7.784366928831332e-09,0.0
1818,6.197820312081603e-06,1.7047283051851991e-07,1.0729059418679299e-08,0.0
1819,6.498389211628819e-06,1.687221100610259e-07,2.7947834824182394e-08,1.035105001712111e-09
1820,7.587428171973443e-06,1.9579694310323248e-07,2.610625848831205e-08,0.0
1821,7.81128528615227e-06,2.554125444476085e-07,4.339054981983281e-08,0.0
1822,8.31324086902896e-06,2.897402850976505e-07,1.4035862250239006e-08,0.0
1823,8.248090125562157e-06,2.1050122711585573e-07,9.882686669016039e-09,9.882686891060644e-10
1824,8.189532309188507e-06,1.8273814816893719e-07,1.6842226280289196e-08,0.0
1825,8.396870725846384e-06,2.5888002141982724e-07,6.163809906922779e-09,1.7610886082763955e-09
1826,7.060480129439384e-06,1.418085417981274e-07,2.730475201495608e-08,0.0
1827,8.202451681427192e-06,2.838920067915751e-07,2.949527377893446e-08,0.0
1828,8.63113564264495e-06,2.549899704717973e-07,4.586150481600271e-08,0.0
1829,9.763990419742186e-06,4.286588080049114e-07,1.8860987438529264e-08,0.0
1830,8.853568033373449e-06,3.12061388285656e-07,2.191735437584441e-08,0.0
1831,8.567367331124842e-06,4.287581703010801e-07,1.7150326936388183e-08,1.5591206103948707e-09
1832,9.029901775647886e-06,5.493167805070698e-07,2.3000948701223933e-08,0.0
1833,9.439499081054237e-06,5.444305202217947e-07,1.6217079235048004e-08,0.0
1834,8.889273885870352e-06,4.536582025593816e-07,1.4935249259551142e-08,3.733812370398937e-09
1835,9.27990913623944e-06,4.507600408487633e-07,2.0420337421001022e-08,1.5126175867408165e-09
1836,8.851900020090397e-06,3.9585216882187524e-07,1.747394939854985e-08,0.0
1837,8.809385690256022e-06,3.4719874975053244e-07,1.0436836284100082e-08,0.0
1838,9.038384632731322e-06,3.2570756047789473e-07,1.7674053109928423e-08,6.312161904276081e-10
1839,8.533095751772635e-06,3.642558681349328e-07,1.1885507689157748e-08,6.9914751765765e-10
1840,9.750082426762674e-06,4.809114670933923e-07,2.4841785517537573e-08,0.0
1841,9.039490578288678e-06,3.2231153568318405e-07,2.1829864582656455e-08,6.420548537278137e-10
1842,9.401633178640623e-06,3.910918451310863e-07,2.4820581145945653e-08,0.0
1843,9.16161934583215e-06,3.4673567483878287e-07,1.7720733325177207e-08,1.7720733769266417e-09
1844,9.573148417985067e-06,3.5510990414877597e-07,1.0977122322231025e-08,0.0
1845,9.847428373177536e-06,4.257713897004578e-07,8.928364714222425e-09,5.580227946389016e-10
1846,9.300460988015402e-06,3.8756797948735766e-07,1.5221703009160592e-08,5.854501328173001e-10
1847,8.939267900132108e-06,3.489415689728048e-07,1.941560512364049e-08,0.0
1848,8.465986866212916e-06,3.0652293503408146e-07,1.367687652020777e-08,8.045221711050488e-10
1849,9.397514077136293e-06,2.538962746712059e-07,1.256912263158938e-08,0.0
1850,8.770025488047395e-06,3.238351098389103e-07,8.146795238417326e-09,0.0
1851,9.332982699561398e-06,3.1795732979844615e-07,1.3543821175687754e-08,6.449438760824933e-10
1852,8.892103323887568e-06,4.24487552663777e-07,1.8229526776991634e-08,6.510545436100301e-10
1853,9.129292266152333e-06,3.3263660270677065e-07,8.957897534855874e-09,0.0
1854,8.465815881208982e-06,3.1277900802706426e-07,1.9223959313308114e-08,0.0
1855,9.105642675422132e-06,3.433588346979377e-07,1.3798036491152743e-08,0.0
1856,8.661955689603928e-06,3.6758044075213547e-07,6.730345780692204e-09,0.0
1857,9.225564099324401e-06,4.564211053548206e-07,6.345961645060072e-09,0.0
1858,9.205494279740378e-06,4.2036677427859104e-07,1.2723557762939208e-08,0.0
1859,9.632354704081081e-06,3.7071021097290213e-07,7.638260024478427e-09,5.092173349652285e-10
1860,9.672046871855855e-06,4.243049431806867e-07,1.0985241494232412e-08,0.0
1861,8.904211426852271e-06,4.2490833607189415e-07,1.2261505866195677e-08,4.715963730639317e-10
1862,9.412320650881156e-06,3.8402882296395546e-07,1.490935552794781e-08,4.517986262886353e-10
1863,9.279506230086554e-06,3.406331359201431e-07,1.6981711148389422e-08,0.0
1864,8.924426765588578e-06,4.334434038355539e-07,1.2945765348604255e-08,0.0
1865,8.976422577688936e-06,4.132609205953486e-07,5.648213063924601e-09,0.0
1866,9.757500265550334e-06,4.286604848857678e-07,5.352174259343201e-09,0.0
