year,est_VERB aux_ADP,est_VERB beau_ADV
1800,3.0466953830909915e-06,1.9305171008454636e-06
1801,3.155066906401771e-06,2.076391183436499e-06
1802,2.7637324819806963e-06,1.4590717682949617e-06
1803,2.7967864753009053e-06,1.6168312413356034e-06
1804,3.5396906241658144e-06,1.9873682504112367e-06
1805,3.104422376054572e-06,1.91041385733115e-06
1806,3.0660960419481853e-06,1.5820363614693633e-06
1807,2.8184856546431547e-06,1.6028357094910461e-06
1808,3.1498427688347874e-06,1.980548631763668e-06
1809,2.713095682338462e-06,1.9021036905542132e-06
1810,2.557758534749155e-06,1.95868619812245e-06
1811,2.7477560706756776e-06,1.4892035551383742e-06
1812,2.7152179882250493e-06,1.4029515114089008e-06
1813,2.4961436793091707e-06,1.4436222954827826e-06
1814,2.608595423225779e-06,1.6236854207818396e-06
1815,2.23599840865063e-06,1.1409255193939316e-06
1816,2.0047273210366257e-06,1.1866131899296306e-06
1817,2.522134991522762e-06,1.2968755527253961e-06
1818,2.416422603346291e-06,1.9002357021236094e-06
1819,2.8020292575092753e-06,1.457427856621507e-06
1820,2.5311203444289276e-06,1.5058564031278365e-06
1821,2.824330294970423e-06,2.0403419966896763e-06
1822,2.9515413189074025e-06,1.3935606375525822e-06
1823,2.432129349472234e-06,1.4221186575014144e-06
1824,2.4892808596632676e-06,1.3473779745254433e-06
1825,2.9850452847313136e-06,1.4211984762368957e-06
1826,2.379917305006529e-06,1.1494419140944956e-06
1827,2.5089416340051685e-06,1.2461753158277133e-06
1828,2.3398540633934317e-06,1.1502065717650112e-06
1829,2.7897115160158137e-06,1.4608691571993404e-06
1830,2.490229007889866e-06,1.3599196790892165e-06
1831,2.7237836093263468e-06,1.5980986063368618e-06
1832,3.0050061923247995e-06,1.6249492773567908e-06
1833,2.8611561901925597e-06,1.7502862874607672e-06
1834,2.9357099720073165e-06,1.5000591702118982e-06
1835,2.8732169994327705e-06,1.4006839137437055e-06
1836,2.7185433282284066e-06,1.4489937711914536e-06
1837,2.620341774672852e-06,1.398536028318631e-06
1838,2.687718506422243e-06,1.2517017466961988e-06
1839,2.4672915515111526e-06,1.178063598672452e-06
1840,2.791834504023427e-06,1.2994164535484742e-06
1841,2.6683799205784453e-06,1.3682189319297322e-06
1842,2.6189065920334542e-06,1.3980023823023657e-06
1843,2.7248581773164915e-06,1.564740728099423e-06
1844,2.6756736133393133e-06,1.3117661410433357e-06
1845,2.58308750744618e-06,1.4971751625125762e-06
1846,2.676092663023155e-06,1.3629279465021682e-06
1847,2.7311284611641895e-06,1.1029142115148716e-06
1848,2.950182761196629e-06,1.0708190529840067e-06
1849,2.84900102087704e-06,1.0583200946712168e-06
1850,2.792314035104937e-06,1.0088448334499844e-06
1851,2.8138902052887715e-06,1.177022568299435e-06
1852,3.117249207207351e-06,1.2383056855469476e-06
1853,2.968647322632023e-06,1.2176768677818472e-06
1854,2.8612523692572722e-06,1.3368444342631847e-06
1855,3.027076900252723e-06,1.4042155953575275e-06
1856,2.917863866969128e-06,1.5319302519856137e-06
1857,2.9733271276199957e-06,1.4151495406622416e-06
1858,3.0389728635782376e-06,1.4269959365265095e-06
1859,3.2498251130164135e-06,1.5383456002382445e-06
1860,3.0905146104487358e-06,1.5072666883497732e-06
1861,3.6124281450611306e-06,1.7222699852936785e-06
1862,3.3306594104942633e-06,1.5609642787239864e-06
1863,3.3404023724870058e-06,1.5033808722364483e-06
1864,3.3481585433037253e-06,1.4034168316356954e-06
1865,3.2392501907452242e-06,1.5236055332934484e-06
1866,3.2044927138485946e-06,1.3497210602508858e-06
1867,3.4454960768925957e-06,1.441285007786064e-06
1868,3.233641564293066e-06,1.3540194458983024e-06
1869,3.1117783692025114e-06,1.5241463415804901e-06
1870,2.99661382996419e-06,1.296468440159515e-06
1871,3.1959123134583933e-06,1.106726699617866e-06
1872,3.2867289974092273e-06,1.3606513675767928e-06
1873,3.126490128124715e-06,1.0876569831452798e-06
1874,3.011800572494394e-06,1.098133111554489e-06
1875,3.2355235362047097e-06,1.5356579297076678e-06
1876,3.3186574910359923e-06,1.981883542612195e-06
1877,3.3002177133312216e-06,1.3161288734409027e-06
1878,3.1264362405636348e-06,1.1413877700761077e-06
1879,3.2330549402104225e-06,1.2365273960313061e-06
1880,3.209564965800382e-06,1.439522861801379e-06
1881,3.2150232982530724e-06,1.294097387471993e-06
1882,3.426857801969163e-06,1.3117763728587306e-06
1883,3.648154461188824e-06,1.2891451888208394e-06
1884,3.0618671189586166e-06,1.2615843161256635e-06
1885,3.2408656807092484e-06,1.1692383168337983e-06
1886,3.388068535059574e-06,1.0706296507123625e-06
1887,3.2651153105689446e-06,1.0975122677336913e-06
1888,3.2514672057004645e-06,1.2237386499691638e-06
1889,3.5786461012321524e-06,1.221701609210868e-06
1890,3.429910520935664e-06,1.0428028645037557e-06
1891,3.3400913252989994e-06,1.1001903885698994e-06
1892,3.2213883969234303e-06,9.684852102509467e-07
1893,3.3877449823194183e-06,9.779565743883722e-07
1894,3.5943980947195087e-06,1.175867282654508e-06
1895,3.545565732565592e-06,1.0057104873339995e-06
1896,3.22744404002151e-06,1.0201860050074174e-06
1897,2.975702500407351e-06,1.0231708529317984e-06
1898,3.221301540179411e-06,1.084140762941388e-06
1899,3.184990646332153e-06,1.0646116379575687e-06
1900,3.207551799278008e-06,1.068837832463032e-06
1901,3.1805514026927995e-06,9.813825272431131e-07
1902,2.986925665027229e-06,8.848331276567478e-07
1903,3.3616370274103247e-06,9.223576284966839e-07
1904,3.131794073851779e-06,1.0383776043454418e-06
1905,3.177995495207142e-06,9.640298230806366e-07
1906,2.9393870590865845e-06,9.851113418335444e-07
1907,3.257991238569957e-06,9.853688425209839e-07
1908,3.281790213804925e-06,1.0426879271108191e-06
1909,3.1944211968948366e-06,1.0891947113123024e-06
1910,3.1097613373276545e-06,1.2516001106632757e-06
1911,2.9788775464112405e-06,1.1380279829609208e-06
1912,3.142843752357294e-06,1.089289980882313e-06
1913,3.0874005005898653e-06,1.1523396779011819e-06
1914,3.2767165976110846e-06,1.1056323501179577e-06
1915,3.5907762594433734e-06,9.683786856840015e-07
1916,3.45116177413729e-06,1.0416114264444332e-06
1917,3.7790298392792465e-06,1.0955458265016205e-06
1918,3.8088824112492148e-06,1.104989451050642e-06
1919,3.213539002899779e-06,9.935267826222116e-07
1920,3.3090652777900686e-06,1.191869273498014e-06
1921,3.2161458420887357e-06,1.1222812190680997e-06
1922,3.274327809776878e-06,1.289663146053499e-06
1923,3.14019735014881e-06,1.3439790791380801e-06
1924,3.385340505701606e-06,1.0790289479700732e-06
1925,3.1245822356140707e-06,1.2691897381955641e-06
1926,3.060729568460374e-06,1.3308489315022598e-06
1927,3.1139784368861e-06,1.3356770978134591e-06
1928,2.7239682367508067e-06,1.1391763337087468e-06
1929,3.133796326437732e-06,1.2065059991073213e-06
1930,3.0040305318834726e-06,1.1081301636295393e-06
1931,3.0714625154359965e-06,1.007093032967532e-06
