year,fallait_VERB ôter_VERB,fallait_VERB oter_VERB
1800,0.0,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,4.449331569844617e-08,0.0
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,2.2660739062985158e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,1.504245972228091e-08,0.0
1812,2.400487453257938e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,9.125363931161701e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,5.7604317760251433e-08,1.556873407970727e-09
1818,2.1458118837358597e-08,0.0
1819,3.2088255608186955e-08,2.070210003424222e-09
1820,3.20394981656591e-08,0.0
1821,6.114122896860863e-08,9.86148829262845e-10
1822,5.413832582235045e-08,1.0025615893027862e-09
1823,6.522573414713406e-08,0.0
1824,7.579001248814166e-08,0.0
1825,2.3774695989686734e-08,0.0
1826,3.2589543508265706e-08,0.0
1827,2.6730091917670507e-08,1.8434546111834038e-09
1828,4.586150570418113e-09,0.0
1829,4.372319750700626e-08,0.0
1830,2.817945699007396e-08,0.0
1831,3.274153215215847e-08,0.0
1832,7.441482807735156e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,3.080395316601425e-08,0.0
1835,2.3445572594482655e-08,0.0
1836,1.008112526790228e-08,0.0
1837,2.922314124020886e-08,0.0
1838,2.5248647617104325e-08,0.0
1839,2.7965899818127582e-08,0.0
1840,2.8663599493938818e-08,0.0
1841,3.467096121312352e-08,2.5682194149112547e-09
1842,3.6224630406422875e-08,1.341653010911159e-09
1843,3.4260082770742883e-08,0.0
1844,2.4698525891153622e-08,0.0
1845,3.124927516751086e-08,0.0
1846,3.102885770545072e-08,1.1709002656346001e-09
1847,2.1572894581822766e-08,0.0
1848,1.769948809737798e-08,5.63165514222419e-09
1849,3.267971848686102e-08,8.379414939696517e-10
1850,2.7155984128057753e-08,1.3577992064028876e-09
1851,3.0957306051959677e-08,6.449438760824933e-10
1852,2.9948509450150596e-08,0.0
1853,1.970737528722566e-08,0.0
1854,3.065441944727354e-08,5.195664454227256e-10
1855,1.326734277995456e-08,0.0
1856,4.245295315286057e-08,0.0
1857,2.0990489346672803e-08,0.0
1858,2.300027723833864e-08,0.0
1859,1.884104072757964e-08,0.0
1860,1.785101666484934e-08,9.154367819341758e-10
1861,2.782418562219391e-08,0.0
1862,2.710791768834042e-08,4.517986262886353e-10
1863,1.1987090431375691e-08,4.994620828036034e-10
1864,2.4932585773740357e-08,0.0
1865,4.000817810378976e-08,0.0
1866,1.897589108068587e-08,4.865612912574591e-10
1867,1.3102591012170706e-08,4.85281148598915e-10
1868,2.0253484223076157e-08,0.0
1869,3.076617005604021e-08,0.0
1870,3.4404294524392753e-08,0.0
1871,8.496941816815706e-09,0.0
1872,2.116568786902917e-08,6.047339295989218e-10
1873,1.4366410283628284e-08,0.0
1874,2.0313670745508716e-08,0.0
1875,1.4875970677508121e-08,0.0
1876,1.5115036333668286e-08,0.0
1877,2.535774612510977e-08,6.184815992682502e-10
1878,6.6429977074733415e-09,0.0
1879,1.7717043832021773e-08,0.0
1880,5.776061406947974e-09,0.0
1881,7.669758161910067e-09,6.972507571312292e-10
1882,9.983077475794744e-09,6.655385131892899e-10
1883,4.423537092179686e-09,0.0
1884,1.7164412113856997e-08,0.0
1885,2.2559724754955823e-08,1.2891271383708158e-09
1886,1.8069698626277386e-08,0.0
1887,1.7628096316002484e-08,6.528924623161458e-10
1888,1.9655905347804037e-08,0.0
1889,1.4409814674820609e-08,6.265136742733546e-10
1890,2.2940351840361473e-08,0.0
1891,1.1473596295275001e-08,0.0
1892,1.4417578242387208e-08,0.0
1893,1.4780200174868696e-08,0.0
1894,1.827446460822557e-08,0.0
1895,4.213029924926559e-09,0.0
1896,2.181900704556483e-08,0.0
1897,4.661370844871726e-09,0.0
1898,1.9804241802034994e-08,0.0
1899,1.4371703827009696e-08,0.0
1900,9.863001082521805e-09,5.191053142894475e-10
1901,4.470991132876634e-09,0.0
1902,2.9461704187383475e-09,0.0
1903,1.5660639007819555e-08,0.0
1904,3.7622376325430196e-09,0.0
1905,5.676835002077496e-09,5.160759042333041e-10
1906,8.230695236477459e-09,0.0
1907,1.3885677496716653e-08,1.5428529565042481e-09
1908,1.4734167663732478e-08,0.0
1909,1.4852655993990993e-08,0.0
1910,9.619471441624228e-09,0.0
1911,1.0108711201439746e-08,0.0
1912,1.719108944087111e-08,0.0
1913,6.363587878865928e-09,0.0
1914,1.2054139020278853e-08,0.0
1915,2.0027295377644805e-08,0.0
1916,1.7579939282086343e-08,0.0
1917,9.869782324756216e-09,0.0
1918,0.0,0.0
1919,4.603924352863942e-09,0.0
1920,8.329454459499175e-09,0.0
1921,5.300923255902035e-09,0.0
1922,9.591316185719734e-09,0.0
1923,6.369568872344189e-09,0.0
