year,tout_ADV eu_VERB,tout_ADV bu_VERB
1800,2.829748035892976e-08,0.0
1801,7.381665767525192e-08,0.0
1802,6.265952379180817e-08,0.0
1803,3.90067853572873e-08,1.950339223455444e-09
1804,4.9437020477327565e-08,0.0
1805,8.24434520652062e-08,0.0
1806,7.204172813857213e-08,8.645007376628655e-09
1807,9.394952016350544e-08,0.0
1808,8.837688403318111e-08,0.0
1809,9.262025146838937e-08,0.0
1810,8.658469141664682e-08,0.0
1811,7.521230349638586e-08,0.0
1812,7.468183138570339e-08,0.0
1813,1.5241430517676235e-07,0.0
1814,9.440031245588898e-08,0.0
1815,9.170560044680087e-08,0.0
1816,8.111613780670268e-08,1.3905623319487859e-08
1817,1.1987925141454525e-07,1.556873407970727e-09
1818,9.65615352122029e-08,3.5763532135746345e-09
1819,1.0247539350416446e-07,1.035105001712111e-09
1820,1.079849791807419e-07,0.0
1821,9.17118416765561e-08,9.86148829262845e-10
1822,9.524335098376469e-08,0.0
1823,8.696764552951208e-08,0.0
1824,1.1284290923896378e-07,0.0
1825,1.0038205200402217e-07,4.4027217427355936e-09
1826,9.336463513420767e-08,8.807984341885344e-10
1827,1.0231173064312316e-07,9.217273055917019e-10
1828,9.630916242286958e-08,9.172301140836225e-09
1829,9.773420917014164e-08,8.57317605795771e-10
1830,1.0541203909752994e-07,8.349468672008697e-09
1831,1.3252525299378703e-07,0.0
1832,1.244757150686837e-07,1.3529969367098715e-09
1833,1.0656937909914177e-07,8.108539617524002e-09
1834,1.092140120562135e-07,7.467624740797874e-09
1835,1.3916081087472776e-07,2.2689263801112247e-09
1836,1.1694104973258845e-07,3.36037508930076e-09
1837,1.1897993701381893e-07,6.957890930081589e-10
1838,1.2056229614643144e-07,0.0
1839,1.0557127616550588e-07,6.9914751765765e-10
1840,1.1146955358753985e-07,4.458782232319436e-09
1841,1.1364370866573381e-07,3.852329122366882e-09
1842,1.495943084961482e-07,1.341653010911159e-09
1843,1.4885416543819474e-07,0.0
1844,1.5367972050484013e-07,4.9397050894128824e-09
1845,1.5289823895869858e-07,5.580227946389016e-10
1846,1.586569808864624e-07,1.7563503984519002e-09
1847,1.5586416779456158e-07,2.6966118227278457e-09
1848,1.198738033281188e-07,3.218088684420195e-09
1849,1.2904298873905873e-07,4.1897072478036534e-09
1850,1.5614690607179682e-07,1.0862393651223101e-08
1851,1.896134946832717e-07,6.449438760824933e-09
1852,1.5690415011704317e-07,3.2552727180501506e-09
1853,1.8453268779694554e-07,1.7915795513800958e-09
1854,1.8600479201325015e-07,8.313063126763609e-09
1855,2.250141406534567e-07,2.1227748447927297e-09
1856,2.0708756842680032e-07,1.5531567143511893e-09
1857,2.0355893148860105e-07,3.4170564155999728e-09
1858,1.575763679539932e-07,1.468102750479261e-09
1859,1.751707632280386e-07,5.092173349652285e-10
1860,1.6157458482268794e-07,1.373155145145688e-09
1861,1.9476930468442788e-07,7.073945429425521e-09
1862,1.6671369174048323e-07,1.3553959066214816e-09
1863,2.002842993675813e-07,4.994620717013731e-09
1864,1.7117178341408135e-07,6.233146443435089e-09
1865,1.8921514310932253e-07,1.882737743486018e-09
1866,2.1797945670698482e-07,2.919367858567057e-09
1867,2.149795506056762e-07,2.91168689159349e-09
1868,1.60051925490734e-07,4.44588676984381e-09
1869,1.49435682494925e-07,3.906815315701806e-09
1870,1.3876398696766046e-07,5.734048791339319e-09
1871,1.5825554111614792e-07,1.0621177271019633e-09
1872,1.2638938784448328e-07,3.628403577593531e-09
1873,1.4605850395810194e-07,1.1972008939764578e-09
1874,1.6728905194440813e-07,1.1949218281515073e-09
1875,1.447546420507706e-07,2.2886108008712824e-09
1876,1.5961479427062386e-07,6.04601479992084e-09
1877,1.3853987823608804e-07,4.329371083855449e-09
1878,1.50977216506476e-07,2.4156354694326865e-09
1879,1.3623795247497128e-07,3.665595160740054e-09
1880,1.5723723478799911e-07,6.417846254436199e-10
1881,1.9174395227139485e-07,4.8807553554297556e-09
1882,1.7902985760542833e-07,0.0
1883,1.819969668304111e-07,1.2638677882037541e-09
1884,1.6636276622961077e-07,8.582206056928499e-09
1885,2.1270598349332204e-07,4.511945039809007e-09
1886,1.8456906758501646e-07,4.517424601058195e-09
1887,2.441817752441011e-07,1.9586773869484375e-09
1888,1.864140664054048e-07,4.4384300679212174e-09
1889,1.6602611996319183e-07,6.265136742733546e-10
1890,1.8548914226812485e-07,6.554386366985909e-09
