year,tout_ADV aux_ADP,tout_ADV beaux_ADJ
1800,2.829747991484055e-08,1.2576657937302116e-08
1801,5.476719877606229e-08,2.3811825844433088e-09
1802,1.5664880947952042e-08,0.0
1803,1.1702034896643454e-08,1.1702034896643454e-08
1804,5.438072037122765e-08,1.4831105232815389e-08
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,1.7081731584767113e-08,0.0
1808,5.6651849877908944e-08,2.4926814390369145e-08
1809,1.129515236897305e-08,0.0
1810,1.4040760554223652e-08,2.574139479349924e-08
1811,1.2535384286138651e-08,2.2563691359778204e-08
1812,2.9339290108509886e-08,0.0
1813,8.627225156487839e-09,5.751483289628823e-09
1814,1.5733386149463513e-08,2.8320092937406116e-08
1815,2.1577788444915313e-08,1.0788894222457657e-08
1816,1.3905623319487859e-08,0.0
1817,2.3353100786493997e-08,3.113746771532533e-08
1818,1.668964877410417e-08,3.5763532135746345e-09
1819,1.9666995143552413e-08,7.24573512300708e-09
1820,4.034603762193001e-08,1.1866481131050932e-09
1821,2.070912508145284e-08,6.903041693817613e-09
1822,1.7043547018147365e-08,1.7043547018147365e-08
1823,1.581229902569703e-08,1.9765373338032077e-08
1824,1.6842225392110777e-08,3.2842340402794434e-08
1825,2.993850500843109e-08,3.522177216552791e-09
1826,1.5854372037438225e-08,2.3781558056157337e-08
1827,1.2904182611350734e-08,3.6869092223668076e-09
1828,1.4675682002973645e-08,0.0
1829,3.086343269842473e-08,3.429270423183084e-09
1830,9.39315203396518e-09,5.218417697960831e-09
1831,2.182768810143898e-08,9.354723218280014e-09
1832,2.1647950987357945e-08,6.764984572527055e-09
1833,2.20088942626262e-08,8.108539617524002e-09
1834,2.5203233278148218e-08,5.600718555598405e-09
1835,2.4201881387853064e-08,1.5126175867408165e-08
1836,4.9061473994527205e-08,4.032449929525228e-09
1837,3.6876823372722356e-08,1.7394727436226276e-08
1838,1.8305270410579055e-08,8.2058102535143e-09
1839,9.788065469251706e-09,6.9914749545318955e-09
1840,2.356784811752277e-08,5.732719632334238e-09
1841,1.4125206782011901e-08,1.6693426641012366e-08
1842,1.9453969102301016e-08,2.0124795163667386e-09
1843,2.0674189471492355e-08,4.7255288571079745e-09
1844,1.0977122377742177e-08,1.0428266306039546e-08
1845,2.2320911341466854e-08,6.138250796539069e-09
1846,1.4050803187615202e-08,6.439951683034906e-09
1847,1.6718992412734224e-08,5.393223645455691e-10
1848,1.287235473768078e-08,2.413566457803995e-09
1849,1.6758829879393033e-08,8.379414939696517e-10
1850,1.0183494048021657e-08,2.7155984128057753e-09
1851,1.0319102461409102e-08,7.094382858952031e-09
1852,1.6276363368206148e-08,8.463708844885787e-09
1853,1.791579506971175e-08,1.851298847554972e-08
1854,1.92239586471743e-08,9.871762074453727e-09
1855,1.1675261646360013e-08,5.837630823180007e-09
