year,petit_ADJ oeuf_NOUN,petit_ADJ boeuf_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,9.524730337773235e-09,0.0
1802,2.6854081625060644e-08,0.0
1803,1.3457341196954076e-07,5.851017448321727e-09
1804,4.449331569844617e-08,2.4718509461507665e-09
1805,1.7057265822018053e-08,1.1371510844071508e-08
1806,8.645007376628655e-09,0.0
1807,2.2775640928784924e-08,2.8469551160981155e-09
1808,6.798221985349073e-09,0.0
1809,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,2.400487453257938e-08
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,1.5497530370112145e-08,2.384235386898581e-08
1819,1.449147024601416e-08,0.0
1820,8.306536791735653e-09,0.0
1821,3.94459531705138e-09,1.97229765852569e-09
1822,1.0025615893027862e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,4.210556348027694e-09,0.0
1825,3.522177216552791e-09,1.7610886082763955e-09
1826,5.284790383086602e-09,8.807984341885344e-10
1827,9.217273166939322e-09,6.452091305675367e-09
1828,8.255071293206129e-09,0.0
1829,9.430493719264632e-09,0.0
1830,1.3567886369969528e-08,0.0
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,6.764984572527055e-09,0.0
1833,1.50587169400751e-08,1.1583628500844156e-09
1834,7.467624740797874e-09,1.8669061851994684e-09
1835,1.8151411040889798e-08,1.5126175867408165e-09
1836,8.736974865808378e-09,0.0
1837,1.2524203896191466e-08,0.0
1838,5.680945491803868e-09,0.0
1839,1.1885507689157748e-08,0.0
1840,1.0191501864653674e-08,6.369688665408546e-10
1841,8.988767952189392e-09,6.420548537278137e-10
1842,2.683306021822318e-09,6.708265054555795e-10
1843,7.088293507706567e-09,0.0
1844,3.2931368743049916e-09,0.0
1845,3.348136878855712e-09,1.1160455892778032e-09
1846,2.9272506640865004e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,3.218088684420195e-09,0.0
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,6.788996032014438e-10,1.3577992064028876e-09
1851,5.159551008659946e-09,6.449438760824933e-10
1852,2.6042181744401205e-09,6.510545436100301e-10
1853,2.9859659189668264e-09,4.777545470346922e-09
1854,2.0782657816909023e-09,5.195664454227256e-10
1855,5.837630823180007e-09,5.306937111981824e-10
1856,4.141751386299575e-09,0.0
1857,1.4644527812635033e-09,4.881509085841174e-10
1858,2.936205500958522e-09,4.893676019968041e-10
1859,2.5460866748261424e-09,0.0
1860,1.8308735638683515e-09,0.0
1861,3.772770984511453e-09,0.0
1862,4.066187830886747e-09,0.0
1863,1.9978483312144135e-09,2.4973103585068657e-09
1864,4.315255264231155e-09,0.0
1865,3.765475486972036e-09,0.0
1866,3.8924903300596725e-09,1.9462451650298362e-09
1867,1.94112459439566e-09,4.85281148598915e-10
1868,2.9639244392143382e-09,0.0
1869,4.395167341186834e-09,4.883519144627257e-10
1870,1.7202146374017957e-09,4.587239033071455e-09
1871,2.1242354542039266e-09,2.1242354542039266e-09
1872,1.8142017887967654e-09,0.0
1873,4.190203295451056e-09,0.0
1874,2.3898436563030145e-09,0.0
1875,4.005069165202713e-09,3.432916173551348e-09
1876,4.836811617892067e-09,6.04601479992084e-09
1877,1.2369631985365004e-09,4.9478527941460015e-09
1878,4.22736201599605e-09,1.8117265465633636e-09
1879,3.0546627449723474e-09,6.10932526790009e-10
1880,4.492492600149944e-09,6.417846254436199e-10
1881,6.2752567586699115e-09,0.0
