year,doit_VERB ôter_VERB,doit_VERB oter_VERB
1800,8.174827570428533e-08,0.0
1801,8.096020565062645e-08,0.0
1802,9.84649659585557e-08,0.0
1803,6.241085515057421e-08,0.0
1804,1.0134588990240445e-07,0.0
1805,7.960057502032214e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,3.701041606518629e-08,0.0
1808,9.290903335568146e-08,0.0
1809,4.969867006821005e-08,0.0
1810,6.31834211617388e-08,0.0
1811,7.771937760026049e-08,0.0
1812,5.3344166417446104e-08,2.6672082320544632e-09
1813,5.7514832008109806e-08,0.0
1814,5.97868634599763e-08,0.0
1815,5.664169577812572e-08,0.0
1816,6.025770460382773e-08,0.0
1817,4.3592454090912724e-08,0.0
1818,7.391130196765516e-08,0.0
1819,5.900098543065724e-08,1.035105001712111e-09
1820,7.95054262425765e-08,2.3732962262101864e-09
1821,7.001656854299654e-08,0.0
1822,7.017931125119503e-08,1.0025615893027862e-09
1823,7.412015179397713e-08,0.0
1824,4.126345132249298e-08,0.0
1825,4.57883047033647e-08,0.0
1826,3.699353356978463e-08,7.927186018719112e-09
1827,9.770309361556428e-08,9.217273055917019e-10
1828,7.33784091266898e-08,9.172301251858528e-10
1829,4.200856196234781e-08,0.0
1830,5.114049628218709e-08,0.0
1831,6.392394169552063e-08,0.0
1832,7.035583848846727e-08,0.0
1833,2.3167256557599103e-08,0.0
1834,2.8937046536725575e-08,0.0
1835,7.184933537018878e-08,7.563087933704082e-10
1836,5.040562456315456e-08,6.720750067579218e-10
1837,7.166627824517491e-08,6.957890930081589e-10
1838,6.56464820281144e-08,6.312161904276081e-10
1839,3.076248944466897e-08,6.9914751765765e-10
1840,7.834717052901397e-08,6.369688665408546e-10
1841,6.420548714913821e-08,6.420548537278137e-10
1842,4.22620693996123e-08,0.0
1843,4.1939067330076796e-08,3.5441467538532834e-09
1844,5.1592476069117765e-08,0.0
1845,6.249855033502172e-08,1.674068439427856e-09
1846,4.2152407786488766e-08,5.854501328173001e-10
1847,5.770749211819748e-08,4.314578916364553e-09
1848,3.459445352405055e-08,5.63165514222419e-09
1849,3.351765798242923e-08,8.379414939696517e-10
1850,4.480737203493845e-08,1.3577992064028876e-09
1851,3.1602251482354404e-08,0.0
1852,4.231854688896419e-08,6.510545436100301e-10
1853,3.881755716861335e-08,0.0
1854,4.2084881357595805e-08,0.0
1855,3.555647865027822e-08,0.0
1856,6.316170697573398e-08,5.177189232874468e-10
1857,3.612316845647001e-08,0.0
1858,2.8872689128434104e-08,4.893676019968041e-10
1859,2.800695320104296e-08,5.092173349652285e-10
1860,2.288591893773173e-08,4.577183909670879e-10
1861,3.0182167876091626e-08,4.715963730639317e-10
1862,5.0601446588416366e-08,1.3553959066214816e-09
1863,2.7969877081091e-08,4.994620828036034e-10
1864,3.404256787575832e-08,0.0
1865,2.3063536858103362e-08,0.0
1866,3.065336073859726e-08,1.4596839292835284e-09
1867,3.542552207136396e-08,0.0
1868,2.5193358510477992e-08,9.87974813071446e-10
1869,3.613804011592947e-08,1.4650557433881772e-09
1870,2.5803219116937726e-08,0.0
1871,1.0621176826930423e-08,0.0
1872,1.8746751706544273e-08,0.0
1873,2.21482157058972e-08,0.0
1874,4.480956761199195e-08,0.0
1875,1.0870901512305409e-08,0.0
1876,2.5997863417615008e-08,6.04601479992084e-10
