year,est_VERB avare_ADJ,est_VERB bavard_ADJ
1800,2.2952400513531757e-07,0.0
1801,1.857322473597378e-07,0.0
1802,1.9469209178168967e-07,6.713520406265161e-09
1803,2.3599105247740226e-07,0.0
1804,2.2246658204494452e-07,0.0
1805,1.3077237781544682e-07,0.0
1806,9.797675204481493e-08,1.4408345627714425e-08
1807,1.7651122163897526e-07,2.8469551160981155e-09
1808,1.9714843801921234e-07,0.0
1809,1.6942729530455836e-07,0.0
1810,2.1997190913225495e-07,0.0
1811,1.8301660986708157e-07,0.0
1812,1.3869482984318893e-07,2.1337665856435706e-08
1813,2.1280487771946355e-07,0.0
1814,2.3600078691288218e-07,0.0
1815,1.6722786710943183e-07,0.0
1816,1.367386346373678e-07,1.1588019432906549e-08
1817,2.241897760768552e-07,4.670620334934483e-09
1818,1.6928072454902576e-07,2.384235475716423e-09
1819,1.666519011678247e-07,1.1386155129855524e-08
1820,2.1122336590906343e-07,3.5599443393152796e-09
1821,1.7257605122722453e-07,2.5639868894700157e-08
1822,1.9349438673543773e-07,1.0025615893027862e-08
1823,1.4033415141057048e-07,2.9648061783404955e-09
1824,1.9705403531133925e-07,2.5263338088166165e-09
1825,1.7170613375583343e-07,6.163809906922779e-09
1826,1.7439809596453415e-07,2.642395191543301e-09
1827,1.4010255711127684e-07,9.217273055917019e-10
1828,1.201571393494305e-07,5.503380862137419e-09
1829,1.423147182322282e-07,5.143905745796928e-09
1830,1.2628571255390852e-07,6.262101504006523e-09
1831,2.0268568334813608e-07,6.236482441579483e-09
1832,2.1242051673198148e-07,2.705993873419743e-09
1833,1.169946486356821e-07,1.50587169400751e-08
1834,1.5308630452182115e-07,1.8669061851994684e-09
1835,1.754636400619347e-07,0.0
1836,9.274634749090183e-08,2.016224964762614e-09
1837,1.2106730196137505e-07,4.174734336004349e-09
1838,9.72072911054056e-08,1.2624323808552163e-09
1839,8.459684863737493e-08,2.0974426639952526e-09
1840,1.0255198645836572e-07,8.280594876453051e-09
1841,1.1364370777755539e-07,3.852329122366882e-09
1842,7.71450459069456e-08,4.024959032733477e-09
1843,8.978504695278389e-08,1.4767278067040479e-08
1844,9.495210662180398e-08,2.7442805805577564e-09
1845,1.428538354275588e-07,1.674068439427856e-09
1846,1.1416277345688286e-07,8.781752214304106e-09
1847,8.790954808546303e-08,2.1572894581822766e-09
1848,7.562508130831702e-08,0.0
1849,1.1982562853063428e-07,1.6758829879393033e-09
1850,6.721106160512136e-08,6.788996032014438e-10
1851,6.513933215046563e-08,5.8044946626978344e-09
1852,7.942865209997763e-08,5.208436348880241e-09
1853,9.077336216023468e-08,1.7915795513800958e-09
1854,1.2313724084833666e-07,8.832629738719788e-09
1855,1.634536630490402e-07,1.751289246954002e-08
1856,1.0820325258009689e-07,5.694908100650764e-09
1857,1.1959697587826668e-07,6.345961978126979e-09
1858,1.3017178446261823e-07,7.34051397444091e-09
1859,1.1508311814623085e-07,6.110608019582742e-09
1860,8.925508865331722e-08,5.034902272882391e-09
1861,1.0516598791809884e-07,4.715963619617014e-09
1862,1.4141296844627504e-07,4.9697850279528666e-09
1863,1.1537574096109893e-07,9.989241434027463e-09
1864,1.265808151629244e-07,8.63051052846231e-09
1865,1.5250175522396603e-07,1.1767110841276462e-08
1866,1.3283123223573057e-07,4.865612801552288e-09
1867,1.1015882250831055e-07,3.88224918879132e-09
1868,9.188165961404593e-08,9.385760613156435e-09
1869,1.0499566371890978e-07,1.0743741896135361e-08
1870,1.0837351993586708e-07,2.8670243956696595e-09
1871,7.009977309735405e-08,3.18635318130589e-09
1872,8.224381531363179e-08,1.8142017887967654e-09
1873,8.79942660958477e-08,2.9930022904522957e-09
1874,8.96191352239839e-08,1.4339061493728877e-08
1875,1.813724139765327e-07,1.716458086775674e-08
1876,8.403960549685507e-08,5.441413541973361e-09
1877,1.0081249968152406e-07,9.27722432209066e-09
1878,9.78332366230461e-08,6.039088784604019e-09
1879,8.797428563411813e-08,1.832797580370027e-09
1880,8.920806493506461e-08,7.059631101924424e-09
1881,6.135806529528054e-08,1.2550513517339823e-08
1882,7.786800892972678e-08,1.3310770263785798e-09
1883,7.835980397885578e-08,1.8326083761621703e-08
1884,1.2477207178562821e-07,3.9610181801208455e-09
1885,6.316722789279083e-08,1.2891271383708158e-09
1886,6.324394519197085e-08,1.936039106809062e-09
1887,6.920659956222153e-08,3.9173548849191775e-09
1888,6.086990111953128e-08,1.4583413587843097e-08
1889,6.641045047217631e-08,1.3783300722991498e-08
1890,6.751017878059429e-08,6.554386366985909e-09
1891,6.756673087693343e-08,5.099376032546843e-09
1892,4.826754462783356e-08,1.8805537127519756e-09
1893,7.513268229786263e-08,7.390100087434348e-09
1894,4.537108111435373e-08,8.822155450616265e-09
1895,7.222337217172026e-08,4.213029924926559e-09
1896,5.012474701970859e-08,7.076434549446731e-09
1897,5.710179351581246e-08,1.2818770045441852e-08
1898,6.054439438685222e-08,5.092519295146758e-09
1899,4.9748205555033564e-08,1.4371703827009696e-08
1900,4.879590065343109e-08,1.0901211489056095e-08
1901,5.3651895370876446e-08,7.265360757457984e-09
1902,6.088752257937813e-08,3.928227076954727e-09
1903,5.994244389739833e-08,9.720396931811592e-09
1904,6.288311737989716e-08,2.1498500757388683e-09
1905,4.7478984299687e-08,7.741138396966107e-09
1906,8.385021033063822e-08,1.0288369267641428e-08
1907,4.319988278211895e-08,1.4399961223432456e-08
1908,7.416197433940397e-08,1.5716445034286153e-08
1909,6.271121577583472e-08,1.0451868703853506e-08
1910,6.62674679574593e-08,6.947395991829808e-09
1911,5.905615196866165e-08,1.5429085564733214e-08
1912,6.980624789321155e-08,6.772247651554153e-09
1913,7.477215291373795e-08,6.893886794756554e-09
1914,5.6252648761301316e-08,4.68772043404897e-09
1915,2.238344798399794e-08,1.4136913861761968e-08
1916,3.955486249651585e-08,4.394984820521586e-09
1917,6.031533672512523e-08,2.1932848426331475e-08
1918,3.331049214239101e-08,2.412139110674616e-08
1919,4.6960025201769895e-08,1.3811772170413406e-08
1920,6.057785384427916e-08,2.1202248845497706e-08
1921,5.452378104564559e-08,1.9689142760626055e-08
1922,6.197466007051844e-08,1.4018077365562931e-08
1923,1.0297469543729676e-07,1.5923921736771263e-08
1924,9.281969681751434e-08,5.156649773851996e-09
