year,petit_ADJ or_NOUN,petit_ADJ bord_NOUN
1800,3.144164484325529e-09,6.60274537267469e-08
1801,0.0,1.2858386355674156e-07
1802,0.0,1.0070280609397742e-07
1803,1.950339223455444e-09,8.971560561121805e-08
1804,0.0,2.447132487759518e-07
1805,8.528633133053631e-09,3.980028751016107e-08
1806,5.76333825108577e-09,2.0748018414451508e-07
1807,5.693910232196231e-09,2.2775640928784924e-08
1808,0.0,3.6257183921861724e-08
1809,6.7770915546105925e-09,1.3102376783535874e-07
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,0.0,1.6797415014480066e-07
1812,2.6672082320544632e-09,6.668020802180763e-08
1813,0.0,6.614205716459765e-08
1814,0.0,1.0384034254684593e-07
1815,0.0,1.591361922237411e-07
1816,6.952811659743929e-09,4.4034472068688046e-08
1817,4.670620334934483e-09,5.1376822796100896e-08
1818,1.1921177378582115e-09,4.172412104708201e-08
1819,1.035105001712111e-09,4.6579724966022695e-08
1820,1.779972080839798e-08,4.50926265216367e-08
1821,7.88919063410276e-09,1.3806083387635226e-08
1822,3.0076847679083585e-09,4.712039469723095e-08
1823,9.882686891060644e-10,5.6331316500290995e-08
1824,1.6842225392110777e-09,3.452656116564867e-08
1825,4.4027217427355936e-09,8.012952990021915e-08
1826,0.0,4.0516726751427257e-08
1827,2.7651819167751057e-09,2.949527377893446e-08
1828,2.7516904310687096e-09,5.77854990524429e-08
1829,8.573175946935407e-09,7.715858307832946e-08
1830,3.1310507520032616e-09,4.383471008395645e-08
1831,0.0,9.510635834431014e-08
1832,0.0,4.870788850031005e-08
1833,6.950177100506494e-09,3.938433579264711e-08
1834,9.334530925997342e-10,7.560969805808782e-08
1835,2.2689263801112247e-09,6.579886502322552e-08
1836,1.3441500135158435e-09,6.25029770162655e-08
1837,6.957890930081589e-10,3.339787468803479e-08
1838,1.2624323808552163e-09,3.7241754569095065e-08
1839,2.7965901816529026e-09,5.8029243632518046e-08
1840,0.0,2.4204817705708592e-08
1841,6.420548537278137e-10,1.239165889899141e-07
1842,0.0,2.2137275124123335e-08
1843,4.134837805480629e-09,5.611565612184677e-08
1844,0.0,8.452384414603387e-08
1845,8.928364714222425e-09,4.7431938376973903e-08
1846,1.1709002656346001e-09,3.1614305839866574e-08
1847,1.6179670936367074e-09,3.343798482546845e-08
1848,7.240699539945439e-09,2.815827571112095e-08
1849,0.0,4.524883934209356e-08
1850,6.788996032014438e-10,3.055048125588655e-08
1851,3.2247193804124663e-09,3.9341575330809064e-08
1852,1.3021090872200602e-09,3.2552726736412296e-08
1853,1.1943863675867306e-09,4.77754538152908e-08
1854,1.5586993362681767e-09,5.351534326791807e-08
1855,5.306937111981824e-10,5.253867740862006e-08
1856,5.177189232874468e-10,2.4332790005132665e-08
1857,0.0,3.7099470606705154e-08
1858,4.893676019968041e-10,3.963877664991955e-08
1859,0.0,2.2914779407301467e-08
1860,1.8308735638683515e-09,2.70053845952134e-08
1861,3.301174722469824e-09,1.744906619194353e-08
1862,3.1625904395315985e-09,2.123453593516622e-08
1863,5.9935452156878455e-09,4.4452125536054155e-08
1864,1.4384183844029508e-09,4.794727814783073e-08
1865,1.4120533631256649e-09,1.5061901559310087e-08
1866,1.9462451650298362e-09,2.4814625576574656e-08
1867,1.455843445796745e-09,2.8631587767335986e-08
1868,3.951899252285784e-09,1.728955856261649e-08
1869,4.395167341186834e-09,1.5138908904255288e-08
