year,fallut_VERB ôter_VERB
2002,8.76244299341522e-10
2003,2.083461403401543e-09
2004,1.3214374039449694e-09
2005,9.007499190971657e-10
2006,2.0589450144825605e-09
2007,1.1983438685803094e-09
2008,8.514879357157668e-10
2009,2.860915504498962e-09
2010,3.3066551718974324e-09
2011,3.059177577924288e-09
2012,2.0425516833455504e-09
2013,3.0680376017500066e-09
2014,2.815078836704288e-09
2015,3.32486305154589e-09
2016,5.3854840587064245e-09
2017,4.024978128569501e-09
2018,2.323319980845895e-09
2019,2.806086474294034e-09
