year,aurait_VERB eu_VERB,aurait_VERB bu_VERB
1800,3.53718496626243e-06,6.288328968651058e-09
1801,2.471667585268733e-06,2.6193008650921e-08
1802,2.9651382646989077e-06,6.713520406265161e-09
1803,2.5939511942851823e-06,1.950339223455444e-09
1804,4.884377631242387e-06,0.0
1805,2.948064093288849e-06,0.0
1806,2.6972422801918583e-06,5.76333825108577e-09
1807,5.3892858886683825e-06,8.540865792383556e-09
1808,4.2171636778221e-06,1.8128591960930862e-08
1809,3.969116733060218e-06,2.259030518203531e-09
1810,5.131897978571942e-06,1.1700633351097167e-08
1811,4.926405836158665e-06,1.7549536934780008e-08
1812,5.355754183256067e-06,3.467370746079723e-08
1813,5.9154003793082666e-06,5.751483289628823e-09
1814,4.4399612306733616e-06,3.1466771410748606e-09
1815,5.09775236423593e-06,5.394447111228828e-09
1816,4.4822459130955394e-06,4.6352077731626196e-09
1817,5.403907380241435e-06,1.556873407970727e-09
1818,5.50519962416729e-06,1.7881765401739358e-08
1819,5.575075647357153e-06,1.449147024601416e-08
1820,5.8976411310140975e-06,8.306536791735653e-09
1821,7.275806183315581e-06,2.070912508145284e-08
1822,6.234930424398044e-06,2.0051231786055723e-08
1823,5.98890846958966e-06,3.9530747564242574e-09
1824,6.224886419659015e-06,8.421112696055388e-09
1825,6.570621735590976e-06,2.553578504205234e-08
1826,5.636229161609663e-06,6.1655889282974385e-09
1827,8.250381142715923e-06,2.3043183361437514e-08
1828,8.260574759333394e-06,1.559291185060374e-08
1829,8.75321256899042e-06,9.430493719264632e-09
1830,7.963305506564211e-06,3.444155893816969e-08
1831,8.020116183615755e-06,4.677361609140007e-09
1832,8.709241228643805e-06,4.7354891563600177e-08
1833,7.476073733414523e-06,3.01174338801502e-08
1834,7.4246859185223e-06,9.334531370086552e-09
1835,7.616785751451971e-06,3.6302822081779595e-08
1836,7.358549282798776e-06,2.2850549896702432e-08
1837,7.2487309807911515e-06,1.3915782304252389e-08
1838,7.16051636118209e-06,1.009945904684173e-08
1839,7.069779712765012e-06,1.2584655095793096e-08
1840,7.965933036757633e-06,1.1465439264668476e-08
1841,8.280581823782995e-06,2.43980835534785e-08
1842,8.053943020058796e-06,9.391571076378114e-09
1843,7.586836545669939e-06,8.860366662588604e-09
1844,7.66806897445349e-06,1.3721403568922597e-08
1845,7.73810188547941e-06,1.9530798311961917e-08
1846,7.709207238804083e-06,1.9319854160926297e-08
1847,8.27913754619658e-06,7.011190739092399e-09
1848,7.916498361737467e-06,2.333114323960217e-08
1849,8.578845154261217e-06,2.6814127807028854e-08
1850,7.881345482019242e-06,3.190828223864628e-08
1851,8.248187441495247e-06,1.7413483988093503e-08
1852,7.470850960089592e-06,3.190167419120371e-08
