year,aient_VERB eu_VERB,aient_VERB bu_VERB
1800,1.7292904885835014e-06,0.0
1801,1.4263283674154081e-06,0.0
1802,1.6403367908424116e-06,6.713520406265161e-09
1803,1.6948447409959044e-06,5.851017448321727e-09
1804,1.3273839840621804e-06,7.4155526164076946e-09
1805,1.7682699535725988e-06,0.0
1806,1.685776396698202e-06,0.0
1807,1.4889575368215446e-06,5.693910232196231e-09
1808,1.5658571328458493e-06,6.798221985349073e-09
1809,1.6061707128756098e-06,1.129515236897305e-08
1810,1.4110964912106283e-06,4.680253518074551e-09
1811,1.4290337730926694e-06,0.0
1812,1.6803411426735693e-06,0.0
1813,1.6794331259006867e-06,1.4378708002027452e-08
1814,1.5922186094030621e-06,6.293354282149721e-09
1815,2.0121287889196537e-06,0.0
1816,1.5018073327155435e-06,0.0
1817,1.7795063058656524e-06,3.7364962679475866e-08
1818,1.633201350159652e-06,1.3113295338484932e-08
1819,1.928400706674438e-06,3.1053151161586356e-09
1820,1.561628891977307e-06,2.3732962262101864e-09
1821,1.9308793071104446e-06,2.9584463767662328e-09
1822,1.6191369240914355e-06,5.012807946513931e-09
1823,1.298585061704216e-06,2.9648061783404955e-09
1824,1.5292740727090859e-06,5.052667617633233e-09
1825,1.6369318700526492e-06,8.805443041381977e-10
1826,1.4709333981954842e-06,5.284790383086602e-09
1827,1.6286921891150996e-06,1.1982455028203276e-08
1828,1.709716912046133e-06,0.0
1829,1.7334962194581749e-06,5.143905745796928e-09
1830,1.974649421754293e-06,9.39315203396518e-09
1831,1.7165917824968346e-06,1.5591206103948707e-09
1832,1.6168313550224411e-06,2.1647950987357945e-08
1833,1.4583788470190484e-06,6.950177322551099e-09
1834,1.7511580381324166e-06,9.334530925997342e-10
1835,1.5723659316790872e-06,5.294161553592858e-09
1836,1.5256102869898314e-06,8.736974699274924e-09
1837,1.723469608805317e-06,5.5663127440652715e-09
1838,1.6329562413375243e-06,6.312161904276081e-09
1839,1.6548822259210283e-06,9.088918062616358e-09
1840,1.546560383758333e-06,2.1019973317493168e-08
1841,1.8401292436465155e-06,5.1364388298225094e-09
1842,1.6750537952248123e-06,8.049918065466954e-09
1843,1.8606770026963204e-06,9.451057714215949e-09
1844,1.6624852605673368e-06,5.488561161115513e-09
1845,1.6629079482299858e-06,0.0
1846,1.8359716023041983e-06,4.0981511517657054e-09
1847,1.5386866607514094e-06,4.853901280910122e-09
1848,1.6380071201638202e-06,1.448139919091318e-08
1849,1.6767208990131621e-06,1.75967720394965e-08
1850,1.7176159872178687e-06,6.788996032014438e-09
1851,1.6555709407839458e-06,1.0319102017319892e-08
1852,1.7265966789636877e-06,3.906327261660181e-09
1853,1.7324574628219125e-06,1.3735443005202796e-08
1854,1.6407908560722717e-06,1.558699391779328e-09
1855,1.5406038755827467e-06,1.1144567935161831e-08
1856,1.5697237358835991e-06,8.801221973442352e-09
1857,1.6118742678372655e-06,2.0990489346672803e-08
1858,1.6095300452434458e-06,4.404308473482388e-09
1859,1.4522878473144374e-06,0.0
1860,1.5837056253076298e-06,6.865775947773045e-09
1861,1.624649485165719e-06,6.6023493339173456e-09
1862,1.5826506114535732e-06,7.680577063240435e-09
1863,1.808552156035148e-06,9.489779628779615e-09
1864,1.6028775462473277e-06,2.8768367688059016e-09
1865,1.6031511904657236e-06,9.88437331983505e-09
1866,1.6489561858179513e-06,5.838735717134114e-09
1867,1.5038863239169586e-06,4.367530337390235e-09
1868,1.6375682889702148e-06,6.421836395986702e-09
1869,1.5920272744551767e-06,6.8369265804335555e-09
1870,1.6623007468297146e-06,8.027668307875047e-09
1871,1.6059219660746749e-06,4.248470908407853e-09
1872,1.718049134069588e-06,7.861540751719076e-09
1873,1.6234043869189918e-06,2.3944017879529156e-09
1874,1.5169532616710057e-06,7.169530746864439e-09
1875,1.5139161178012728e-06,2.8607636259891933e-09
1876,1.5846604810576537e-06,5.441413541973361e-09
1877,1.6185663298529107e-06,7.421779191219002e-09
1878,1.574994371367211e-06,1.3889904337816006e-08
1879,1.6709004739823285e-06,3.0546627449723474e-09
1880,1.384971255902201e-06,3.8507077526617195e-09
1881,1.4865386219753418e-06,6.2752567586699115e-09
1882,1.6072755215645884e-06,5.324308105514319e-09
1883,1.5198010032690945e-06,9.479008689083912e-09
1884,1.477459818488569e-06,7.922036360241691e-09
1885,1.565644879519823e-06,0.0
1886,1.5475405916731688e-06,4.5174246565693466e-09
1887,1.6048096540544066e-06,1.9586774424595887e-09
1888,1.6479257283208426e-06,1.9021844099853524e-09
1889,1.5525008620898006e-06,1.3783300722991498e-08
1890,1.608446495993121e-06,5.243509182406569e-09
1891,1.6088531538116513e-06,8.92390783491237e-09
1892,1.5702623841207242e-06,6.268512375839919e-09
1893,1.5999565903257462e-06,4.310891643655168e-09
1894,1.5779054365339107e-06,7.561847148451761e-09
1895,1.48900517160655e-06,7.824199066419624e-09
1896,1.547970100546081e-06,5.89702897624278e-10
1897,1.4922213722456945e-06,8.740070001067579e-09
1898,1.5407700857394957e-06,6.224190496340043e-09
1899,1.4432507668971084e-06,5.527578395003729e-09
1900,1.4820457181485835e-06,2.595526460424935e-09
1901,1.4798980600971845e-06,4.470991132876634e-09
1902,1.4033590787221328e-06,9.820567470342212e-09
1903,1.4629197266913252e-06,8.640352433531007e-09
1904,1.5371427934951498e-06,1.6123875568041512e-09
1905,1.551324203319382e-06,9.805441791854719e-09
1906,1.4763809303985909e-06,8.230695236477459e-09
1907,1.5346245163527783e-06,8.228549397415463e-09
1908,1.5333356486735283e-06,3.437972351250096e-09
1909,1.3900985322834458e-06,2.2003934230241384e-09
1910,1.4760544218006544e-06,3.206490406526541e-09
1911,1.513646452622197e-06,1.5961122423746588e-09
1912,1.5039598793009645e-06,8.335073964360618e-09
1913,1.4164285175866098e-06,1.060597942803554e-09
1914,1.4016284239914967e-06,2.0090231700464756e-09
1915,1.7317720448772889e-06,2.3561523843085297e-09
1916,1.6140581919898978e-06,5.493730803607377e-09
1917,1.5276228850780171e-06,3.289927441585405e-09
1918,1.492080286880082e-06,4.594550517822427e-09
1919,1.4962753311920096e-06,2.762354567309444e-09
1920,1.5470069456569036e-06,3.028892692213958e-09
1921,1.3797546216665069e-06,8.330022005509363e-09
1922,1.4099234704190167e-06,4.426761179843197e-09
1923,1.4458921668847324e-06,4.246379248229459e-09
1924,1.3239698546385625e-06,2.578324886925998e-09
1925,1.3923693131800974e-06,1.0998177923937646e-09
1926,1.4445395208895206e-06,2.229227691330493e-09
1927,1.3501711464414257e-06,5.574612327308159e-09
1928,1.3631266710945056e-06,4.570416489713125e-09
1929,1.4259719591791509e-06,4.4561625500705304e-09
1930,1.3150511222193018e-06,4.201441416995522e-09
