year,tout_DET or_NOUN,tout_DET bord_NOUN
1800,9.432493452976587e-09,0.0
1801,4.286128785224719e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,4.290746380419819e-08,1.950339223455444e-09
1804,1.9774807569206132e-08,0.0
1805,2.842877755426798e-08,8.528632911009026e-09
1806,4.3225035994964855e-08,2.881669125542885e-09
1807,1.9928686256776018e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,8.35841271751292e-08,1.129515236897305e-08
1810,1.8721014516387413e-08,0.0
1811,4.512738271955641e-08,5.0141535368197765e-09
1812,1.8670456736202823e-08,0.0
1813,5.7514832008109806e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,3.476405829871965e-08,2.3176038865813098e-09
1817,3.89218364205135e-08,0.0
1818,3.21871784780825e-08,0.0
1819,3.415846616672269e-08,1.1386155129855524e-08
1820,2.0173017922786585e-08,1.1866481131050932e-09
1821,1.6764530097468366e-08,3.94459531705138e-09
1822,2.4061478143266868e-08,2.0051231786055723e-09
1823,6.819054299000982e-08,1.9765373782121287e-09
1824,1.7684337549894735e-08,8.421112696055388e-10
1825,7.132408930132783e-08,4.4027217427355936e-09
1826,2.6423953580767545e-08,7.927186018719112e-09
1827,1.4747637222534138e-08,4.608636583469661e-09
1828,2.5682442839070063e-08,3.668920500743411e-09
1829,9.430493719264632e-09,2.571952872898464e-09
1830,2.5048406016026092e-08,0.0
1831,7.951515157422762e-08,1.4032085715598441e-08
1832,1.0823975493678972e-08,1.8941957335982806e-08
1833,4.865124036967927e-08,1.50587169400751e-08
1834,4.013848342587778e-08,1.8669061851994684e-09
1835,2.7227116561334697e-08,7.563087933704082e-09
1836,2.0834324654384062e-08,1.1425274948351216e-08
1837,4.3834712526447106e-08,6.262101948095733e-09
1838,4.418513199766494e-08,1.8936485712828244e-09
1839,1.1466019300687691e-07,1.2584655095793096e-08
1840,3.7581163736533085e-08,8.280594876453051e-09
1841,3.467096254539115e-08,7.704658244733764e-09
1842,5.2324466537356784e-08,5.366612043644636e-09
1843,3.3078700778510495e-08,7.088293507706567e-09
1844,2.1405388628270572e-08,8.232841963717874e-09
1845,3.459741143574391e-08,5.022205318283568e-09
1846,2.868705673009231e-08,6.439951683034906e-09
1847,3.289866423727972e-08,6.47186837454683e-09
1848,1.850401076808339e-08,8.04522137798358e-09
1849,1.5920888163378777e-08,5.865590679832167e-09
1850,2.5798185809833285e-08,8.146795238417326e-09
1851,2.257303544084266e-08,8.384270167027807e-09
1852,3.711010876372711e-08,3.5156944022674e-08
1853,3.1054045557254994e-08,2.8665272822081533e-08
1854,3.1693553004252806e-08,1.610655964157104e-08
1855,2.812676669350367e-08,6.8990182455763716e-09
1856,2.174419438949471e-08,1.2942972915652717e-08
1857,2.4407545762272775e-08,1.9037885934380938e-08
1858,8.808616835942473e-09,3.4255731584664773e-09
1859,1.9859475397510096e-08,8.147477359443656e-09
1860,3.249800462068464e-08,1.6477862629926676e-08
1861,4.527325092595902e-08,1.226150558863992e-08
1862,3.433669720775967e-08,1.0843167252971853e-08
1863,5.494082988555249e-08,1.5982786649715308e-08
1864,1.726102105692462e-08,5.753673537611803e-09
1865,4.0008176604988677e-08,2.165148416111151e-08
1866,4.4763639239775443e-08,7.298419202328432e-09
1867,2.7661025470138156e-08,1.1161466417775046e-08
1868,2.2723420589620957e-08,3.408512938563035e-08
1869,3.5161337064160136e-08,2.1487483792270723e-08
1870,2.5803219116937726e-08,3.612450782952692e-08
1871,4.991953339583688e-08,1.274541272522356e-08
1872,2.9027229508926666e-08,2.0560953828407946e-08
1873,2.7535620672480832e-08,1.855661402316855e-08
1874,3.405527093658378e-08,3.1665429389704514e-08
1875,2.059749715233039e-08,2.689117728493784e-08
1876,1.8138044177717916e-08,1.3301232115736639e-08
1877,4.329371305900054e-08,1.2369632429454214e-08
1878,2.596808079680102e-08,1.509772218355465e-08
1879,5.437299632760073e-08,2.5659165459046562e-08
1880,1.8611755026043397e-08,1.6044616302224313e-08
1881,2.8587281097891548e-08,1.4642266066289267e-08
1882,5.257754431831074e-08,1.1314154946262533e-08
