year,voulait_VERB ôter_VERB,voulait_VERB oter_VERB
1800,9.432493897065797e-09,0.0
1801,3.5717739876872656e-08,0.0
1802,4.475680270843441e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,4.8328921309348516e-08,0.0
1806,5.187004603612877e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,3.978215445954447e-08,0.0
1811,9.27618373225414e-08,0.0
1812,5.867858021701977e-08,0.0
1813,4.601186631703058e-08,0.0
1814,6.293354282149721e-09,0.0
1815,3.506390555685357e-08,0.0
1816,2.7811246638975717e-08,1.1588019432906549e-08
1817,3.42512151974006e-08,0.0
1818,5.2453181353939726e-08,0.0
1819,4.0369094733705424e-08,0.0
1820,6.645229433388522e-08,3.5599443393152796e-09
1821,9.565643921405353e-08,0.0
1822,4.3110148340019805e-08,1.0025615893027862e-09
1823,4.4472091786929013e-08,0.0
1824,4.6316120716483056e-08,0.0
1825,2.6416328680056722e-08,8.805443041381977e-10
1826,2.3781558056157337e-08,8.807984341885344e-10
1827,2.8573547083965423e-08,0.0
1828,2.8434133270138773e-08,0.0
1829,2.914879893012312e-08,0.0
1830,6.366470017837855e-08,1.0436835840010872e-09
1831,4.8332740476553226e-08,1.5591206103948707e-09
1832,9.606278439378002e-08,1.3529969367098715e-09
1833,3.938433579264711e-08,0.0
1834,4.667265329771908e-08,0.0
1835,4.764745398233572e-08,0.0
1836,4.838939915430274e-08,6.720750067579218e-10
1837,3.061472142462662e-08,0.0
1838,3.787297231383491e-08,6.312161904276081e-10
1839,4.6842885126352485e-08,6.9914751765765e-10
1840,5.223144583510475e-08,0.0
1841,3.78812359258518e-08,6.420548537278137e-10
1842,7.982835370512475e-08,0.0
1843,2.7171790151214736e-08,5.906911071384968e-10
1844,3.1833653935109396e-08,5.488561272137815e-10
1845,5.412821124650691e-08,5.580227946389016e-10
1846,4.390875929516369e-08,0.0
1847,3.343798482546845e-08,0.0
1848,3.539897619475596e-08,0.0
1849,3.100383594301093e-08,0.0
1850,2.2403686017469226e-08,0.0
1851,2.257303499675345e-08,6.449438760824933e-10
1852,2.799534470909748e-08,0.0
1853,4.478948767427937e-08,5.971931837933653e-10
1854,3.065441944727354e-08,0.0
1855,4.404757802944914e-08,5.306937111981824e-10
1856,4.0899795550330964e-08,0.0
1857,1.757343248698362e-08,0.0
1858,4.257498176230001e-08,0.0
1859,4.3283474582267445e-08,1.018434669930457e-09
1860,4.165237399433863e-08,0.0
1861,3.159695793897299e-08,0.0
1862,2.1234535907410645e-08,0.0
1863,2.3474717281146695e-08,0.0
1864,3.9796240969280916e-08,0.0
1865,3.435996376310868e-08,0.0
1866,6.033359767343427e-08,9.731225825149181e-10
1867,2.135237053835226e-08,0.0
1868,3.062721987134864e-08,1.975949626142892e-09
1869,1.7580669364747337e-08,0.0
1870,2.2936195165357276e-08,0.0
1871,2.549082545044712e-08,1.0621177271019633e-09
1872,4.112190765681589e-08,0.0
1873,1.5563610844537834e-08,5.986004469882289e-10
1874,1.9118749250424116e-08,0.0
1875,1.6592428764283795e-08,0.0
1876,1.5115036333668286e-08,2.418405919968336e-09
1877,1.4225077116236662e-08,0.0
1878,2.113680963589104e-08,0.0
1879,1.9549840857280287e-08,0.0
1880,2.8238524407697696e-08,0.0
1881,2.2312024228199334e-08,0.0
1882,2.1297232422057277e-08,0.0
1883,1.9589950994713945e-08,6.319338941018771e-10
1884,1.0562715146988921e-08,0.0
1885,1.2246707647989297e-08,6.445635691854079e-10
1886,2.1296431285122708e-08,0.0
1887,7.834709769838355e-09,0.0
1888,1.9021843655764314e-08,0.0
1889,1.50363277384713e-08,6.265136742733546e-10
1890,2.5562107097698572e-08,6.554386478008212e-10
1891,3.824531802365527e-09,0.0
1892,1.3163876211308434e-08,0.0
1893,7.390100087434348e-09,6.158416554491453e-10
1894,6.9316934414587195e-09,6.301539290376468e-10
1895,1.5648398132839247e-08,2.4074457982692365e-09
1896,1.4152869098893461e-08,0.0
1897,5.826713334045053e-09,0.0
1898,9.05336783318944e-09,0.0
1899,9.39688327150634e-09,0.0
1900,8.824790675987515e-09,0.0
1901,1.7325090695408107e-08,5.588738916095792e-10
1902,4.910283735171106e-09,0.0
1903,1.5120615870500842e-08,0.0
1904,3.2247751136083025e-09,0.0
1905,7.2250627702885595e-09,0.0
1906,8.745113966313056e-09,0.0
1907,4.6285588695127444e-09,0.0
1908,3.929111258571538e-09,0.0
