year,beaucoup_ADV eu_VERB,beaucoup_ADV vu_VERB
1800,9.432493897065797e-09,4.27606380526413e-07
1801,1.904946067554647e-08,3.119349116786907e-07
1802,1.5664880947952042e-08,1.9245425164626795e-07
1803,1.950339267864365e-08,2.2623935080900992e-07
1804,1.730295728918918e-08,2.817910171870608e-07
1805,1.7057265822018053e-08,2.6154475563089363e-07
1806,8.645007376628655e-09,2.881669161070022e-07
1807,1.4234775136401367e-08,2.1636859059981361e-07
1808,1.8128591960930862e-08,2.1074488643080258e-07
1809,9.036122072814123e-09,2.936739633696561e-07
1810,1.8721014072298203e-08,2.5507381451461697e-07
1811,5.0141535368197765e-09,2.0056614857821842e-07
1812,1.3336041604361526e-08,4.107500615191384e-07
1813,8.627225156487839e-09,3.7097066751812235e-07
1814,6.293354282149721e-09,3.020809913323319e-07
1815,1.6183340889597275e-08,2.1308066777692147e-07
1816,1.3905623319487859e-08,2.595716352971067e-07
1817,2.1796227045456362e-08,2.428722609693068e-07
1818,2.384235386898581e-08,2.873003666081786e-07
1819,1.449147024601416e-08,2.732677160111052e-07
1820,1.898636980968149e-08,2.883554941490729e-07
1821,1.1833785507064931e-08,3.471243985586625e-07
1822,2.3058916553964082e-08,2.2758148077173246e-07
1823,1.680056804787e-08,2.470671631726873e-07
1824,5.894778887238772e-09,2.0968570879631443e-07
1825,2.8177417732422327e-08,5.336098638508702e-07
1826,9.688783109140786e-09,2.9859066330573114e-07
1827,6.452091305675367e-09,2.553184685893939e-07
1828,5.503380862137419e-09,2.2747306616111018e-07
1829,1.2002446148073886e-08,3.5321485825079435e-07
1830,1.1480519646056564e-08,3.454592558682634e-07
1831,1.5591206548037917e-08,4.6461795477625856e-07
1832,2.4353944638733083e-08,3.220132782644214e-07
1833,1.3900354645102198e-08,3.822597420821694e-07
1834,5.600718555598405e-09,2.8563664500325103e-07
1835,2.0420337421001022e-08,2.934478118277184e-07
1836,1.4113575197427508e-08,3.031058213309734e-07
1837,1.8090515752078318e-08,2.3587250552736805e-07
1838,2.840472923537618e-08,2.2155688839120558e-07
1839,7.690622361167243e-09,2.4190504177568073e-07
1840,1.6561189752906103e-08,2.73259644245627e-07
1841,1.219904177673925e-08,2.728733079493395e-07
1842,1.2745703159566801e-08,2.3277679872535373e-07
1843,2.9534556134080958e-08,2.658109963249444e-07
1844,1.2623690537338916e-08,2.398501237621531e-07
1845,1.674068350610014e-08,2.7398920110499603e-07
1846,1.8734404250153602e-08,2.1720200038544135e-07
1847,1.5101026207275936e-08,2.2597606630370137e-07
1848,1.448139919091318e-08,2.1078480472169758e-07
1849,7.54147322368226e-09,1.466397634430905e-07
1850,1.9009188889640427e-08,2.1656897786215268e-07
1851,9.674158363282004e-09,1.8961350178869907e-07
1852,1.1067927019325907e-08,2.3958807560120476e-07
1853,6.569124799682413e-09,2.4544638677070907e-07
