year,trop_ADV eu_VERB,trop_ADV vu_VERB
1800,3.144164395507687e-08,1.1004575384276905e-07
1801,3.095537337571841e-08,3.952763165671058e-07
1802,1.3427040812530322e-08,6.937304419807333e-08
1803,2.5354410126965377e-08,1.4042441875972145e-07
1804,1.4831105232815389e-08,1.2112069214254007e-07
1805,6.822906328807221e-08,1.3645812657614442e-07
1806,3.458002950651462e-08,1.3255677799861587e-07
1807,1.7081731584767113e-08,7.402083213037258e-08
1808,2.2660739062985158e-08,6.118399653587403e-08
1809,8.584316191218022e-08,9.487928309681593e-08
1810,2.106114038724627e-08,1.3572734758326988e-07
1811,4.262030373070047e-08,1.2033967777824728e-07
1812,6.934741492159446e-08,1.2802598803318688e-07
1813,3.4508900625951355e-08,1.0640243885973177e-07
1814,3.1466772298927026e-08,2.1397404736944736e-07
1815,2.966945977789237e-08,2.022917726662854e-07
1816,3.244645441213834e-08,1.7382029682266875e-07
1817,5.60474440192138e-08,2.7868034635503136e-07
1818,1.1921176934492905e-08,1.645122438276303e-07
1819,5.175525075173937e-08,9.833497216504838e-08
1820,5.102586797534059e-08,1.4595771347103437e-07
1821,2.070912508145284e-08,1.4299158124231326e-07
1822,2.3058916553964082e-08,1.082766516447009e-07
1823,2.8659792761231984e-08,1.0277994277885227e-07
1824,1.2631669044083083e-08,1.9200136591734918e-07
1825,2.1133063299316746e-08,1.4793144487157406e-07
1826,2.4662355713189754e-08,9.160303449107232e-08
1827,1.3825909306319772e-08,1.5485018423078145e-07
1828,1.0089530988466322e-08,1.201571393494305e-07
1829,1.800366966620004e-08,1.0630738245254179e-07
1830,2.2961039292113128e-08,1.49246758951449e-07
1831,2.0268567268999504e-08,1.340843738262265e-07
1832,2.0294953273491956e-08,1.461236678323985e-07
1833,1.50587169400751e-08,9.03523016404506e-08
1834,1.213489042584115e-08,1.2601616106167057e-07
1835,2.7983425354705105e-08,1.520180603620247e-07
1836,3.024337402735e-08,1.0887615076171642e-07
1837,1.1132625488130543e-08,9.462731753728804e-08
1838,1.830527018853445e-08,1.249808008196851e-07
1839,1.957613093850341e-08,1.2444826325008762e-07
1840,5.732719632334238e-09,8.471685930544481e-08
1841,1.6051371787284552e-08,9.566617364953345e-08
1842,1.609983613093391e-08,1.012948018797033e-07
1843,3.0125246297529884e-08,1.1104992836408201e-07
1844,1.0977122322231025e-08,1.1580864622828813e-07
1845,2.0088821273134272e-08,8.035528509253709e-08
1846,8.781752214304106e-09,8.898842196458645e-08
1847,1.5640349459999925e-08,9.16848037491036e-08
1848,2.252662056889676e-08,1.2952807537658373e-07
1849,1.1731181359664333e-08,9.971503800443315e-08
1850,2.0366988096043315e-08,8.825694663983086e-08
1851,2.3217978650791338e-08,1.1608990035938405e-07
1852,1.7578472011337e-08,1.58206248102033e-07
1853,1.2541057081705276e-08,8.539862506040663e-08
1854,2.4419623656513068e-08,8.624802916301633e-08
1855,2.865746040470185e-08,1.5973880351793923e-07
1856,1.7084724746041502e-08,1.1182729053871299e-07
1857,1.4156376515472857e-08,1.3961115996607987e-07
1858,1.0766087576996597e-08,1.0717150189520908e-07
1859,2.036869339860914e-08,1.0184346876940253e-07
1860,2.242820151820979e-08,1.3136518361989147e-07
1861,2.87673795895671e-08,9.6677254646238e-08
1862,1.9427341513278407e-08,1.947252030731761e-07
1863,1.2486552236623538e-08,1.3285691125020094e-07
1864,3.5001512799226475e-08,1.2370398394523363e-07
1865,1.694463946932956e-08,1.2849685049332038e-07
1866,2.0435575009969398e-08,1.3234466678113677e-07
1867,1.067618526917613e-08,1.164674756637396e-07
1868,4.44588676984381e-09,8.990571132017067e-08
1869,1.8557372527538973e-08,1.2404139226873667e-07
1870,2.8096838633473453e-08,1.3130971865393803e-07
1871,1.1683295220166201e-08,1.5719342627562582e-07
1872,1.814201766592305e-08,1.7960597631372366e-07
1873,3.292302608315367e-08,1.0655087834265942e-07
1874,1.4936523129449597e-08,9.081406204813902e-08
1875,3.032409523484603e-08,1.109976253133027e-07
1876,1.934724735974669e-08,8.34350046829968e-08
1877,2.3502300550148902e-08,1.465801346967055e-07
1878,3.32149880932775e-08,9.179414917070972e-08
1879,2.1993571408529533e-08,9.04180126326537e-08
1880,8.343199908722454e-09,9.305877313181554e-08
1881,1.324776466304911e-08,1.1434912750019066e-07
1882,9.317538740560849e-09,1.1314154590991166e-07
1883,1.9589950994713945e-08,7.330433504648681e-08
1884,1.4523733327109767e-08,9.638477393991707e-08
1885,7.090199094506033e-09,6.961286658224708e-08
1886,1.2906927970846027e-08,7.7441569601433e-08
1887,1.3057849024278312e-08,8.944626728180083e-08
1888,1.9021843655764314e-08,8.750048152705858e-08
1889,2.6313573542324775e-08,1.3908604046264372e-07
1890,1.3764211992395303e-08,1.179789563821032e-07
1891,1.9122660788184476e-08,1.2047276243265514e-07
1892,1.4417578242387208e-08,9.214713259098062e-08
1893,1.847524977449666e-08,7.205347429817266e-08
1894,7.561847148451761e-09,9.956431767932372e-08
1895,1.023164486468886e-08,1.2458532694381574e-07
1896,2.1229304536518612e-08,1.2147879147050844e-07
1897,1.1070755867592652e-08,8.914872040577393e-08
1898,1.5277558773618694e-08,1.1316709702668959e-07
1899,6.080336234504102e-09,1.0391847382607011e-07
1900,7.786579381274805e-09,1.0641659287102812e-07
1901,1.4530721514915967e-08,1.2239338786912413e-07
1902,9.820567470342212e-09,1.1146344292001231e-07
1903,1.6200660368781428e-08,1.1502469021706929e-07
1904,2.3110889202371254e-08,9.889310348398794e-08
1905,8.257214467732865e-09,9.547404289378392e-08
1906,9.773950537805831e-09,9.722509020093639e-08
1907,1.0285686968813934e-08,9.205689366353909e-08
1908,9.822778146428846e-09,7.56353912834129e-08
1909,1.7603147384193107e-08,8.086446001698278e-08
1910,9.085056262847502e-09,1.004700322937424e-07
1911,1.9153347352585115e-08,1.0640748371315567e-07
1912,1.3544495303108306e-08,1.2971459284472076e-07
1913,5.833288518886093e-09,1.1189307969061701e-07
1914,1.5402511266415786e-08,1.4866770925436867e-07
1915,1.4136913861761968e-08,1.4843760709482012e-07
1916,1.8678685265172135e-08,1.637131816778492e-07
1917,1.4256351654751143e-08,1.5462659064269246e-07
1918,1.6080926812378493e-08,1.734442776069045e-07
1919,9.207848705727883e-09,1.574542096705045e-07
1920,6.057785384427916e-09,1.665891034008382e-07
1921,1.3630945261411398e-08,1.2949398353612196e-07
1922,1.549366501762961e-08,1.6747912923165131e-07
1923,4.246379248229459e-09,1.443768979925153e-07
1924,1.5469948877466777e-08,1.7532609319914627e-07
1925,1.4297631523163545e-08,1.3637740892136208e-07
1926,1.5604593173179637e-08,1.6942129832386854e-07
1927,1.2264147031260109e-08,1.2152655415320623e-07
1928,9.14083297942625e-09,1.3711249380321533e-07
1929,1.5596569369336066e-08,1.5262357067058474e-07
1930,1.6805765667982087e-08,1.4179865104324563e-07
1931,1.8248570654577634e-08,1.380048217924923e-07
1932,1.53433514782364e-08,1.3370635087994742e-07
1933,2.1794258842078307e-08,9.864769623391112e-08
1934,2.156684431042777e-08,1.3419369793155056e-07
1935,1.4361940969820353e-08,1.077145554972958e-07
1936,8.487299751891442e-09,1.1397231958198972e-07
1937,1.3850230295986421e-08,1.1961562051965302e-07
1938,1.4261735792331365e-08,1.0890779833516717e-07
1939,1.5294050470515685e-08,8.564668263488784e-08
1940,1.0143131667916805e-08,9.128818589942966e-08
1941,3.246652724442356e-08,1.741386483899987e-07
1942,1.8205270180260413e-08,1.8205270180260413e-07
1943,1.7419411690866582e-08,1.451617634984359e-07
1944,1.927911696952833e-08,1.381670102773569e-07
1945,2.178504132643866e-08,2.2438591429363441e-07
1946,6.960552134671616e-09,2.157771206157122e-07
1947,2.622591566137089e-08,1.7404471464033122e-07
1948,2.2830963786191205e-08,1.9786835991908447e-07
1949,1.1780409536754632e-08,1.4038322149190208e-07
1950,2.7651939404904624e-08,1.35069086582007e-07
1951,2.0256663901818683e-08,1.3006909682644618e-07
1952,1.370824520563474e-08,1.1388388543309702e-07
1953,2.3702419582605216e-08,1.1743471617364776e-07
1954,9.772536557761669e-09,1.3779275320757733e-07
1955,1.5016972554349195e-08,1.351527600945701e-07
1956,2.703553825256222e-08,1.1773541075399407e-07
1957,3.268964121616591e-08,1.219235201688207e-07
1958,9.099467845885556e-09,1.0836638608680005e-07
1959,1.1626121398933265e-08,1.2866240695075248e-07
1960,1.1765417085030094e-08,1.584870830129148e-07
1961,2.014966149488373e-08,1.4382689528247283e-07
1962,2.029426049432459e-08,1.3381527708133945e-07
1963,1.3578711488548834e-08,1.3578711843820201e-07
1964,7.300761772910391e-09,1.3506409857200197e-07
