year,trop_ADV au_ADP,trop_ADV faux_ADJ
1800,1.7733087815940962e-06,0.0
1801,1.412041228832095e-06,2.3811825844433088e-09
1802,1.2151472219557036e-06,0.0
1803,1.1702035180860548e-06,0.0
1804,1.6981615544864326e-06,0.0
1805,1.7114124375439133e-06,0.0
1806,1.25064434541855e-06,0.0
1807,1.1302412303848541e-06,0.0
1808,1.289396095671691e-06,0.0
1809,1.1927680816370412e-06,2.259030518203531e-09
1810,1.6006466694307164e-06,1.1700633351097167e-08
1811,1.271087967325002e-06,0.0
1812,1.1122258456452983e-06,0.0
1813,1.3142139323463198e-06,0.0
1814,1.0887503094636486e-06,0.0
1815,9.33239334699465e-07,2.697223555614414e-09
1816,1.175025204247504e-06,0.0
1817,1.4821434888290241e-06,0.0
1818,1.4698812265123706e-06,7.152706427149269e-09
1819,1.3218291314842645e-06,5.175524897538253e-09
1820,1.3765118183073355e-06,9.493184904840746e-09
1821,1.527544554846827e-06,0.0
1822,1.3173658999221516e-06,0.0
1823,1.1197083722436219e-06,2.9648061783404955e-09
1824,1.4046415799384704e-06,1.6000115010683658e-08
1825,1.4854782648399123e-06,2.641632912414593e-09
1826,1.1142100220240536e-06,0.0
1827,1.1198986840099678e-06,4.608636583469661e-09
1828,1.0685730558179785e-06,1.1006761724274838e-08
1829,1.2988361959287431e-06,1.714635211591542e-09
1830,1.2492891983129084e-06,0.0
1831,1.1615449011515011e-06,1.7150327380477393e-08
1832,1.1960493111473625e-06,0.0
1833,1.1259286338827224e-06,0.0
1834,1.098674260902044e-06,7.467624740797874e-09
1835,9.703442174213706e-07,3.781543966852041e-09
1836,1.1600014886425924e-06,6.720750067579218e-10
1837,1.0582951972537558e-06,0.0
1838,9.922719073074404e-07,0.0
1839,1.0242511052638292e-06,0.0
1840,1.075840373232495e-06,3.821813088222825e-09
1841,1.018299030874914e-06,6.420548537278137e-10
1842,1.0773474059533328e-06,6.708265054555795e-10
1843,1.1772473271776107e-06,0.0
1844,1.0356915254305932e-06,0.0
1845,1.008347226161277e-06,0.0
1846,1.0432721637698705e-06,0.0
1847,9.082188512365974e-07,3.235934187273415e-09
1848,9.1071910901519e-07,4.82713291560799e-09
1849,1.0046918532680138e-06,1.6758829879393033e-09
1850,8.526978945155861e-07,1.3577992064028876e-09
1851,9.564517995386268e-07,3.2247193804124663e-09
1852,1.1120012004539603e-06,1.4974254725075298e-08
1853,1.0886831205425551e-06,5.3747388761848924e-09
1854,1.0432894441692042e-06,7.79349651480743e-09
1855,1.099066707865859e-06,7.429711956774554e-09
1856,1.102741293834697e-06,2.5885946719483854e-09
1857,1.1783962463596254e-06,1.4644527812635033e-09
1858,1.0678000990083092e-06,8.31924928945682e-09
1859,1.2643866966755013e-06,9.675129142294736e-09
1860,1.0962355645460775e-06,7.781213007262977e-09
1861,1.1596554259085678e-06,1.0846716413936974e-08
1862,1.0558534313531709e-06,3.162590411776023e-09
1863,1.1088058045061189e-06,1.0988165932701577e-08
1864,1.1579268175410107e-06,2.8768367688059016e-09
1865,1.0576279692031676e-06,2.8241067262513297e-09
1866,1.0066953564091818e-06,2.432806400776144e-09
1867,9.579449624652625e-07,4.85281148598915e-09
1868,9.929146926879184e-07,4.939874287401835e-09
1869,1.1290695738352952e-06,9.278686263769487e-09
1870,1.0017382692240062e-06,4.013834153937523e-09
1871,9.229802913068852e-07,2.1242354542039266e-09
1872,9.63341108217719e-07,2.4189357183956872e-09
1873,1.0535368346609175e-06,2.3944017879529156e-09
1874,1.0897687161559588e-06,1.1949218503559678e-08
1875,1.19637127227179e-06,4.005069165202713e-09
1876,1.048983563123329e-06,6.04601479992084e-10
1877,1.0272979125147685e-06,1.2369631985365004e-09
1878,1.057444478647085e-06,3.6234530931267273e-09
1879,1.0385853101979592e-06,5.498392852132383e-09
1880,1.0595864523565979e-06,5.776061406947974e-09
1881,9.001507237371698e-07,4.183504653809678e-09
1882,1.0182739060837775e-06,0.0
1883,9.681227766122902e-07,3.159669414998234e-09
1884,1.002797716864734e-06,6.601696966868076e-10
1885,9.662007869337685e-07,4.511945039809007e-09
1886,9.57694055614411e-07,3.872078213618124e-09
1887,9.460411547479453e-07,2.6115698492645834e-09
1888,9.257297506337636e-07,3.1703073499755874e-09
1889,9.648310879128985e-07,1.0024218788373673e-08
1890,9.30067415083613e-07,2.1629475099871343e-08
1891,8.828294539853232e-07,3.824531802365527e-09
1892,9.139491226051177e-07,5.641661360300532e-09
1893,9.600971679901704e-07,6.158416554491453e-10
1894,9.187644423036545e-07,1.2603078580752936e-08
1895,1.0923785112026962e-06,9.027921521465032e-09
1896,9.352688152830524e-07,4.717623180994224e-09
1897,8.984792430055677e-07,4.661370844871726e-09
1898,9.115609600485186e-07,1.13167097914868e-09
1899,8.904928563424619e-07,4.4220627160029835e-09
1900,9.920102002070053e-07,5.19105292084987e-09
1901,8.450173254459514e-07,5.029864968975062e-09
1902,6.677985879832704e-07,2.9461704187383475e-09
1903,8.910363362701901e-07,5.400220270956879e-09
1904,7.836203508304607e-07,4.299700151477737e-09
1905,8.819737331577926e-07,9.28936660926638e-09
1906,8.276992957689799e-07,6.173021205313489e-09
1907,8.567977261009219e-07,9.257117739025489e-09
1908,8.108703468678868e-07,1.0313916831705683e-08
