year,beaucoup_ADV in_ADJ
1800,9.432493897065797e-09
1801,9.524730337773235e-09
1802,1.1189200677108602e-08
1803,5.851017448321727e-09
1804,0.0
1805,2.842877711017877e-09
1806,1.4408345627714425e-08
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,1.581321384946932e-08
1810,0.0
1811,1.2535384286138651e-08
1812,0.0
1813,0.0
1814,0.0
1815,1.3486118000116676e-08
1816,6.952811659743929e-09
1817,3.113746815941454e-09
1818,3.5763532135746345e-09
1819,2.070210003424222e-09
1820,2.3732962262101864e-09
1821,3.94459531705138e-09
1822,5.012807946513931e-09
1823,4.941343334508019e-09
1824,3.3684450784221553e-09
1825,2.641632912414593e-09
1826,3.5231937367541377e-09
1827,8.295545583791863e-09
1828,8.255071293206129e-09
1829,1.0287811491593857e-08
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,0.0
1833,1.2741991461950875e-08
1834,3.733812370398937e-09
1835,3.781543966852041e-09
1836,2.688300027031687e-09
1837,4.87052354003481e-09
1838,3.787297142565649e-09
1839,2.0974426639952526e-09
1840,1.9109065441114126e-09
1841,1.926164561183441e-09
1842,2.0124795163667386e-09
1843,1.0041748765843295e-08
1844,4.390849017710252e-09
1845,3.9061593959388574e-09
1846,4.6836010625384006e-09
1847,8.089835468183537e-09
1848,8.045221711050488e-10
1849,1.6758829879393033e-09
1850,3.394498016007219e-09
1851,1.9348316282474798e-09
1852,5.859490670445666e-09
1853,2.9859659189668264e-09
1854,4.676098175337984e-09
1855,4.776243400783642e-09
1856,1.5531567143511893e-09
1857,2.9289055625270066e-09
1858,1.9574704079872163e-09
1859,9.165912473463322e-09
1860,5.034902272882391e-09
1861,4.2443675241088386e-09
1862,2.2589932147099034e-09
1863,3.995696662428827e-09
1864,3.3563094525845827e-09
1865,5.6482134525026595e-09
1866,4.865612801552288e-09
1867,9.7056229719783e-10
1868,9.87974813071446e-10
1869,3.906815315701806e-09
1870,2.2936195165357276e-09
1871,4.248470908407853e-09
1872,1.8142017887967654e-09
1873,5.387403856360606e-09
1874,4.182226565063729e-09
1875,6.293679799540541e-09
1876,1.209202959984168e-09
1877,3.0924081073635534e-09
1878,2.4156354694326865e-09
1879,8.55305515301552e-09
1880,1.9253538763308597e-09
1881,7.669758161910067e-09
1882,3.3276925659464496e-09
1883,3.791603475633565e-09
1884,6.601696966868076e-10
1885,7.7347630522695e-09
1886,3.2267319927115068e-09
1887,1.9586774424595887e-09
1888,2.53624587998047e-09
1889,5.012109394186837e-09
1890,3.2771931834929546e-09
1891,4.461953917456185e-09
1892,3.761107425503951e-09
1893,3.695050043717174e-09
1894,5.041231432301174e-09
1895,2.4074457982692365e-09
1896,1.179405795248556e-09
1897,1.1653427112179315e-09
1898,5.6583546736987955e-09
1899,3.8693048765026106e-09
