year,trop_ADV in_ADJ,trop_ADV fines_ADJ
1800,3.144164439916608e-08,8.17482743720177e-08
1801,1.1905912700171939e-08,8.096020565062645e-08
1802,4.4756802708434407e-08,1.0070280609397742e-07
1803,3.705644502360883e-08,8.971560561121805e-08
1804,2.4718509905596875e-08,1.507829097135982e-07
1805,2.2743021688143017e-08,4.5486043376286034e-08
1806,3.1698359492793315e-08,5.76333825108577e-08
1807,7.117387923472052e-08,8.540865792383556e-09
1808,1.5862518409903714e-08,3.172503681980743e-08
1809,1.5813214071513926e-08,1.8072244145628247e-08
1810,3.2761775514700275e-08,8.89248141788812e-08
1811,3.008491944456182e-08,2.5070767684098882e-09
1812,1.3336041604361526e-08,5.867858021701977e-08
1813,3.4508900625951355e-08,5.176335093892703e-08
1814,9.440030979135372e-09,6.922689976818219e-08
1815,1.6183340889597275e-08,5.1247248222807684e-08
1816,3.7081662185300956e-08,5.5622493277951435e-08
1817,2.3353100786493997e-08,6.227493543065066e-08
1818,2.6226590676969863e-08,4.887682791832049e-08
1819,1.3456364911235141e-08,5.796588098405664e-08
1820,5.6959108540866055e-08,7.001224133773576e-08
1821,3.155676253641104e-08,3.8459806006585495e-08
1822,3.408709403629473e-08,4.712039469723095e-08
1823,3.9530746676064155e-08,4.15072847204101e-08
1824,3.3684450784221553e-08,3.115811608722652e-08
1825,1.937197424695114e-08,2.201360693732113e-08
1826,3.170874407487645e-08,4.227832306469281e-08
1827,2.0278000334439383e-08,4.516463647519231e-08
1828,1.834460228167245e-08,3.944089499441361e-08
1829,2.4004892296147773e-08,3.8579290873030914e-08
1830,2.5048406016026092e-08,4.696576283436116e-08
1831,2.182768810143898e-08,2.9623292263636358e-08
1832,1.0823975493678972e-08,2.1647950987357945e-08
1833,2.6642345218874652e-08,3.4750886612755494e-08
1834,1.213489042584115e-08,2.42697808516823e-08
1835,1.9664028627630614e-08,2.8739734148075513e-08
1836,2.2850549896702432e-08,4.301280043250699e-08
1837,1.2524203896191466e-08,1.530736071231331e-08
1838,2.5879863585487328e-08,2.840472923537618e-08
1839,1.3982950020086093e-08,1.4682098203877558e-08
1840,1.0191501864653674e-08,1.592422138596561e-08
1841,1.412520722610111e-08,3.4028907691663335e-08
1842,2.750388716776797e-08,1.408735705865638e-08
1843,2.9534555467947143e-08,2.008349753168659e-08
1844,2.9089375408464235e-08,2.5247381074677833e-08
1845,1.0044410470033682e-08,2.1204865419122143e-08
1846,1.3465353276842507e-08,2.8101606375230404e-08
1847,7.550513103637968e-09,1.9954928376364478e-08
1848,1.769948809737798e-08,3.298540818263973e-08
1849,7.54147322368226e-09,2.011059585527164e-08
1850,1.2220192857625989e-08,3.055048125588655e-08
1851,2.3862924081186065e-08,2.96674187438839e-08
1852,1.3021090428111393e-08,5.078225484567156e-08
1853,1.4929829816878737e-08,2.8068079416243563e-08
1854,1.7145692865483397e-08,3.6889218124613876e-08
1855,2.0697054736729115e-08,3.767925349507095e-08
1856,1.8637882071015355e-08,3.4169449492083004e-08
1857,1.2203773103180993e-08,3.514686497396724e-08
1858,1.761723389392955e-08,2.5447115470367265e-08
1859,2.5970084749360467e-08,4.430190814197488e-08
1860,1.2816115280145368e-08,3.4328881071132855e-08
1861,1.5562680033553988e-08,4.527325359049428e-08
1862,1.536115412648087e-08,3.11741068514948e-08
1863,1.2486552236623538e-08,1.6981710260211003e-08
1864,2.1096802860220976e-08,2.0137857603685916e-08
1865,1.2237795665726026e-08,4.047886292823932e-08
1866,1.6056523222118813e-08,4.5736761933312664e-08
1867,1.7955402498159856e-08,3.688136729351754e-08
1868,8.397785578040384e-09,3.260316849829081e-08
1869,7.81363052038131e-09,3.41846337903462e-08
1870,2.695002976338401e-08,4.013834242755365e-08
1871,1.911811864374613e-08,4.779529660936532e-08
1872,3.084143074261192e-08,3.809823923006661e-08
1873,2.0352414864532875e-08,2.6338419445437466e-08
1874,1.6131444624534197e-08,2.330097603753245e-08
1875,1.2587359599081083e-08,5.435450733948244e-08
1876,9.67362345782874e-09,4.53451107773617e-08
1877,1.9172929910382663e-08,1.9172929466293454e-08
1878,1.9325083755461492e-08,3.985798358030479e-08
1879,1.0385853066452455e-08,3.237942536316041e-08
1880,1.1552122813895949e-08,3.0805662021293756e-08
1881,1.2550513517339823e-08,3.2770785196589713e-08
1882,8.652000893505374e-09,4.19289278852375e-08
1883,8.21514056781325e-09,3.917990198942789e-08
1884,1.3203393933736152e-08,2.6406787867472303e-08
1885,9.023890079618013e-09,1.6758653187398664e-08
1886,1.0970888586481209e-08,4.775563211545375e-08
1887,1.1099172247952538e-08,2.6768590899450828e-08
1888,1.6485598663962264e-08,3.297119732792453e-08
1889,7.51816386923565e-09,3.32052249585324e-08
1890,7.209825181320184e-09,3.6704562944578356e-08
1891,1.3385862196457765e-08,3.952016314201501e-08
1892,1.002961980134387e-08,3.949162952210372e-08
1893,1.539604177480669e-08,4.249307400394642e-08
1894,5.671385139294216e-09,4.915200690902566e-08
1895,1.2639090662958097e-08,2.1065151400989635e-08
1896,1.6511680911435178e-08,2.4767521367152767e-08
1897,1.6314798068073344e-08,4.136966680334808e-08
1898,1.6975064909274806e-08,4.7530182456512193e-08
1899,8.844125432005967e-09,2.2110313580014918e-08
1900,1.349673794948103e-08,2.7512582434496835e-08
1901,7.824234593556412e-09,4.750427973210236e-08
1902,8.347482705062248e-09,3.780918689244572e-08
1903,6.480264325148255e-09,4.428180488957878e-08
1904,5.374625189347171e-09,3.171028950532673e-08
1905,9.805441791854719e-09,4.69629064525634e-08
1906,8.745113966313056e-09,6.430230570231288e-08
1907,8.228549397415463e-09,6.788553008618692e-08
1908,5.893666887857307e-09,4.862275204686739e-08
1909,1.1552065082298668e-08,7.426327530701826e-08
1910,1.4963621453034648e-08,4.970060063502757e-08
