year,trop_ADV in_ADJ,trop_ADV fine_ADJ
1800,3.144164439916608e-08,1.131899196593622e-07
1801,1.1905912700171939e-08,1.0953439755212457e-07
1802,4.4756802708434407e-08,8.056224487518193e-08
1803,3.705644502360883e-08,8.776526527753958e-08
1804,2.4718509905596875e-08,7.415552971679062e-08
1805,2.2743021688143017e-08,5.970043304159844e-08
1806,3.1698359492793315e-08,6.627838899930794e-08
1807,7.117387923472052e-08,8.256169792275614e-08
1808,1.5862518409903714e-08,6.798222074166915e-08
1809,1.5813214071513926e-08,3.840352036377226e-08
1810,3.2761775514700275e-08,1.263668423234776e-07
1811,3.008491944456182e-08,2.0056614147279106e-08
1812,1.3336041604361526e-08,7.734903562095496e-08
1813,3.4508900625951355e-08,1.0352670187785407e-07
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,1.6183340889597275e-08,5.933891955578474e-08
1816,3.7081662185300956e-08,6.257530316133852e-08
1817,2.3353100786493997e-08,5.60474440192138e-08
1818,2.6226590676969863e-08,7.74876554032744e-08
1819,1.3456364911235141e-08,1.0351050150347874e-07
1820,5.6959108540866055e-08,7.831877724129299e-08
1821,3.155676253641104e-08,6.015507891810046e-08
1822,3.408709403629473e-08,9.42407893944619e-08
1823,3.9530746676064155e-08,6.522573414713406e-08
1824,3.3684450784221553e-08,9.179012749882531e-08
1825,1.937197424695114e-08,6.33991930065747e-08
1826,3.170874407487645e-08,6.253669226907732e-08
1827,2.0278000334439383e-08,6.544264152807955e-08
1828,1.834460228167245e-08,4.127535407905114e-08
1829,2.4004892296147773e-08,7.11573591161141e-08
1830,2.5048406016026092e-08,7.097048637660919e-08
1831,2.182768810143898e-08,8.886987301615079e-08
1832,1.0823975493678972e-08,9.065079753511895e-08
1833,2.6642345218874652e-08,6.02348677603004e-08
1834,1.213489042584115e-08,6.627517024071494e-08
1835,1.9664028627630614e-08,6.731148260996633e-08
1836,2.2850549896702432e-08,7.661655132551459e-08
1837,1.2524203896191466e-08,9.601889416899212e-08
1838,2.5879863585487328e-08,6.56464820281144e-08
1839,1.3982950020086093e-08,7.341049279574463e-08
1840,1.0191501864653674e-08,4.458781999172601e-08
1841,1.412520722610111e-08,3.980739915476761e-08
1842,2.750388716776797e-08,4.293289590506788e-08
1843,2.9534555467947143e-08,7.088293330070883e-08
1844,2.9089375408464235e-08,7.354672248993666e-08
1845,1.0044410470033682e-08,4.8547981634783355e-08
1846,1.3465353276842507e-08,3.39561074813588e-08
1847,7.550513103637968e-09,4.0449176452739266e-08
1848,1.769948809737798e-08,4.34441957963827e-08
1849,7.54147322368226e-09,4.524883934209356e-08
1850,1.2220192857625989e-08,4.3449574604892405e-08
1851,2.3862924081186065e-08,5.159551008659946e-08
1852,1.3021090428111393e-08,5.924596480078037e-08
1853,1.4929829816878737e-08,6.569125332589465e-08
1854,1.7145692865483397e-08,8.884585867008354e-08
1855,2.0697054736729115e-08,6.102978034050466e-08
1856,1.8637882071015355e-08,4.814786080942213e-08
1857,1.2203773103180993e-08,5.4672902649599564e-08
1858,1.761723389392955e-08,6.997957058274551e-08
1859,2.5970084749360467e-08,5.754155907311542e-08
1860,1.2816115280145368e-08,4.4398683035629105e-08
1861,1.5562680033553988e-08,9.573406301033316e-08
1862,1.536115412648087e-08,7.319138006778303e-08
1863,1.2486552236623538e-08,6.19332996554256e-08
1864,2.1096802860220976e-08,7.671564927758112e-08
1865,1.2237795665726026e-08,8.142841068092821e-08
1866,1.6056523222118813e-08,6.811858099808887e-08
1867,1.7955402498159856e-08,9.7056229719783e-08
1868,8.397785578040384e-09,6.619431047738544e-08
1869,7.81363052038131e-09,8.594993516908289e-08
1870,2.695002976338401e-08,8.027668174648284e-08
1871,1.911811864374613e-08,8.284518160373011e-08
1872,3.084143074261192e-08,8.163907760927458e-08
1873,2.0352414864532875e-08,9.817047474935947e-08
1874,1.6131444624534197e-08,6.333085877940903e-08
1875,1.2587359599081083e-08,6.865832347102696e-08
