year,trop_ADV utile_ADJ,trop_ADV futile_ADJ
1800,8.174827570428533e-08,2.2009151834367913e-08
1801,1.500145003774378e-07,3.095537337571841e-08
1802,8.503792514602537e-08,1.1189200677108602e-08
1803,1.170203560718619e-07,2.7304748684287006e-08
1804,1.7797326279378467e-07,2.4718509461507665e-09
1805,1.1655798459742073e-07,0.0
1806,9.797675204481493e-08,1.4408345627714425e-08
1807,1.2811298688575334e-07,2.8469550272802735e-08
1808,1.2690014727922971e-07,1.5862518409903714e-08
1809,1.0617443280125372e-07,6.7770917766551975e-09
1810,1.1232608443378922e-07,0.0
1811,6.769107585569145e-08,4.512738271955641e-08
1812,2.400487453257938e-08,0.0
1813,4.3136125782439194e-08,2.8757416004054903e-08
1814,6.293354459785405e-08,0.0
1815,7.282503844407984e-08,8.091670444798638e-09
1816,1.0660977523002657e-07,2.3176038865813098e-08
1817,8.56280379935015e-08,4.670620334934483e-09
1818,1.227881227805483e-07,5.960588467246453e-09
1819,1.0040518816367694e-07,2.4842520929269085e-08
1820,9.137190204455692e-08,3.5599443393152796e-09
1821,1.4496387734652671e-07,6.903041693817613e-09
1822,6.215881853677274e-08,2.0051231786055723e-09
1823,1.2649839220557624e-07,1.2847493402468046e-08
1824,5.642145595174952e-08,1.431589158329416e-08
1825,7.04435478837695e-08,5.283265824829186e-09
1826,7.134467239211517e-08,1.4973572604048968e-08
1827,9.309445658800541e-08,9.217273166939322e-09
1828,7.521286704559316e-08,6.420610709767516e-09
1829,5.401101077495696e-08,1.2002446148073886e-08
1830,9.288783786587373e-08,1.6698937344017395e-08
1831,4.5214498811674275e-08,3.274153215215847e-08
1832,5.817886972181441e-08,1.488296597074168e-08
1833,1.01935931695607e-07,8.108539617524002e-09
1834,8.961149688957448e-08,1.0267983796552471e-08
1835,4.764745398233572e-08,1.8151411040889798e-08
1836,6.787957573806125e-08,6.72075017860152e-09
1837,5.914207434898344e-08,6.957891152126194e-09
1838,5.7440672662778525e-08,5.049729523420865e-09
1839,3.705481788074394e-08,2.3771015378315496e-08
1840,6.688173215252391e-08,1.46502836528839e-08
1841,6.163726595787011e-08,2.43980835534785e-08
1842,8.251166150330391e-08,3.3541326160957396e-08
1843,3.7804230856863796e-08,1.7720733325177207e-08
1844,3.951764071530306e-08,1.5916826967554698e-08
1845,2.5669049108500985e-08,9.48638767539478e-09
1846,4.039605983052752e-08,4.6836010625384006e-09
1847,5.015698079091635e-08,2.1572894581822766e-09
1848,5.712107409294731e-08,9.65426583121598e-09
1849,3.9383248662261394e-08,6.703531951757213e-09
1850,4.955967014552698e-08,1.0183494048021657e-08
1851,3.9341575330809064e-08,9.029214709244116e-09
1852,4.687592536356533e-08,1.0416872697760482e-08
1853,5.4941772020811186e-08,2.329053394589664e-08
1854,5.7152309551611324e-08,9.352196350675968e-09
1855,8.278821894691646e-08,1.1144567935161831e-08
1856,4.0899795550330964e-08,3.1063134287023786e-08
1857,4.881509241272397e-08,2.4407544874094356e-09
1858,5.627727261980908e-08,2.936205500958522e-09
1859,3.971895168319861e-08,2.5970084749360467e-08
1860,3.8448344952257685e-08,1.0069804545764782e-08
1861,5.1875602480322414e-08,8.017138064531082e-09
1862,4.021007882215599e-08,9.487771457372673e-09
1863,3.696019490462277e-08,9.989241434027463e-09
1864,3.2604148714199255e-08,8.151037178549814e-09
1865,4.5185707620021276e-08,9.88437331983505e-09
1866,3.795178216137174e-08,1.0704348518686402e-08
1867,4.2219461704462447e-08,1.2132028714972876e-08
1868,5.335063946176888e-08,3.457911734727759e-09
1869,4.49283774628384e-08,4.883519366671862e-09
1870,5.045962936378601e-08,1.0321287824410774e-08
1871,6.478918379571041e-08,1.1683295220166201e-08
1872,2.7213026498884574e-08,1.3304146118109372e-08
1873,4.669083608632718e-08,8.979006871356887e-09
1874,5.974609251779839e-08,1.2546679251101978e-08
1875,7.495200549101355e-08,2.1169650921137873e-08
1876,3.3253080289341597e-08,1.209202959984168e-08
1877,5.6281827198745304e-08,2.288381928394756e-08
1878,2.6571990829893366e-08,1.3889904337816006e-08
1879,4.581993806596074e-08,1.0385853066452455e-08
1880,3.273101611966922e-08,1.0910338410496934e-08
1881,3.974329487732575e-08,1.673401861523871e-08
1882,2.861815673327328e-08,4.6587693702804245e-09
1883,4.613117354779206e-08,9.479008689083912e-09
1884,1.9805090900604227e-08,5.281357573494461e-09
1885,1.933690718658454e-08,1.8692343672910283e-08
1886,3.291266637006629e-08,1.2261581083805595e-08
1887,3.264462478114183e-08,1.632231128034789e-08
1888,6.086990111953128e-08,1.6485598663962264e-08
1889,4.0723389105323804e-08,6.891650361495749e-09
1890,3.47382496102e-08,6.554386366985909e-09
1891,3.952016314201501e-08,7.649063937797962e-09
1892,4.199903358426127e-08,3.761107425503951e-09
1893,6.158416709922676e-08,1.1700991287000306e-08
1894,3.465846631911518e-08,1.0712616793639995e-08
1895,4.4537745935713247e-08,6.6204757231957956e-09
1896,2.5357223876198987e-08,1.0024948871034667e-08
1897,3.029891004757701e-08,6.992056267307589e-09
1898,3.281845906144554e-08,7.355861253444118e-09
1899,3.4823742112166656e-08,4.4220627160029835e-09
1900,3.73755817406618e-08,9.34389543516545e-09
1901,3.912117207960364e-08,4.470991132876634e-09
1902,4.1246384085980026e-08,7.856454153909453e-09
1903,1.7820726228023887e-08,6.480264325148255e-09
1904,2.6335662539622717e-08,3.2247751136083025e-09
1905,4.489860216949637e-08,7.225062603755106e-09
1906,2.211999294843281e-08,2.572092316910357e-09
1907,3.3428481316377656e-08,2.057137349353866e-09
1908,2.9468335327464956e-08,8.840499887696751e-09
1909,3.6306492035009796e-08,8.251475058784763e-09
1910,4.4890864359103944e-08,1.2825961626106164e-08
1911,3.511446777793026e-08,9.576673454247953e-09
1912,3.3861237369592345e-08,5.730363294986773e-09
1913,2.9166443482608884e-08,7.42418571064718e-09
1914,3.4823067096567684e-08,2.678697486047099e-09
1915,2.8273827723523937e-08,1.295883844676382e-08
1916,2.307367097387214e-08,4.394984820521586e-09
1917,2.52227767560953e-08,1.0966424213165737e-08
1918,3.445912710731136e-08,4.594550517822427e-09
1919,3.867296172188617e-08,1.2890987832747669e-08
1920,1.665890891899835e-08,1.665890891899835e-08
