year,long_ADJ anneau_NOUN,long_ADJ canot_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,1.950339223455444e-09
1804,0.0,2.4718509461507665e-09
1805,1.421438877713399e-08,1.1371510844071508e-08
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,3.5763532135746345e-09,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,0.0
1821,0.0,3.94459531705138e-09
1822,0.0,0.0
1823,6.917880934764753e-09,0.0
1824,9.263223965660927e-09,0.0
1825,1.3208164340028361e-08,0.0
1826,8.80798456392995e-09,8.80798456392995e-09
1827,9.217273166939322e-09,6.452091305675367e-09
1828,0.0,0.0
1829,8.57317605795771e-10,2.571952872898464e-09
1830,1.2524203008013046e-08,0.0
1831,4.677361609140007e-09,9.354723218280014e-09
1832,0.0,2.3000948701223933e-08
1833,0.0,1.1583628500844156e-09
1834,0.0,3.733812370398937e-09
1835,0.0,2.2689263801112247e-09
1836,5.376600054063374e-09,8.064899859050456e-09
1837,0.0,2.0873671680021744e-09
1838,1.8936485712828244e-09,1.8936485712828244e-09
1839,0.0,2.0974426639952526e-09
1840,6.3696887764308485e-09,1.2739377330817092e-09
1841,0.0,1.926164561183441e-09
1842,0.0,6.708265054555795e-10
1843,4.7255288571079745e-09,1.7720733769266417e-09
1844,2.7442805805577564e-09,0.0
1845,2.2320911785556063e-09,4.464182357111213e-09
1846,5.854501328173001e-10,2.9272506640865004e-09
1847,4.314578916364553e-09,5.393223645455691e-10
1848,4.82713291560799e-09,0.0
1849,0.0,1.6758829879393033e-09
1850,2.0366988096043315e-09,2.0366988096043315e-09
1851,6.449438760824933e-10,2.579775504329973e-09
1852,2.6042181744401205e-09,3.2552727180501506e-09
1853,0.0,1.1943863675867306e-09
1854,5.195664454227256e-10,1.0391328908454511e-09
1855,0.0,5.306937111981824e-09
1856,1.5531567143511893e-09,5.177189232874468e-10
1857,6.8341128311999455e-09,4.881509085841174e-10
1858,4.893676019968041e-10,9.787352261980686e-09
1859,8.147477359443656e-09,2.036869339860914e-09
1860,3.661747127736703e-09,9.154367819341758e-10
1861,1.8863854922557266e-09,4.715963619617014e-09
1862,2.710791813242963e-09,4.517986429419807e-09
1863,2.9967726078439227e-09,3.496234635136375e-09
1864,1.9178911792039344e-09,1.4384183844029508e-09
1865,4.706844358715045e-10,4.706844358715045e-10
1866,0.0,9.731225825149181e-10
1867,9.7056229719783e-10,4.85281148598915e-10
1868,1.4819622196071691e-09,2.4699371437009177e-09
1869,6.348574999037737e-09,5.860222973552709e-09
1870,3.4404292748035914e-09,5.734048791339319e-10
1871,4.248470908407853e-09,0.0
1872,1.8142017887967654e-09,3.0236697590169115e-09
1873,0.0,0.0
1874,5.974609140757536e-10,1.7923826867161097e-09
1875,4.005069165202713e-09,2.8607636259891933e-09
1876,2.418405919968336e-09,1.209202959984168e-09
1877,6.184815992682502e-10,1.2369631985365004e-09
1878,4.22736201599605e-09,2.4156354694326865e-09
1879,1.832797580370027e-09,2.443730107160036e-09
1880,3.2089231272180996e-09,1.9253538763308597e-09
1881,0.0,1.3945015142624584e-09
1882,5.989846840748214e-09,6.655385131892899e-10
1883,2.5277355764075082e-09,6.951272890631799e-09
1884,5.941527270181268e-09,6.601696966868076e-10
1885,7.7347630522695e-09,0.0
1886,3.872078213618124e-09,0.0
1887,7.1818169189441505e-09,6.528924623161458e-10
1888,5.706553452000662e-09,3.1703073499755874e-09
1889,1.2530273485467092e-09,4.385595886446936e-09
1890,1.9663159989136147e-09,6.554386478008212e-10
1891,1.2748440081367107e-09,1.2748440081367107e-09
1892,6.268512375839919e-10,3.1342561879199593e-09
1893,1.2316833108982905e-09,5.542574843531156e-09
1894,0.0,6.301539290376468e-10
1895,6.018614495673091e-10,0.0
1896,0.0,0.0
1897,5.826713334045053e-09,0.0
1898,6.224190496340043e-09,5.6583548957434e-10
1899,0.0,0.0
1900,2.595526460424935e-09,1.038210628578895e-09
1901,5.588738916095792e-10,0.0
1902,1.4730852093691738e-09,4.910283846193408e-10
1903,5.400220270956879e-10,3.2401321625741275e-09
1904,1.0749250378694342e-09,0.0
1905,3.096455536422127e-09,1.5482277682110634e-09
1906,6.6874399351490865e-09,8.230695236477459e-09
1907,1.5428529565042481e-09,5.142843373384665e-10
1908,4.911389073214423e-10,9.822778146428846e-10
1909,1.1001967115120692e-09,2.7504918342913243e-09
1910,2.67207544979442e-09,5.344150677544235e-10
1911,5.320374141248863e-10,0.0
