year,long_ADJ or_NOUN,long_ADJ corps_NOUN
1800,0.0,7.545995117652637e-08
1801,0.0,1.6668277424969347e-08
1802,2.2378401354217203e-09,3.3567602031325805e-08
1803,9.751696339321825e-09,3.1205427575287104e-08
1804,0.0,4.943701892301533e-09
1805,0.0,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,2.2775640928784924e-08
1808,0.0,1.3596443970698147e-08
1809,4.518061036407062e-09,2.259030518203531e-09
1810,0.0,3.978215445954447e-08
1811,0.0,0.0
1812,2.6672082320544632e-09,2.1337665856435706e-08
1813,5.751483289628823e-09,2.0130190847567064e-08
1814,0.0,0.0
1815,0.0,2.6972236000233352e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,3.580808893843823e-08
1818,0.0,1.3113295338484932e-08
1819,1.035105001712111e-09,9.315945348475907e-09
1820,0.0,5.933240565525466e-09
1821,0.0,7.88919063410276e-09
1822,0.0,1.7043547018147365e-08
1823,0.0,3.5577674140085946e-08
1824,0.0,9.263223965660927e-09
1825,0.0,2.641632912414593e-09
1826,8.807984341885344e-10,1.145037931138404e-08
1827,0.0,1.013900075008678e-08
1828,0.0,1.1923991571904935e-08
1829,0.0,8.573175946935407e-09
1830,1.0436835840010872e-09,2.817945699007396e-08
1831,0.0,2.494592976631793e-08
1832,1.3529969367098715e-09,1.6235963684607668e-08
1833,2.3167257001688313e-09,3.938433579264711e-08
1834,9.334530925997342e-10,3.360431222176885e-08
1835,7.563087933704082e-10,5.3697924329298985e-08
1836,2.016224964762614e-09,2.083432448785061e-08
1837,0.0,1.2524203896191466e-08
1838,1.2624323808552163e-09,1.830527018853445e-08
1839,2.7965900706306e-09,2.027527834513876e-08
1840,0.0,3.184844388215424e-08
1841,9.630822805917205e-09,1.5409316489467528e-08
1842,0.0,2.683306021822318e-08
1843,2.3627644285539873e-09,1.5357969118667825e-08
1844,5.488561272137815e-10,1.3721403568922597e-08
1845,0.0,1.0602432709561072e-08
1846,0.0,2.6930706553685013e-08
