year,long_ADJ as_NOUN,long_ADJ casse_NOUN
1800,4.087413785214267e-08,0.0
1801,0.0,0.0
1802,6.713520406265161e-09,0.0
1803,7.801356893821776e-09,0.0
1804,1.730295728918918e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,1.7081731584767113e-08,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,6.227493631882908e-09,0.0
1818,4.768470951432846e-09,0.0
1819,6.210630232317271e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,9.861488514673056e-09,0.0
1822,2.0051231786055723e-09,0.0
1823,1.581229902569703e-08,0.0
1824,1.0105335235266466e-08,0.0
1825,7.924898959288385e-09,0.0
1826,1.8496766784892316e-08,0.0
1827,3.6869092223668076e-09,0.0
1828,9.172301140836225e-09,0.0
1829,2.571952872898464e-09,0.0
1830,1.1480519646056564e-08,0.0
1831,9.354723218280014e-09,4.677361609140007e-09
1832,5.411987746839486e-09,0.0
1833,9.266902800675325e-09,1.1583628500844156e-09
1834,1.5868701908061666e-08,0.0
1835,3.781543966852041e-09,0.0
1836,4.704525213838906e-09,0.0
1837,5.5663127440652715e-09,0.0
1838,6.312161904276081e-10,0.0
1839,1.11863602825224e-08,0.0
1840,5.095750932326837e-09,0.0
1841,1.926164561183441e-09,0.0
1842,4.024959032733477e-09,0.0
1843,4.134837805480629e-09,0.0
1844,3.2931368743049916e-09,0.0
1845,8.37034175305007e-09,0.0
1846,5.269050973311096e-09,0.0
1847,9.707802561820245e-09,0.0
1848,1.045878850192139e-08,0.0
1849,1.256912263158938e-08,0.0
1850,3.394498016007219e-09,0.0
1851,5.159551008659946e-09,0.0
1852,1.4974254725075298e-08,0.0
1853,1.791579506971175e-08,0.0
