year,long_ADJ an_NOUN,long_ADJ camp_NOUN
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,1.556873407970727e-09
1818,3.5763532135746345e-09,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,8.807984341885344e-10,0.0
1827,1.8434546111834038e-09,0.0
1828,0.0,0.0
1829,8.57317605795771e-10,9.430493719264632e-09
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,9.470978667991403e-09
1833,3.4750886612755494e-09,0.0
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,1.5126175867408165e-09
1836,6.720750067579218e-10,0.0
1837,0.0,0.0
1838,0.0,4.418513555037862e-09
1839,6.9914751765765e-10,0.0
1840,0.0,3.1848443882154243e-09
1841,0.0,0.0
1842,0.0,6.708265054555795e-10
1843,5.906911071384968e-10,0.0
1844,1.097712254427563e-09,0.0
1845,5.580227946389016e-10,0.0
1846,5.854501328173001e-10,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
1851,0.0,0.0
1852,6.510545436100301e-10,0.0
1853,1.1943863675867306e-09,1.7915795513800958e-09
1854,1.0391328908454511e-09,0.0
1855,5.306937111981824e-10,0.0
1856,5.177189232874468e-10,5.694908100650764e-09
1857,0.0,0.0
1858,0.0,4.893676019968041e-10
1859,5.092173349652285e-10,0.0
1860,4.577183909670879e-10,0.0
1861,4.715963730639317e-10,0.0
1862,9.035972525772706e-10,3.162590411776023e-09
1863,1.9978483312144135e-09,0.0
1864,1.4384183844029508e-09,0.0
1865,4.706844358715045e-10,4.706844358715045e-10
1866,1.4596839292835284e-09,0.0
1867,4.85281148598915e-10,4.85281148598915e-10
1868,4.93987406535723e-10,0.0
1869,9.767038289254515e-10,0.0
1870,5.734048791339319e-10,0.0
1871,2.1242354542039266e-09,0.0
1872,1.2094678591978436e-09,0.0
1873,5.986004469882289e-10,2.3944017879529156e-09
1874,5.974609140757536e-10,0.0
1875,0.0,0.0
1876,6.04601479992084e-10,0.0
1877,6.184815992682502e-10,0.0
1878,0.0,0.0
1879,6.10932526790009e-10,5.498392852132383e-09
1880,2.5671385017744797e-09,0.0
1881,0.0,2.091752326904839e-09
1882,0.0,0.0
1883,6.319338941018771e-10,0.0
1884,1.3203393933736152e-09,5.281357573494461e-09
1885,1.2891271383708158e-09,0.0
1886,6.453463874400711e-10,0.0
1887,6.528924623161458e-10,0.0
1888,6.340614699951175e-10,1.9021844099853524e-09
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,6.268512375839919e-10,0.0
1893,6.158416554491453e-10,0.0
1894,0.0,0.0
1895,6.018614495673091e-10,0.0
1896,5.89702897624278e-10,2.358811590497112e-09
1897,1.1653427112179315e-09,0.0
1898,5.6583548957434e-10,0.0
1899,0.0,0.0
1900,5.191053142894475e-10,0.0
1901,5.588738916095792e-10,0.0
1902,4.910283846193408e-10,4.910283846193408e-10
1903,0.0,0.0
1904,7.524475265086039e-09,0.0
1905,1.0321518084666081e-09,0.0
1906,5.144184522798412e-10,0.0
1907,1.5428529565042481e-09,0.0
1908,4.911389073214423e-10,4.911389073214423e-10
1909,0.0,1.1001967115120692e-09
1910,1.068830135508847e-09,0.0
1911,0.0,1.0640748282497725e-09
1912,0.0,5.209421227725386e-10
1913,1.060597942803554e-09,2.121195885607108e-09
1914,6.696743715117748e-10,6.696743715117748e-10
1915,1.1780761921542648e-09,0.0
1916,0.0,0.0
1917,1.0966424435210342e-09,0.0
1918,1.1486376294556067e-09,0.0
1919,0.0,0.0
1920,0.0,1.514446346106979e-09
1921,1.5145494858259667e-09,7.572747429129834e-10
1922,2.2133805899215986e-09,0.0
1923,2.1231896241147297e-09,0.0
1924,1.289162443462999e-09,0.0
1925,1.0998177923937646e-09,3.299453377181294e-09
1926,0.0,0.0
1927,1.1149224876660924e-09,0.0
1928,1.1426041224282812e-09,0.0
1929,1.1140406375176326e-09,0.0
1930,9.453243299262226e-09,0.0
1931,1.1405356659111021e-09,0.0
1932,0.0,0.0
1933,3.4411986593596566e-09,0.0
1934,0.0,0.0
1935,2.393656828303392e-09,4.787313656606784e-09
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,1.5294050470515685e-09,0.0
1940,0.0,2.5357829169792012e-09
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,4.357008087652048e-09
1946,0.0,0.0
1947,0.0,1.1920870957027319e-09
1948,0.0,1.0871887834440486e-09
1949,0.0,0.0
1950,0.0,0.0
1951,0.0,0.0
1952,2.1089607837865287e-09,0.0
1953,1.0773827385790469e-09,0.0
1954,0.0,1.9545072227344917e-09
1955,1.8771215692936494e-09,0.0
1956,8.72114158667614e-10,0.0
1957,3.534015080575159e-09,8.835037701437898e-10
1958,8.272243445794913e-10,0.0
1959,1.5501495642666896e-09,0.0
1960,6.920833350854139e-10,0.0
1961,3.47407969059077e-09,0.0
1962,1.2683912808952869e-09,6.341956404476434e-10
1963,3.879632060055371e-09,0.0
1964,3.0419841090534305e-09,0.0
1965,6.019247600352884e-09,1.6416130677043839e-09
1966,0.0,0.0
1967,2.9582014060558492e-09,0.0
1968,2.5151928956246294e-08,1.3474247273492779e-09
1969,2.134626153615926e-08,0.0
1970,2.0234389830342536e-08,0.0
1971,2.0553589941130213e-09,2.0553589941130213e-09
1972,4.104117490300041e-09,0.0
1973,1.1577727720979425e-08,0.0
1974,3.037808582462276e-08,5.625571675160757e-10
1975,6.282628195464213e-09,1.1422960355389478e-09
1976,1.5426522226302808e-08,1.7140580066410394e-09
1977,3.5260691033656144e-09,2.938390863960194e-09
1978,5.346532216954358e-09,0.0
1979,1.7555920051037788e-09,0.0
1980,1.1370301367108482e-09,5.685150683554241e-10
1981,3.795329828193417e-09,1.2651099057237047e-09
1982,6.20750217894539e-09,0.0
1983,1.8945948143667124e-09,0.0
1984,2.203623328256299e-08,0.0
1985,7.820225356169885e-09,0.0
1986,4.196139880008332e-09,0.0
1987,3.055408481777988e-09,0.0
1988,2.3986214681137596e-09,0.0
1989,5.488122178931576e-10,0.0
1990,1.634595292454577e-09,5.44865097484859e-10
1991,2.344586080837985e-09,0.0
1992,6.0609386398624565e-09,2.2039776670368383e-09
1993,3.877445309274918e-09,0.0
1994,2.1099705871385765e-09,1.5824779264761446e-09
1995,1.1387146947594573e-08,0.0
1996,8.540947726842774e-09,0.0
1997,6.233362714880286e-09,1.438468344439059e-09
1998,7.629006759657386e-09,0.0
1999,9.14040199084809e-09,0.0
2000,1.2370488633450805e-08,0.0
2001,1.051490838843705e-08,0.0
2002,3.767850331737321e-08,4.38122149670761e-10
2003,2.0834615144238455e-09,0.0
2004,2.1583476561559678e-08,0.0
2005,3.1526246058177776e-09,4.5037495954858286e-10
2006,2.470733950765691e-09,4.1178899179428186e-10
2007,4.793375307787784e-09,0.0
2008,4.6831836186811415e-09,0.0
2009,4.291373256748443e-09,9.53638501499654e-10
2010,2.3618964561933353e-09,0.0
2011,3.4415747474092484e-09,7.64794394481072e-10
2012,2.382976926895708e-09,6.808505426114664e-10
2013,2.5102125378317908e-09,2.789125042035323e-10
2014,3.2481678735596375e-09,0.0
2015,1.7732603163622684e-09,4.433150790905671e-10
2016,3.3141441813100414e-09,1.0356699942093428e-09
2017,5.0312225496895735e-09,0.0
2018,5.679226811050597e-09,2.5814667070633845e-10
2019,3.826481520530223e-09,7.65296326310505e-10
