year,ton_DET hommage_NOUN,ton_DET dommage_NOUN
1800,3.144164395507687e-08,0.0
1801,3.095537337571841e-08,4.0480102825313224e-08
1802,1.5664880947952042e-08,0.0
1803,6.631153581793114e-08,0.0
1804,4.449331569844617e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,2.562259560079383e-08,0.0
1808,4.5321478125970316e-08,1.3596443970698147e-08
1809,3.388545621874073e-08,3.6144488291256494e-08
1810,6.084329839950442e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,4.045835311217161e-08,0.0
1816,6.952811659743929e-09,0.0
1817,4.3592455867269564e-08,1.401186100480345e-08
1818,2.6226590676969863e-08,1.7881765401739358e-08
1819,3.726378183799284e-08,0.0
1820,2.966620371580575e-08,0.0
1821,4.536284681222469e-08,7.88919063410276e-09
1822,4.3110148340019805e-08,7.017931125119503e-09
1823,1.9765374226210497e-08,0.0
1824,2.6947561515555662e-08,2.863178316658832e-08
1825,5.3713203662653086e-08,8.805443485471187e-09
1826,2.9066348328221636e-08,1.4973572604048968e-08
1827,2.1199727640031085e-08,1.8434546111834038e-09
1828,2.93513645610588e-08,0.0
1829,1.6289034676653102e-08,0.0
1830,2.5048406016026092e-08,1.0436835395921662e-08
1831,1.0913843828674885e-08,4.677361609140007e-09
1832,3.3824925083081325e-08,1.3529969367098715e-09
1833,3.4750884836398654e-08,1.1583628500844156e-09
1834,1.1201436889152205e-08,1.7735608537350345e-08
1835,2.2689263801112247e-08,0.0
1836,2.0162249814159594e-08,0.0
1837,1.530735971311259e-08,3.478945576063097e-09
1838,1.1361891427696946e-08,1.199310784016916e-08
1839,1.0487212986909356e-08,5.5931801412612e-09
1840,7.0066574764382494e-09,2.4841785517537573e-08
1841,1.926164561183441e-08,0.0
1842,2.0124795607756596e-08,6.708265054555795e-10
1843,8.269675666472409e-09,7.088293507706567e-09
1844,8.232841963717874e-09,0.0
1845,5.022205318283568e-09,0.0
1846,1.2879902477891392e-08,5.854501328173001e-10
1847,1.0786447290911383e-08,5.393223645455691e-10
1848,9.65426583121598e-09,1.6090443422100975e-09
1849,2.0948537793330502e-08,0.0
1850,8.146795238417326e-09,0.0
1851,1.0319102017319892e-08,0.0
1852,5.859490892490271e-09,2.6042181744401205e-09
1853,8.95789731281127e-09,5.971931837933653e-10
1854,4.676098175337984e-09,6.234797567117312e-09
1855,2.0697054736729115e-08,2.1227748447927297e-09
1856,4.659470143053568e-09,1.346069211649592e-08
1857,5.369660049936442e-09,3.905207268672939e-09
1858,1.3702293077955119e-08,1.468102794888182e-08
1859,1.6804171831807935e-08,6.619825576592575e-09
1860,1.327383358784573e-08,1.373155145145688e-09
1861,2.6880993708733314e-08,7.073945429425521e-09
1862,7.228778048373741e-09,1.9879140111811466e-08
1863,9.489779906335372e-09,2.4973103585068657e-09
1864,1.582260222843246e-08,1.0068928801842958e-08
1865,8.47231973466478e-09,4.706844358715045e-10
1866,4.865612801552288e-09,4.865612801552288e-09
1867,7.279217228983725e-09,4.85281148598915e-09
1868,9.385760613156435e-09,3.457911734727759e-09
1869,1.1720445947105418e-08,5.860222973552709e-09
1870,7.454263428741115e-09,0.0
1871,2.1242354542039266e-09,5.3105884134652115e-09
1872,6.047339518033823e-09,0.0
1873,7.183205141814142e-09,4.190203295451056e-09
1874,1.3144140442733487e-08,2.3898436563030145e-09
1875,3.432916173551348e-09,0.0
1876,3.627608879952504e-09,6.04601479992084e-10
1877,1.1132669008873108e-08,1.8554447978047506e-09
1878,4.22736201599605e-09,6.039088673581716e-10
1879,3.0546627449723474e-09,1.832797580370027e-09
1880,5.134277003548959e-09,2.5671385017744797e-09
1881,4.8807553554297556e-09,1.3945015142624584e-09
1882,1.9966155395678697e-09,7.320923423037584e-09
1883,2.5277356319186595e-09,6.951272890631799e-09
1884,9.242375753615306e-09,2.6406787867472303e-09
1885,7.090199094506033e-09,0.0
1886,4.5174246565693466e-09,0.0
1887,3.264462256069578e-09,9.140494583448344e-09
