year,un_DET honneur_NOUN,un_DET donneur_NOUN
1800,2.0342745088441916e-06,3.144164439916608e-08
1801,1.9978121414965244e-06,9.524730337773235e-09
1802,2.170704817672231e-06,4.0281122437590966e-08
1803,1.9854453938705774e-06,2.9255089017965474e-08
1804,2.704204976389235e-06,4.449331747480301e-08
1805,2.456246291693276e-06,5.685755288808991e-08
1806,2.028695170075423e-06,2.881669125542885e-09
1807,2.0355728338472545e-06,5.693910276605152e-08
1808,1.919364642333221e-06,4.5321479902327155e-08
1809,1.8117424280816863e-06,6.099382332536152e-08
1810,3.2902182169891603e-06,7.020380277111826e-09
1811,2.5045697675807332e-06,1.0028307428910921e-07
1812,2.008407708586901e-06,5.867858288155503e-08
1813,1.932498424395135e-06,6.614205649846383e-08
1814,1.4160047072664383e-06,5.664018942752591e-08
1815,1.9689732719818664e-06,1.3486117778072071e-08
1816,2.190135781177105e-06,0.0
1817,2.7790189598420056e-06,4.5149328942173383e-08
1818,2.269792249265379e-06,1.6689648552059566e-08
1819,2.4904626574340227e-06,3.1053149274207215e-08
1820,2.1929257414399217e-06,6.40789963313182e-08
1821,3.0797428145490358e-06,3.8459803342050236e-08
1822,2.4612886875274853e-06,4.712039469723095e-08
1823,2.3085955760393517e-06,3.854247943024802e-08
1824,2.342753496975547e-06,3.1158117863583357e-08
1825,2.3211146888968415e-06,6.78019103084182e-08
1826,1.92190229419964e-06,2.906634843924394e-08
1827,1.9531400985428604e-06,4.147772969531616e-08
1828,1.8124467637825603e-06,4.6778734774655106e-08
1829,2.1141452386519433e-06,6.17268673952509e-08
1830,2.13955127348342e-06,3.965997596999671e-08
1831,1.7976660391383348e-06,1.5591206103948707e-09
1832,1.8035448685616018e-06,3.2471926925126127e-08
1833,2.168455180751039e-06,2.8959071474154996e-08
1834,1.659679561782923e-06,5.133991920480696e-08
1835,1.8816962565892936e-06,7.865611451052246e-08
1836,2.133166096207617e-06,2.7555075332585943e-08
1837,1.8466243041359576e-06,1.6003148806120748e-08
1838,1.7049149168002486e-06,3.029837714052519e-08
1839,1.7471696995841057e-06,1.1186360393544703e-08
1840,1.9191873033008733e-06,2.0383004062374255e-08
1841,1.6860359970394256e-06,4.494383976094696e-09
1842,1.730732353877329e-06,1.9453968658211807e-08
1843,1.8518166351455534e-06,2.539971705184385e-08
1844,2.0587593008158933e-06,1.2623690592850068e-08
1845,1.7728383983062201e-06,2.790113973194508e-08
1846,1.7879646510010616e-06,4.039605805417068e-08
1847,1.6206636761495474e-06,2.0494249852731627e-08
1848,1.6734060714895804e-06,1.609044275596716e-08
1849,1.4655596558554862e-06,2.430030288103069e-08
1850,1.6918178227243175e-06,5.4311969144293926e-08
1851,1.887750686435652e-06,1.2898877521649865e-08
1852,1.738966715514323e-06,2.6693235399832815e-08
1853,1.948044102917379e-06,3.0456852151417024e-08
1854,2.0803440090588765e-06,2.1302224428865202e-08
1855,2.090933140408424e-06,2.4942604426314574e-08
1856,2.199787685341903e-06,3.313400942506206e-08
1857,2.0775701976560867e-06,2.587199732229095e-08
1858,2.0455565348243e-06,2.251090935878608e-08
1859,2.1626460098289613e-06,3.309912588456143e-08
