year,aucun_DET doute_NOUN
1800,7.442237347277114e-06
1801,7.053062745399075e-06
1802,7.073812895441733e-06
1803,6.851541839436592e-06
1804,7.662738114699863e-06
1805,7.354524768743431e-06
1806,7.207054555813386e-06
1807,8.643355650761464e-06
1808,7.910864564752984e-06
1809,7.658113336805883e-06
1810,7.2309917413804214e-06
1811,8.273353415688689e-06
1812,9.535268993943191e-06
1813,9.075840374350719e-06
1814,9.040403611493275e-06
1815,8.852287958660554e-06
1816,9.071101546354043e-06
1817,8.343284761735958e-06
1818,7.590213431996062e-06
1819,7.4703527026542815e-06
1820,8.107180050842544e-06
1821,7.473035858573951e-06
1822,8.251081439425434e-06
1823,8.13839230229263e-06
1824,9.4080668233687e-06
1825,7.998864634650715e-06
1826,8.423075144037284e-06
1827,9.087309575050995e-06
1828,1.05949253796922e-05
1829,1.004090400158475e-05
1830,1.0583994987101164e-05
1831,1.1114970760672804e-05
1832,1.1369233256175448e-05
1833,1.0548051767145239e-05
1834,1.008502701438374e-05
1835,9.91747761958095e-06
1836,1.0179920320041447e-05
1837,1.0530768253858014e-05
1838,1.0285667499942974e-05
1839,1.2389593400996546e-05
1840,1.135333307900055e-05
1841,1.2113648935496713e-05
1842,1.2528355412655401e-05
1843,1.2692179538476012e-05
1844,1.43525875913042e-05
1845,1.2955615474652404e-05
1846,1.322414771465219e-05
1847,1.234401032235155e-05
1848,1.2868332206039668e-05
1849,1.3571300257808616e-05
1850,1.2623459454630392e-05
1851,1.2517070700823751e-05
1852,1.33954469845321e-05
1853,1.2211405895357075e-05
1854,1.1541648582635844e-05
1855,1.208920302531169e-05
1856,1.33618077313713e-05
1857,1.2170578045811453e-05
1858,1.3309330697097721e-05
1859,1.2566465727559262e-05
1860,1.2530498565865855e-05
1861,1.2887314383647208e-05
1862,1.2611506605253453e-05
1863,1.2876632041525227e-05
1864,1.3802104206206423e-05
1865,1.4106883668318915e-05
1866,1.3543919990866016e-05
1867,1.2907507581871869e-05
1868,1.3256152001872579e-05
1869,1.4514795978470829e-05
1870,1.3341411360556776e-05
1871,1.360678999162701e-05
1872,1.4050388486452903e-05
1873,1.426943741478226e-05
1874,1.3390294370196898e-05
1875,1.2570767225383861e-05
1876,1.2928193143579847e-05
1877,1.2947293754450584e-05
1878,1.3607274908622458e-05
1879,1.2213762801138728e-05
1880,1.2281190493013128e-05
1881,1.2344127497954105e-05
1882,1.2116793769223477e-05
1883,1.278086286049529e-05
1884,1.2826436915247541e-05
1885,1.1969545397505499e-05
1886,1.1822745676681734e-05
1887,1.3552088944379648e-05
1888,1.1907040743608377e-05
1889,1.196139945136565e-05
1890,1.2899032384439124e-05
1891,1.253171632242811e-05
1892,1.20330361141896e-05
1893,1.3192559563890427e-05
1894,1.2594256446618601e-05
1895,1.2306261055528012e-05
1896,1.2248719301055644e-05
1897,1.157418338948446e-05
1898,1.1910271453530186e-05
1899,1.217338623860087e-05
1900,1.1677273761279139e-05
1901,1.2426560957123911e-05
1902,1.0774635583743475e-05
1903,1.214779577196623e-05
1904,1.2133753571674788e-05
1905,1.2309442865898745e-05
1906,1.2106323708849231e-05
1907,1.213659592735894e-05
1908,1.2466578638736792e-05
1909,1.2194580051527737e-05
1910,1.1865617736361855e-05
1911,1.1747918051696615e-05
1912,1.2017093013128033e-05
1913,1.2449828858507317e-05
1914,1.2344107972239726e-05
1915,1.3933106856711674e-05
1916,1.3436567172675495e-05
1917,1.2832910158522282e-05
1918,1.286589031224139e-05
1919,1.2616593807024401e-05
1920,1.2211738379619419e-05
1921,1.2382956811052281e-05
1922,1.283539415908308e-05
1923,1.230388349426903e-05
1924,1.248553869004354e-05
1925,1.238284812643542e-05
1926,1.2656440276259673e-05
1927,1.266663409182911e-05
1928,1.2714898787180573e-05
1929,1.2557465822737868e-05
1930,1.3166267081032856e-05
1931,1.312528468133678e-05
1932,1.322487264587835e-05
1933,1.3916207365127775e-05
1934,1.3428955128347297e-05
1935,1.3132798159176673e-05
1936,1.3985857975740146e-05
1937,1.3666399922840355e-05
1938,1.4147642332318355e-05
1939,1.4150055619666091e-05
1940,1.2919813713097028e-05
1941,1.3131234652519197e-05
1942,1.2953050486430584e-05
1943,1.2602944110540193e-05
1944,1.453645396054526e-05
1945,1.4977215187172987e-05
1946,1.3137345774794085e-05
1947,1.3134415837612323e-05
1948,1.2933198121345413e-05
1949,1.3341314485160183e-05
1950,1.3243152380937318e-05
1951,1.3259585017522113e-05
1952,1.3326523088608155e-05
1953,1.3704308599926662e-05
1954,1.4134019380662721e-05
1955,1.4080288707418731e-05
1956,1.3737541962655087e-05
1957,1.384892115652292e-05
1958,1.3798101662132467e-05
1959,1.3534355502997641e-05
1960,1.4049291792161966e-05
1961,1.4324325093184598e-05
1962,1.468353181621751e-05
1963,1.4020342945286757e-05
1964,1.411480624824435e-05
1965,1.3471623361738239e-05
1966,1.3927449487027843e-05
1967,1.3543632263690597e-05
1968,1.3640879103604675e-05
1969,1.4088078899021639e-05
1970,1.3905625138477262e-05
1971,1.353094202727334e-05
1972,1.3710830671698204e-05
1973,1.325319070133446e-05
1974,1.3151461814686627e-05
1975,1.2894808463670415e-05
1976,1.3814165555459113e-05
1977,1.3783992130811384e-05
1978,1.3748904393651173e-05
1979,1.3865665636103586e-05
1980,1.414579185166076e-05
1981,1.4518401115992674e-05
1982,1.4719849929178963e-05
1983,1.4555540133187606e-05
1984,1.4248163779484457e-05
1985,1.4207545120825671e-05
1986,1.4408944309707294e-05
1987,1.4109875706935782e-05
1988,1.4145870352422207e-05
1989,1.4317413160824799e-05
1990,1.4266202953194806e-05
1991,1.4272667669956718e-05
1992,1.390875235074418e-05
1993,1.4081773571206213e-05
1994,1.4077196880180054e-05
1995,1.419272297198404e-05
1996,1.4628508040459565e-05
1997,1.4634017730941196e-05
1998,1.4628620135681558e-05
1999,1.4575285561591045e-05
2000,1.4375390463783333e-05
2001,1.4570157475191081e-05
2002,1.4034804891593922e-05
2003,1.4931334504808547e-05
2004,1.4595715981613466e-05
2005,1.4666460600665232e-05
2006,1.4561682121438935e-05
2007,1.4629381865916002e-05
2008,1.4691147555367934e-05
