year,certain_ADJ doute_NOUN
1800,0.0
1801,0.0
1802,1.1189200677108602e-08
1803,1.1702034896643454e-08
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,1.1700633351097167e-08
1811,0.0
1812,2.400487453257938e-08
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,2.697223555614414e-09
1816,1.622322720606917e-08
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,2.3732962262101864e-09
1821,1.0847637454958203e-08
1822,1.303330066093622e-08
1823,4.941343334508019e-09
1824,4.210556348027694e-09
1825,8.805443041381977e-10
1826,0.0
1827,1.1982455028203276e-08
1828,2.7516904310687096e-09
1829,1.2859763920403111e-08
1830,4.174734336004349e-09
1831,7.795603274018958e-09
1832,0.0
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,3.025235173481633e-09
1836,1.1425274948351216e-08
1837,7.653680356156656e-09
1838,7.574594285131298e-09
1839,4.194885327990505e-09
1840,1.7835128929277744e-08
1841,1.0914932957462042e-08
1842,6.037438549100216e-09
1843,1.2995204023980023e-08
1844,3.2931368743049916e-09
1845,1.3950569588416784e-08
1846,4.6836010625384006e-09
1847,1.6179670936367074e-08
1848,1.126331028444838e-08
1849,4.022119171054328e-08
1850,1.765138968323754e-08
1851,1.1608989325395669e-08
1852,2.4740073101270355e-08
1853,1.5527023222716707e-08
1854,1.8704392701351935e-08
1855,4.0332722051061864e-08
1856,4.141751475117417e-08
1857,2.9289054737091647e-08
1858,4.306435030798639e-08
1859,4.53203412575931e-08
1860,4.439868561689764e-08
1861,3.4426534512022045e-08
1862,3.252950264709398e-08
1863,4.5950510951797696e-08
1864,5.274200631788517e-08
1865,5.036323358353911e-08
1866,6.373952743388145e-08
1867,7.715970440358433e-08
1868,6.224241388963492e-08
1869,6.543915986867432e-08
1870,8.25703025952862e-08
1871,4.0360472297606975e-08
1872,6.289232601375261e-08
1873,7.781805777540285e-08
1874,6.392831863877291e-08
1875,8.181783783811625e-08
1876,6.529695895096665e-08
1877,6.555904974447913e-08
1878,8.575506171837333e-08
1879,9.04180126326537e-08
1880,7.31634486328403e-08
1881,7.94865897546515e-08
1882,6.522277118392594e-08
1883,7.393626333396242e-08
1884,5.941527092545584e-08
1885,7.605849816627597e-08
1886,6.066255764380912e-08
1887,1.044627921942265e-07
1888,6.277208797200728e-08
1889,7.267558288504006e-08
1890,8.389614691850511e-08
1891,5.736798058819659e-08
1892,7.584900174606446e-08
1893,7.205347429817266e-08
1894,6.427570298228602e-08
1895,7.583454220139174e-08
1896,7.194375228891658e-08
1897,9.381008680975356e-08
1898,6.620275172508627e-08
1899,7.628058540376514e-08
1900,6.956010878411689e-08
1901,9.221419361438166e-08
1902,6.628883397752361e-08
1903,6.804277319361063e-08
1904,7.201997931360893e-08
1905,6.347733716438597e-08
1906,1.0597020150271419e-07
1907,8.691405639638106e-08
1908,8.742272683548435e-08
