year,mon_DET essai_NOUN,mon_DET décès_NOUN
1840,1.6879674946679302e-07,8.66277645172886e-08
1841,3.3065824567302116e-07,2.420546820758318e-07
1842,2.1936026817215293e-07,1.3349448124699848e-07
1843,1.701190371350414e-07,8.742228629898818e-08
1844,1.5532628527825665e-07,2.129561806896163e-07
1845,2.2041900360481037e-07,1.6963892335297714e-07
1846,3.1965576496872927e-07,1.6626783860829164e-07
1847,2.9177339300190397e-07,2.448523446219042e-07
1848,2.622742292235358e-07,1.1182858372649207e-07
1849,2.413271460444122e-07,2.1535096550451271e-07
1850,1.8805519541587046e-07,2.1589006848898862e-07
1851,2.2766519247596761e-07,1.335033772420502e-07
1852,3.3268888244286643e-07,1.6732101926208998e-07
1853,1.8453269090557e-07,1.4272917780999705e-07
1854,1.9172001763934077e-07,2.2237443886297115e-07
1855,2.3668940229981672e-07,1.719447624282111e-07
1856,1.910382809722222e-07,3.924309339708998e-07
1857,2.484688170767413e-07,1.7426987142243888e-07
1858,3.6311075835016027e-07,1.3359735362428182e-07
1859,2.6122849106080537e-07,1.919749337275789e-07
1860,2.1741622874271727e-07,1.9132629347495822e-07
1861,1.9995686217910702e-07,1.7826343423621438e-07
1862,1.9698420339331335e-07,1.6987628725928516e-07
1863,2.5972028616649823e-07,1.8979558547016495e-07
1864,3.605635257031281e-07,2.57956372706758e-07
1865,1.4779490886684954e-07,2.5558165361871943e-07
1866,2.340359825936389e-07,1.9900356562629895e-07
1867,3.047565630964755e-07,1.373345668298498e-07
1868,1.798114208639845e-07,2.1735445443482604e-07
1869,2.261069307341046e-07,2.505245220163488e-07
1870,1.4335122244801823e-07,1.7202145841110905e-07
1871,2.1136142280830938e-07,2.676536610124458e-07
1872,3.223231919147196e-07,2.18308954913482e-07
1873,2.142989582454291e-07,2.2387656883893214e-07
1874,1.7864081502949603e-07,2.1269607941576396e-07
1875,2.0883573892405138e-07,2.042585123263052e-07
1876,2.0677370571320353e-07,1.6384700529670226e-07
1877,2.0533588696025618e-07,2.003880439360728e-07
1878,1.5399675912242117e-07,1.745296600574875e-07
