year,rien_PRON eu_VERB,rien_PRON dû_VERB
1800,5.282196298139752e-07,6.60274537267469e-08
1801,6.667311254204833e-07,6.667310969987739e-08
1802,4.050490645113314e-07,8.951360541686881e-08
1803,5.012371957491268e-07,1.3652375230321923e-07
1804,7.118930511751387e-07,3.114532205472642e-07
1805,5.970043162051297e-07,2.9850215810256486e-07
1806,6.166771981952479e-07,1.7866348400730203e-07
1807,4.185023954050848e-07,3.4448157748556696e-07
1808,4.826737836083339e-07,4.260218986473774e-07
1809,5.218360570324876e-07,2.0557178004310117e-07
1810,8.471258752251742e-07,2.9953622515677125e-07
1811,4.83865790101845e-07,2.431864345453505e-07
1812,6.507988246085006e-07,2.640536251874437e-07
1813,5.5501811857539e-07,2.645682286583906e-07
1814,5.726952281293052e-07,1.4160046646338742e-07
1815,6.9048923023729e-07,1.780167480092132e-07
1816,8.111613851724542e-07,9.502176112619054e-08
1817,9.450221796214464e-07,8.874178547557676e-08
1818,7.808371265127789e-07,1.0729059596314983e-07
1819,6.158874725770147e-07,2.0702100300695747e-07
1820,6.823226499363955e-07,1.2459804565878585e-07
1821,7.060825737426057e-07,1.7060374091215635e-07
1822,8.140800105138624e-07,1.8346877084240987e-07
1823,7.827088097656087e-07,2.490437225333153e-07
1824,7.663212500119698e-07,2.0800148092803283e-07
1825,6.61288765968493e-07,1.8491429898404022e-07
1826,7.019963277343777e-07,1.4885493726524146e-07
1827,5.7607957160144e-07,3.272132005349704e-07
1828,7.741422223261907e-07,1.9353555558154767e-07
1829,7.733004849796998e-07,2.28903800802982e-07
1830,7.023990633570065e-07,1.8577567573174747e-07
1831,6.64185392906802e-07,2.68168747652453e-07
1832,6.480855176960176e-07,2.300094763540983e-07
1833,7.10076449195185e-07,2.1545548634094303e-07
1834,6.347481189550308e-07,2.473650795309368e-07
1835,6.39080951714277e-07,2.193295500774184e-07
1836,7.661654990442912e-07,1.344150035720304e-07
1837,6.749154408680624e-07,1.586399065445221e-07
1838,7.145367248995171e-07,1.912585076979667e-07
1839,7.536810358033108e-07,1.4961756278353278e-07
1840,7.299663025150949e-07,1.7707733945826476e-07
1841,6.099521101532446e-07,2.1894069845984632e-07
1842,5.977063892714796e-07,1.784398477866489e-07
1843,6.137280479379115e-07,1.50035546653271e-07
1844,6.668602168247162e-07,1.6410798764354695e-07
1845,6.249855459827813e-07,1.5010813569915626e-07
1846,7.886013122515578e-07,1.6860963114595506e-07
1847,5.312325015438546e-07,1.6611129183274898e-07
1848,7.667096042496269e-07,1.6573156358390406e-07
1849,7.298470450223249e-07,2.220544956799131e-07
1850,7.508629664698674e-07,2.8581672495420207e-07
1851,6.05602281211759e-07,1.3930787190474803e-07
1852,7.044409926493245e-07,2.3242647273491457e-07
1853,6.60495686588547e-07,1.0928635418849808e-07
1854,7.43499583677476e-07,1.1274591571464043e-07
1855,7.371335755124164e-07,1.3426550538042648e-07
