year,mon_DET hiver_NOUN
1800,2.5153315874604232e-08
1801,5.2386017301842e-08
1802,9.84649659585557e-08
1803,1.950339267864365e-08
1804,4.2021465418429216e-08
1805,2.842877755426798e-08
1806,4.610670600868616e-08
1807,4.27043254092041e-08
1808,2.7192887941396293e-08
1809,5.421673421324158e-08
1810,4.914266327205041e-08
1811,3.008491944456182e-08
1812,2.1337665856435706e-08
1813,7.476928232108548e-08
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,1.3905623319487859e-08
1817,8.874178158979618e-08
1818,4.2916237674717195e-08
1819,4.968504008218133e-08
1820,3.7972737843006144e-08
1821,1.370746840478887e-07
1822,5.514088741165324e-08
1823,6.522573348100025e-08
1824,3.789500624407083e-08
1825,7.220463515977826e-08
1826,6.341749070326586e-08
1827,3.9634273363287065e-08
1828,4.40270444546087e-08
1829,3.257806957535081e-08
1830,5.53152290638792e-08
1831,9.354723573551382e-08
1832,1.4612367338351362e-07
1833,5.79181431703546e-08
1834,5.8807546166050884e-08
1835,1.1344631900556124e-08
1836,3.293167405438169e-08
1837,3.548524474261683e-08
1838,4.102905326597295e-08
1839,3.705481876892236e-08
1840,3.1211473572323456e-08
1841,1.6051371787284552e-08
1842,1.2074877098200432e-08
1843,2.3627644785140234e-08
1844,1.5367971784030487e-08
1845,1.3392546849289033e-08
1846,2.9272506196775794e-08
1847,7.550513103637968e-09
1848,1.689496542667257e-08
1849,3.9383248662261394e-08
1850,4.0055077477063605e-08
1851,2.7732586227458e-08
1852,1.0416873141849692e-08
1853,2.0304568471019024e-08
1854,1.4547860527347467e-08
1855,2.5473298137512757e-08
1856,2.3815070804289462e-08
1857,9.128422284732096e-08
1858,2.8872688184744533e-08
1859,2.851617053600819e-08
1860,1.9681891672007623e-08
1861,3.5369726258949186e-08
1862,7.138418578467309e-08
1863,3.3963422296778845e-08
1864,4.1234661019018404e-08
1865,4.3773653146672586e-08
1866,3.065336129370877e-08
1867,2.814630661873707e-08
1868,2.2723421366777075e-08
1869,5.323035701110257e-08
1870,3.1537267464187835e-08
1871,2.1242354542039266e-08
1872,3.0236696257901485e-08
1873,2.9331422624068182e-08
1874,2.5093358502203955e-08
1875,3.661777253638476e-08
1876,3.264847858730491e-08
1877,4.7004601988476225e-08
1878,2.0532901601200138e-08
1879,2.5659165459046562e-08
1880,7.316344974306332e-08
1881,2.99817823901094e-08
1882,8.1195699941361e-08
1883,4.4235372698153697e-08
1884,1.650424241717019e-08
1885,3.5450997248887006e-08
1886,1.871504551331782e-08
1887,4.50495791781691e-08
1888,3.106901225180536e-08
1889,3.759082023435667e-08
1890,2.4251229913119232e-08
1891,4.39821175035604e-08
1892,3.447681784507495e-08
1893,4.310891554837326e-08
1894,4.915200602084724e-08
1895,4.513961027186042e-08
1896,4.304831202617265e-08
1897,4.7196381025571554e-08
1898,4.809601783506423e-08
1899,4.477338499953021e-08
1900,2.5436160733249835e-08
1901,2.514932528896452e-08
1902,2.7497589982772297e-08
1903,4.1581696752501784e-08
1904,3.009790017216574e-08
1905,3.767354250783228e-08
1906,4.835533484737198e-08
1907,3.599990439084877e-08
1908,4.0764527753367474e-08
1909,3.685659066832159e-08
1910,7.642135280150342e-08
1911,5.107559175598908e-08
1912,5.782457535019603e-08
1913,3.340883480973389e-08
1914,4.620753202289052e-08
1915,2.591767678250534e-08
1916,2.307367008569372e-08
1917,3.3995916304263574e-08
1918,1.6080926812378493e-08
1919,3.222746869369075e-08
1920,2.8774479687854182e-08
1921,2.4232791773215467e-08
1922,3.393850356303574e-08
1923,7.325004425240422e-08
1924,8.250639638163193e-08
1925,6.488924952918751e-08
1926,4.2355326357323975e-08
1927,6.689534970405475e-08
1928,4.7989372475854e-08
1929,7.798284684668033e-08
1930,5.2518018822667045e-08
1931,2.623232031595535e-08
1932,3.287860916856289e-08
1933,3.3264919041542385e-08
1934,3.1152108448395666e-08
1935,3.2314367182095793e-08
1936,3.273672977144315e-08
1937,1.1332006000230876e-08
1938,3.370955692361122e-08
1939,2.4470480752825097e-08
1940,2.028626333583361e-08
1941,4.7224043342453115e-08
1942,7.888950426249153e-08
1943,5.516146872608374e-08
1944,4.177141832428788e-08
1945,3.0499056613564335e-08
1946,4.733175451576699e-08
1947,4.887557203403503e-08
1948,2.8266907925456053e-08
1949,2.6505922789965553e-08
1950,6.59392407342807e-08
1951,3.0918065441198905e-08
1952,3.796129410815752e-08
1953,1.6160741300730308e-08
1954,4.0067397399923266e-08
1955,3.191106667799204e-08
1956,2.3547082506070183e-08
1957,5.8311247386200193e-08
1958,5.2942356720819816e-08
1959,4.1854040233602063e-08
1960,3.668041514970355e-08
1961,3.474079734999691e-08
1962,3.614915211613834e-08
1963,2.7157423421186877e-08
1964,7.422441461457652e-08
1965,4.213473392411515e-08
1966,3.157272621123752e-08
1967,2.9582013727491585e-08
1968,5.5244416152788745e-08
1969,2.452549219267297e-08
1970,3.0351585245114165e-08
1971,4.4704056900712885e-08
1972,2.513771873990933e-08
1973,3.6387145740945925e-08
1974,2.7565301152776556e-08
1975,5.25456176347916e-08
1976,3.0853044341583313e-08
1977,2.703319657015868e-08
1978,2.138612864577283e-08
1979,1.9311511390007752e-08
1980,2.4446148438883597e-08
1981,3.0995193578409186e-08
1982,2.420925848678479e-08
1983,2.3998200759933752e-08
1984,1.333771937339634e-08
1985,1.564045115642898e-08
1986,2.51768397241392e-08
1987,1.527704240888994e-08
1988,1.8589316530537303e-08
1989,2.0854864946073803e-08
1990,2.6698389055113125e-08
1991,3.516879099052517e-08
1992,2.2590771697750256e-08
1993,2.935779908064262e-08
1994,1.4769794165481187e-08
1995,2.548551947256783e-08
1996,2.2953796197100473e-08
1997,1.2946215433018438e-08
1998,2.3363833978606863e-08
1999,1.7823784143056187e-08
2000,1.7230322502115314e-08
2001,1.6648604495017594e-08
2002,1.445803077260166e-08
2003,1.625100010116398e-08
2004,2.334539406234626e-08
2005,1.2160123796789435e-08
2006,2.017765970974139e-08
2007,2.5964116634469292e-08
2008,3.278228621894641e-08
2009,2.4794601038991004e-08
2010,2.172944846279279e-08
2011,1.529588788962144e-08
2012,1.4638286471857498e-08
2013,1.7850400491070673e-08
2014,2.9016964830930192e-08
2015,2.0835808633989927e-08
2016,3.210577093071265e-08
2017,2.2640502139736896e-08
2018,3.2268333782781156e-08
2019,2.3469086674055006e-08
